"Species","EEZ","p2","p4","Average","Max"
"Eleutheronema tetradactylum","Australian Exclusive Economic Zone",0.659870250231696,0.378591288229842,3.08192238535495,7.44322739908503
"Eleutheronema tetradactylum","Bahraini Exclusive Economic Zone",1,1,6.6913006579936,7.22957683560736
"Eleutheronema tetradactylum","Bangladeshi Exclusive Economic Zone",0.142857142857143,0.0238095238095238,1.0225281809332,5.3892949838647
"Eleutheronema tetradactylum","Bruneian Exclusive Economic Zone",1,0.884615384615385,4.5904557695179,6.42951963240948
"Eleutheronema tetradactylum","Cambodian Exclusive Economic Zone",0.48,0,2.11982772884588,3.37238023682855
"Eleutheronema tetradactylum","Chagos Archipelago Exclusive Economic Zone",1,1,6.02981134872637,6.46630859402923
"Eleutheronema tetradactylum","Chinese Exclusive Economic Zone",0.219638242894057,0.0813953488372093,1.16245474432055,6.10480363559918
"Eleutheronema tetradactylum","Christmas Island Exclusive Economic Zone",1,0,2.59776442226602,2.62991117012017
"Eleutheronema tetradactylum","Cocos Islands Exclusive Economic Zone",1,0,2.44071516594097,2.69087667236722
"Eleutheronema tetradactylum","East Timorian Exclusive Economic Zone",1,1,4.93471784256058,5.5173443862877
"Eleutheronema tetradactylum","Indian Exclusive Economic Zone",0.860025220680958,0.770491803278688,5.4480128512076,8.2923610758136
"Eleutheronema tetradactylum","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.673553719008264,0.103305785123967,2.65376581240451,5.40221083714394
"Eleutheronema tetradactylum","Indonesian Exclusive Economic Zone",0.973518284993695,0.78604455653636,4.97525194941969,8.2923610758136
"Eleutheronema tetradactylum","Iranian Exclusive Economic Zone",0.975,0.925,7.56207179390826,8.2923610758136
"Eleutheronema tetradactylum","Iraqi Exclusive Economic Zone",1,0.4,3.60869640608703,4.47385067903833
"Eleutheronema tetradactylum","Japanese Exclusive Economic Zone",0.0457317073170732,0.0365853658536585,0.46975396811938,5.68397018454229
"Eleutheronema tetradactylum","Joint regime area Australia / Papua New Guinea",1,0,2.97801644536932,3.26730565988533
"Eleutheronema tetradactylum","Joint regime area Japan / Korea",0,0,0.152181656824,0.324447913902689
"Eleutheronema tetradactylum","Kuwaiti Exclusive Economic Zone",0.75,0.166666666666667,2.82834556245661,4.47385067903833
"Eleutheronema tetradactylum","Madagascan Exclusive Economic Zone",0.359307359307359,0.0865800865800866,1.76864480582689,4.72032150362916
"Eleutheronema tetradactylum","Malaysian Exclusive Economic Zone",0.91792656587473,0.59719222462203,4.34142578367306,8.2923610758136
"Eleutheronema tetradactylum","Maldives Exclusive Economic Zone",1,1,6.90724631126073,7.39351553706996
"Eleutheronema tetradactylum","Mauritian Exclusive Economic Zone",0.303867403314917,0.0828729281767956,1.66913347879388,4.28097558442365
"Eleutheronema tetradactylum","Micronesian Exclusive Economic Zone",1,1,6.60326275876792,7.59986945244247
"Eleutheronema tetradactylum","Myanmar Exclusive Economic Zone",0.302107728337237,0.00468384074941452,1.28879317259452,4.13388764537364
"Eleutheronema tetradactylum","Oecussi Ambeno Exclusive Economic Zone",1,0,3.73401254988269,3.82646581599672
"Eleutheronema tetradactylum","Omani Exclusive Economic Zone",0.846153846153846,0.686390532544379,5.91479018674067,8.2923610758136
"Eleutheronema tetradactylum","Overlapping claim Glorioso Islands: France / Madagascar",0.967741935483871,0,2.72269799983817,3.99456201212689
"Eleutheronema tetradactylum","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,1.86141904618056,1.90186536357606
"Eleutheronema tetradactylum","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0.0967741935483871,0,0.650439889001637,2.65118462161628
"Eleutheronema tetradactylum","Overlapping claim South China Sea",0.715447154471545,0.506775067750677,3.34019831232336,7.14459573635199
"Eleutheronema tetradactylum","Overlapping claim: Iran / United Arab Emirates",1,1,8.25094861370749,8.2923610758136
"Eleutheronema tetradactylum","Pakistani Exclusive Economic Zone",0.973333333333333,0.76,5.22089078348349,7.77124955729997
"Eleutheronema tetradactylum","Palau Exclusive Economic Zone",1,1,5.99779730754452,6.3874480792998
"Eleutheronema tetradactylum","Papua New Guinean Exclusive Economic Zone",0.982711555959964,0.684258416742493,4.98045333738462,7.2198439762562
"Eleutheronema tetradactylum","Philippines Exclusive Economic Zone",0.96722621902478,0.899280575539568,5.35562782229764,8.2923610758136
"Eleutheronema tetradactylum","Qatari Exclusive Economic Zone",1,1,7.60619232531931,8.2923610758136
