"Species","EEZ","p2","p4","Average","Max"
"Ensis directus","Aruban Exclusive Economic Zone",1,0,3.13079210181148,3.23995430905417
"Ensis directus","Bahamas Exclusive Economic Zone",0.927325581395349,0.880813953488372,5.13655531865218,8.0987842043543
"Ensis directus","Barbados Exclusive Economic Zone",1,1,4.43933269907892,4.69643235655376
"Ensis directus","Belizean Exclusive Economic Zone",1,1,7.04288853191256,7.20673420595601
"Ensis directus","Brazilian Exclusive Economic Zone",0.904109589041096,0.493150684931507,4.06314595280817,8.2923610758136
"Ensis directus","Canadian Exclusive Economic Zone",0.070404984423676,0.00747663551401869,0.740712087035312,6.27905992088176
"Ensis directus","Colombian Exclusive Economic Zone",0.507462686567164,0.278606965174129,2.5595936016157,7.90568999600589
"Ensis directus","Costa Rican Exclusive Economic Zone",0.117647058823529,0.0882352941176471,1.72516936750826,6.40645348237927
"Ensis directus","Cuban Exclusive Economic Zone",1,0.968421052631579,5.9579802639765,8.0987842043543
"Ensis directus","Curaçaoan Exclusive Economic Zone",1,0,3.56143737090307,3.64351406689074
"Ensis directus","Ecuadorian Exclusive Economic Zone",0,0,0.0531887256741479,0.56747275061999
"Ensis directus","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.250729145095939,0.5880495028369
"Ensis directus","French Guiana Exclusive Economic Zone",0.69047619047619,0.182539682539683,2.67611193602296,5.14667475509591
"Ensis directus","Grenadian Exclusive Economic Zone",0.975609756097561,0.390243902439024,3.68846649310086,4.39786547105835
"Ensis directus","Guyanese Exclusive Economic Zone",0.989130434782609,0.228260869565217,3.50841383714888,5.70591072935577
"Ensis directus","Honduran Exclusive Economic Zone",1,1,7.04288853191256,7.20673420595601
"Ensis directus","Joint regime area Ecuador / Colombia",0,0,0.0540168134052416,0.145754099836435
"Ensis directus","Mexican Exclusive Economic Zone",0.459649122807018,0.27280701754386,2.42099875690729,8.2923610758136
"Ensis directus","Nicaraguan Exclusive Economic Zone",0.292682926829268,0.121951219512195,2.17256954749884,6.51073146539655
"Ensis directus","Panamanian Exclusive Economic Zone",0.314285714285714,0.314285714285714,2.48399924672854,7.33453736255501
"Ensis directus","Saint Vincent and the Grenadines Exclusive Economic Zone",1,1,4.22899434628536,4.39786547105835
"Ensis directus","Saint-Pierre and Miquelon Exclusive Economic Zone",0.178571428571429,0,1.55867560745812,2.0754137022415
"Ensis directus","Surinamese Exclusive Economic Zone",0.68,0.032,2.38706129293292,4.76690811338216
"Ensis directus","Trinidad and Tobago Exclusive Economic Zone",1,0.416666666666667,3.84595994284975,4.69643235655376
"Ensis directus","United States Exclusive Economic Zone",0.292043010752688,0.142795698924731,1.56367046578655,8.2923610758136
"Ensis directus","United States Exclusive Economic Zone (Alaska)",0.00309917355371901,0,0.308398453920426,2.30960330001885
"Ensis directus","Venezuelan Exclusive Economic Zone",0.811881188118812,0.234323432343234,3.0952592554316,6.67513898129157
