"x","y","sigmaNovelty","cell","EEZ"
132.375,34.125,2.26132210580807,3275,"Japanese Exclusive Economic Zone"
132.625,34.125,2.82222728421347,3275,"Japanese Exclusive Economic Zone"
131.125,33.875,3.07833110429244,3247,"Japanese Exclusive Economic Zone"
131.375,33.875,2.49057669091309,3247,"Japanese Exclusive Economic Zone"
131.625,33.875,1.88807836415503,3247,"Japanese Exclusive Economic Zone"
131.875,33.875,1.6549079394065,3247,"Japanese Exclusive Economic Zone"
132.375,33.875,1.57358000408909,3275,"Japanese Exclusive Economic Zone"
132.625,33.875,2.15694112923741,3275,"Japanese Exclusive Economic Zone"
128.875,33.625,0.0328882087908321,3220,"Japanese Exclusive Economic Zone"
129.125,33.625,0.0689411099217962,3220,"Japanese Exclusive Economic Zone"
131.125,33.625,2.97797570629647,3247,NA
131.375,33.625,2.53816059643222,3247,"Japanese Exclusive Economic Zone"
131.875,33.625,0.880464513310398,3247,"Japanese Exclusive Economic Zone"
132.125,33.625,0.449375716962023,3247,"Japanese Exclusive Economic Zone"
132.375,33.625,0.418717966564897,3275,"Japanese Exclusive Economic Zone"
128.625,33.375,0.0251738304025297,3220,"Japanese Exclusive Economic Zone"
128.875,33.375,0.0481618314429214,3220,"Japanese Exclusive Economic Zone"
129.125,33.375,0.123777991911386,3220,"Japanese Exclusive Economic Zone"
129.375,33.375,0.111260967825077,3247,"Japanese Exclusive Economic Zone"
131.875,33.375,0.594418051767514,3247,"Japanese Exclusive Economic Zone"
132.375,33.375,0.15323812238099,3275,"Japanese Exclusive Economic Zone"
127.875,33.125,0.0437272737004132,3219,"Japanese Exclusive Economic Zone"
128.125,33.125,0.0107097782668133,3219,"Japanese Exclusive Economic Zone"
128.375,33.125,0.0193531922007548,3219,"Japanese Exclusive Economic Zone"
128.625,33.125,0.0978164186522886,3219,"Japanese Exclusive Economic Zone"
128.875,33.125,0.112742847703456,3219,"Japanese Exclusive Economic Zone"
129.125,33.125,0.291604277417247,3247,"Japanese Exclusive Economic Zone"
129.375,33.125,0.0706811896490942,3247,"Japanese Exclusive Economic Zone"
129.625,33.125,0.0269902242217127,3247,"Japanese Exclusive Economic Zone"
132.125,33.125,0.100427795339531,3247,"Japanese Exclusive Economic Zone"
132.375,33.125,0.303462634173034,3274,"Japanese Exclusive Economic Zone"
127.625,32.875,0.0454236396836971,3219,"Joint regime area Japan / Korea"
127.875,32.875,0.0404481530537715,3219,"Joint regime area Japan / Korea"
128.125,32.875,0.00976520913396817,3219,"Joint regime area Japan / Korea"
128.375,32.875,0.0370795582265605,3219,"Japanese Exclusive Economic Zone"
128.625,32.875,0.0846759462593541,3219,"Japanese Exclusive Economic Zone"
128.875,32.875,0.271278280151346,3219,"Japanese Exclusive Economic Zone"
129.125,32.875,0.230431188325602,3219,"Japanese Exclusive Economic Zone"
129.375,32.875,0.119638811139485,3247,"Japanese Exclusive Economic Zone"
129.625,32.875,0.0707789136966028,3247,"Japanese Exclusive Economic Zone"
129.875,32.875,0.00156560205830155,3247,"Japanese Exclusive Economic Zone"
132.125,32.875,0.251663964007438,3274,"Japanese Exclusive Economic Zone"
132.375,32.875,0.366857194786891,3274,"Japanese Exclusive Economic Zone"
132.625,32.875,0.212614198657345,3274,"Japanese Exclusive Economic Zone"
133.125,32.875,0.0216110915622254,3274,"Japanese Exclusive Economic Zone"
133.375,32.875,0.0361296345313537,3274,"Japanese Exclusive Economic Zone"
127.375,32.625,0.0641427191674403,3219,"Joint regime area Japan / Korea"
127.625,32.625,0.0643336219846232,3219,"Joint regime area Japan / Korea"
127.875,32.625,0.0192020413002058,3219,"Joint regime area Japan / Korea"
128.125,32.625,0.00542359568761264,3219,"Joint regime area Japan / Korea"
128.375,32.625,0.0185311117980439,3219,"Japanese Exclusive Economic Zone"
128.625,32.625,0.110546874246064,3219,NA
128.875,32.625,0.0720899497284381,3219,"Japanese Exclusive Economic Zone"
129.125,32.625,0.0474124126001794,3219,"Japanese Exclusive Economic Zone"
129.375,32.625,0.0826158248113068,3247,"Japanese Exclusive Economic Zone"
129.625,32.625,0.0179417050448124,3247,"Japanese Exclusive Economic Zone"
129.875,32.625,0.0217844252190483,3247,"Japanese Exclusive Economic Zone"
130.125,32.625,0.105228749610423,3247,"Japanese Exclusive Economic Zone"
131.875,32.625,0.197744297302489,3274,"Japanese Exclusive Economic Zone"
132.125,32.625,0.0603069357223548,3274,"Japanese Exclusive Economic Zone"
132.375,32.625,0.043942899525704,3274,"Japanese Exclusive Economic Zone"
132.625,32.625,0.0499216668432793,3274,"Japanese Exclusive Economic Zone"
132.875,32.625,0.0925578730764969,3274,"Japanese Exclusive Economic Zone"
133.125,32.625,0.0527941288051288,3274,"Japanese Exclusive Economic Zone"
133.375,32.625,0.00526409413375599,3274,"Japanese Exclusive Economic Zone"
133.625,32.625,0.00130925352719709,3274,"Japanese Exclusive Economic Zone"
127.125,32.375,0.0565405722363261,3219,"Joint regime area Japan / Korea"
127.375,32.375,0.0409368705661684,3219,"Joint regime area Japan / Korea"
127.625,32.375,0.127969453973814,3219,"Joint regime area Japan / Korea"
127.875,32.375,0.124517242168511,3219,"Joint regime area Japan / Korea"
128.125,32.375,0.0146277817337714,3219,"Japanese Exclusive Economic Zone"
128.375,32.375,0.00870039357135003,3219,"Japanese Exclusive Economic Zone"
128.625,32.375,0.0105559399141054,3219,"Japanese Exclusive Economic Zone"
128.875,32.375,0.0193953694813369,3219,"Japanese Exclusive Economic Zone"
129.125,32.375,0.0138370723523205,3219,"Japanese Exclusive Economic Zone"
129.375,32.375,0.0145070307034927,3219,"Japanese Exclusive Economic Zone"
129.625,32.375,0.0288092096407555,3247,"Japanese Exclusive Economic Zone"
129.875,32.375,0.00607710950906533,3247,"Japanese Exclusive Economic Zone"
130.375,32.375,0.906762646263395,3247,"Japanese Exclusive Economic Zone"
131.875,32.375,0.0805134592351004,3274,"Japanese Exclusive Economic Zone"
132.125,32.375,0.0787442967692789,3274,"Japanese Exclusive Economic Zone"
