"x","y","sigmaNovelty","cell","EEZ"
140.875,36.875,0.686674683892785,3358,"Japanese Exclusive Economic Zone"
140.875,36.625,0.719335283598504,3358,"Japanese Exclusive Economic Zone"
141.125,36.625,0.0886782572636509,3358,"Japanese Exclusive Economic Zone"
140.875,36.375,0.475344735866268,3358,"Japanese Exclusive Economic Zone"
141.125,36.375,0.0398364795829126,3358,"Japanese Exclusive Economic Zone"
140.625,36.125,0.552136821476851,3358,"Japanese Exclusive Economic Zone"
140.875,36.125,0.626816916658641,3358,"Japanese Exclusive Economic Zone"
141.125,36.125,0.0765268567593688,3358,"Japanese Exclusive Economic Zone"
140.875,35.875,0.674081117254976,3358,"Japanese Exclusive Economic Zone"
141.125,35.875,0.168386901169284,3358,"Japanese Exclusive Economic Zone"
141.375,35.875,0.0202072305429611,3358,"Japanese Exclusive Economic Zone"
140.625,35.625,0.273666333059277,3358,"Japanese Exclusive Economic Zone"
140.875,35.625,0.697992762714865,3358,"Japanese Exclusive Economic Zone"
141.125,35.625,0.14992215644018,3358,"Japanese Exclusive Economic Zone"
141.375,35.625,0.0309541925431251,3358,"Japanese Exclusive Economic Zone"
141.625,35.625,0.376281394281011,3358,"Japanese Exclusive Economic Zone"
139.875,35.375,0.489473324114233,3358,"Japanese Exclusive Economic Zone"
140.625,35.375,0.567564394891206,3358,"Japanese Exclusive Economic Zone"
140.875,35.375,0.667541852369182,3358,"Japanese Exclusive Economic Zone"
141.125,35.375,0.212530911091121,3358,"Japanese Exclusive Economic Zone"
141.375,35.375,0.318442891702626,3358,"Japanese Exclusive Economic Zone"
141.625,35.375,0.84931932942437,3358,"Japanese Exclusive Economic Zone"
131.375,35.125,0.442604629634666,3248,"Japanese Exclusive Economic Zone"
131.625,35.125,0.469573679619121,3248,"Japanese Exclusive Economic Zone"
131.875,35.125,0.468127421178573,3248,"Japanese Exclusive Economic Zone"
132.125,35.125,0.468099237665316,3275,"Japanese Exclusive Economic Zone"
139.125,35.125,0.767488066780892,3330,"Japanese Exclusive Economic Zone"
139.375,35.125,0.402672489749397,3330,"Japanese Exclusive Economic Zone"
139.625,35.125,0.552529761048803,3330,"Japanese Exclusive Economic Zone"
140.375,35.125,1.00937690270904,3358,"Japanese Exclusive Economic Zone"
140.625,35.125,1.09662769201487,3358,"Japanese Exclusive Economic Zone"
140.875,35.125,0.422827808483972,3358,"Japanese Exclusive Economic Zone"
141.125,35.125,0.369165236883606,3358,"Japanese Exclusive Economic Zone"
141.375,35.125,0.8285152997582,3358,"Japanese Exclusive Economic Zone"
131.125,34.875,0.471726778737779,3248,"Japanese Exclusive Economic Zone"
131.375,34.875,0.474256914482521,3248,"Japanese Exclusive Economic Zone"
131.625,34.875,0.493362322535522,3248,"Japanese Exclusive Economic Zone"
131.875,34.875,0.440629957877416,3248,"Japanese Exclusive Economic Zone"
138.375,34.875,0.134661668996166,3330,"Japanese Exclusive Economic Zone"
138.625,34.875,0.1411170845975,3330,"Japanese Exclusive Economic Zone"
139.125,34.875,0.617356364609338,3330,"Japanese Exclusive Economic Zone"
139.375,34.875,0.877531047699227,3330,"Japanese Exclusive Economic Zone"
139.625,34.875,0.863669384016739,3330,"Japanese Exclusive Economic Zone"
139.875,34.875,0.944757042301614,3358,"Japanese Exclusive Economic Zone"
