"x","y","sigmaNovelty","cell","EEZ"
140.875,36.375,0.477552985745542,3358,"Japanese Exclusive Economic Zone"
140.625,36.125,0.553416086101957,3358,"Japanese Exclusive Economic Zone"
140.875,36.125,0.627123058786832,3358,"Japanese Exclusive Economic Zone"
130.125,35.875,0.74448781311816,3248,"South Korean Exclusive Economic Zone"
130.375,35.875,0.728272496701916,3248,"South Korean Exclusive Economic Zone"
130.125,35.625,0.944378496015018,3248,"South Korean Exclusive Economic Zone"
130.375,35.625,0.836485772676845,3248,"South Korean Exclusive Economic Zone"
131.375,35.625,0.559229116136136,3248,"Japanese Exclusive Economic Zone"
131.625,35.625,0.754887863238172,3248,"Japanese Exclusive Economic Zone"
131.875,35.625,0.809496277311509,3248,"Japanese Exclusive Economic Zone"
132.125,35.625,0.832413581980335,3248,"Japanese Exclusive Economic Zone"
131.125,35.375,0.68034124195046,3248,"Japanese Exclusive Economic Zone"
131.375,35.375,0.724906709102325,3248,"Japanese Exclusive Economic Zone"
131.625,35.375,0.822669171027745,3248,"Japanese Exclusive Economic Zone"
131.875,35.375,0.92172224752252,3248,"Japanese Exclusive Economic Zone"
132.125,35.375,0.585446030582071,3248,"Japanese Exclusive Economic Zone"
132.375,35.375,0.39550493852722,3275,"Japanese Exclusive Economic Zone"
130.875,35.125,0.832523679250769,3248,"Japanese Exclusive Economic Zone"
131.125,35.125,0.489572927200904,3248,"Japanese Exclusive Economic Zone"
131.375,35.125,0.440646124112949,3248,"Japanese Exclusive Economic Zone"
131.625,35.125,0.467581501596135,3248,"Japanese Exclusive Economic Zone"
131.875,35.125,0.466253862124615,3248,"Japanese Exclusive Economic Zone"
132.125,35.125,0.466527243869613,3275,"Japanese Exclusive Economic Zone"
130.625,34.875,0.806789034394162,3248,"Japanese Exclusive Economic Zone"
130.875,34.875,0.464038438564969,3248,"Japanese Exclusive Economic Zone"
131.125,34.875,0.470108897272181,3248,"Japanese Exclusive Economic Zone"
131.375,34.875,0.472731060079243,3248,"Japanese Exclusive Economic Zone"
131.625,34.875,0.491853962221181,3248,"Japanese Exclusive Economic Zone"
131.875,34.875,0.439125131737992,3248,"Japanese Exclusive Economic Zone"
138.375,34.875,0.0630022443968017,3330,"Japanese Exclusive Economic Zone"
138.625,34.875,0.126729680194783,3330,"Japanese Exclusive Economic Zone"
140.125,34.875,0.514479731316887,3358,"Japanese Exclusive Economic Zone"
140.375,34.875,0.168042052117212,3358,"Japanese Exclusive Economic Zone"
129.875,34.625,0.731201391615732,3220,"Japanese Exclusive Economic Zone"
130.125,34.625,0.787171982990081,3248,"Japanese Exclusive Economic Zone"
130.375,34.625,0.829484388093492,3248,"Japanese Exclusive Economic Zone"
130.625,34.625,0.48694533116312,3248,"Japanese Exclusive Economic Zone"
130.875,34.625,0.515901588413858,3248,"Japanese Exclusive Economic Zone"
131.125,34.625,0.673532487066129,3248,"Japanese Exclusive Economic Zone"
131.375,34.625,0.674112865763884,3248,"Japanese Exclusive Economic Zone"
134.375,34.625,2.22717114237635,3275,"Japanese Exclusive Economic Zone"
134.625,34.625,2.4320998839504,3275,"Japanese Exclusive Economic Zone"
134.875,34.625,2.37156040138689,3275,"Japanese Exclusive Economic Zone"
135.125,34.625,2.3111530013676,3303,"Japanese Exclusive Economic Zone"
136.625,34.625,1.23020154671802,3303,"Japanese Exclusive Economic Zone"
136.875,34.625,1.32125574942714,3330,"Japanese Exclusive Economic Zone"
137.375,34.625,0.69555521023987,3330,"Japanese Exclusive Economic Zone"
137.625,34.625,0.043973495358848,3330,"Japanese Exclusive Economic Zone"
137.875,34.625,0.0124444679285539,3330,"Japanese Exclusive Economic Zone"
138.125,34.625,0.00613484547916735,3330,"Japanese Exclusive Economic Zone"
138.375,34.625,0.075685586447925,3330,"Japanese Exclusive Economic Zone"
138.625,34.625,0.0847067188113926,3330,"Japanese Exclusive Economic Zone"
139.125,34.625,0.544447304719385,3330,"Japanese Exclusive Economic Zone"
140.125,34.625,0.14640003270307,3358,"Japanese Exclusive Economic Zone"
140.375,34.625,0.107680504774226,3358,"Japanese Exclusive Economic Zone"
127.125,34.375,1.90065534482602,3220,"South Korean Exclusive Economic Zone"
127.375,34.375,1.03825161477601,3220,"South Korean Exclusive Economic Zone"
129.625,34.375,0.389693514247879,3220,"Japanese Exclusive Economic Zone"
