"Species","EEZ","p2","p4","Average","Max"
"Epinephelus coioides","Australian Exclusive Economic Zone",0.00230202578268877,0,0.220923872920402,2.39896633957586
"Epinephelus coioides","Bahraini Exclusive Economic Zone",1,0.368421052631579,3.73532951777162,4.74172357016509
"Epinephelus coioides","Bangladeshi Exclusive Economic Zone",0.362637362637363,0.0659340659340659,1.38895566709935,5.07125583150932
"Epinephelus coioides","Bassas da India Exclusive Economic Zone",0,0,0.0322793167160293,0.0630938865086794
"Epinephelus coioides","Bruneian Exclusive Economic Zone",0,0,0.170413501103647,0.886457725211466
"Epinephelus coioides","Cambodian Exclusive Economic Zone",0,0,0.271253593182283,0.669457563862962
"Epinephelus coioides","Chagos Archipelago Exclusive Economic Zone",0,0,0.379799109415113,0.670455168507418
"Epinephelus coioides","Chinese Exclusive Economic Zone",0.00570125427594071,0.00285062713797035,0.134224835771201,5.97456918507798
"Epinephelus coioides","Christmas Island Exclusive Economic Zone",0,0,0.00864793956979725,0.0100841217064553
"Epinephelus coioides","Cocos Islands Exclusive Economic Zone",0,0,0.0304013927202292,0.0486777708239508
"Epinephelus coioides","Comoran Exclusive Economic Zone",0,0,0.0310625302047293,0.0463588327429031
"Epinephelus coioides","Djiboutian Exclusive Economic Zone",1,0.909090909090909,4.98661360250457,5.93976412772285
"Epinephelus coioides","East Timorian Exclusive Economic Zone",0,0,0.367882395267779,0.66283571096378
"Epinephelus coioides","Egyptian Exclusive Economic Zone",0.56547619047619,0.119047619047619,2.23534772271521,4.87274365603628
"Epinephelus coioides","Eritrean Exclusive Economic Zone",1,1,7.90018241604894,8.2923610758136
"Epinephelus coioides","Fijian Exclusive Economic Zone",0.00191370911621434,0,0.178147137610952,2.39896633957586
"Epinephelus coioides","Ile Europa Exclusive Economic Zone",0,0,0.0338065827638739,0.0683615810751707
"Epinephelus coioides","Indian Exclusive Economic Zone",0.0594827586206897,0,0.803624714839771,3.04256115335907
"Epinephelus coioides","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.12176049287605,0.93778696819665
"Epinephelus coioides","Indonesian Exclusive Economic Zone",0.0159971560611447,0.000355492356914326,0.359881688641085,4.48307620886976
"Epinephelus coioides","Iranian Exclusive Economic Zone",0.912423625254583,0.568228105906314,4.49913692308833,8.2923610758136
"Epinephelus coioides","Iraqi Exclusive Economic Zone",1,0.2,3.28475893444781,4.10786984025581
"Epinephelus coioides","Israeli Exclusive Economic Zone",0,0,0.0140762582501771,0.0205036407819987
"Epinephelus coioides","Japanese Exclusive Economic Zone",0.0081383519837233,0,0.117764403287087,2.93126633648505
"Epinephelus coioides","Joint regime area Australia / Papua New Guinea",0,0,0.00691015898498393,0.0235400387972749
"Epinephelus coioides","Joint regime area Japan / Korea",0,0,0.0813165970114061,0.654489858196062
"Epinephelus coioides","Juan de Nova Exclusive Economic Zone",0,0,0.0209684473186892,0.0318689904881384
"Epinephelus coioides","Kenyan Exclusive Economic Zone",0,0,0.0090471621515132,0.0647784161117766
"Epinephelus coioides","Kiribati Exclusive Economic Zone (Gilbert Islands)",0.0257368202573682,0.00062266500622665,0.539370762992465,4.48307620886976
"Epinephelus coioides","Kuwaiti Exclusive Economic Zone",0.625,0.03125,2.24628435555475,4.10786984025581
"Epinephelus coioides","Madagascan Exclusive Economic Zone",0.00152905198776758,0,0.0513037375014232,2.19648176011659
"Epinephelus coioides","Malaysian Exclusive Economic Zone",0.00793650793650794,0,0.271054437649859,3.53115774994214
"Epinephelus coioides","Maldives Exclusive Economic Zone",0,0,1.14530481697664,1.67184889915927
"Epinephelus coioides","Marshall Islands Exclusive Economic Zone",0,0,0.405517245852887,1.2394625865237
"Epinephelus coioides","Mauritian Exclusive Economic Zone",0,0,0.0553572085177459,0.168111865658051
"Epinephelus coioides","Micronesian Exclusive Economic Zone",0,0,0.681413518164589,1.83157059159966
