"x","y","sigmaNovelty","cell","EEZ"
140.875,36.375,0.477455883025463,3358,"Japanese Exclusive Economic Zone"
140.625,36.125,0.55399733180906,3358,"Japanese Exclusive Economic Zone"
140.875,36.125,0.628611236661409,3358,"Japanese Exclusive Economic Zone"
139.125,35.125,0.765892210673983,3330,"Japanese Exclusive Economic Zone"
139.375,35.125,0.400820806492318,3330,"Japanese Exclusive Economic Zone"
139.625,35.125,0.550854823931239,3330,"Japanese Exclusive Economic Zone"
138.375,34.875,0.0250382544660997,3330,"Japanese Exclusive Economic Zone"
138.625,34.875,0.088351179451282,3330,"Japanese Exclusive Economic Zone"
139.125,34.875,0.142579270193344,3330,"Japanese Exclusive Economic Zone"
139.375,34.875,0.199501514843872,3330,"Japanese Exclusive Economic Zone"
139.625,34.875,0.094412815835988,3330,"Japanese Exclusive Economic Zone"
139.875,34.875,0.0669503079979339,3358,"Japanese Exclusive Economic Zone"
140.125,34.875,0.119528488782427,3358,"Japanese Exclusive Economic Zone"
140.375,34.875,0.167930263700263,3358,"Japanese Exclusive Economic Zone"
136.625,34.625,0.430485073351007,3303,"Japanese Exclusive Economic Zone"
136.875,34.625,0.447499616366149,3330,"Japanese Exclusive Economic Zone"
137.375,34.625,0.137347577215212,3330,"Japanese Exclusive Economic Zone"
137.625,34.625,0.0439258642248662,3330,"Japanese Exclusive Economic Zone"
137.875,34.625,0.0122791804569827,3330,"Japanese Exclusive Economic Zone"
138.125,34.625,0.00612916575991599,3330,"Japanese Exclusive Economic Zone"
138.375,34.625,0.0605928876391499,3330,"Japanese Exclusive Economic Zone"
138.625,34.625,0.0385914025603456,3330,"Japanese Exclusive Economic Zone"
139.125,34.625,0.544096040599062,3330,"Japanese Exclusive Economic Zone"
139.375,34.625,0.535301652006198,3330,"Japanese Exclusive Economic Zone"
139.625,34.625,0.28864765485126,3330,"Japanese Exclusive Economic Zone"
139.875,34.625,0.352303171114051,3330,"Japanese Exclusive Economic Zone"
140.125,34.625,0.146326840179379,3358,"Japanese Exclusive Economic Zone"
140.375,34.625,0.0677637542513134,3358,"Japanese Exclusive Economic Zone"
137.125,34.375,0.265538271774453,3330,"Japanese Exclusive Economic Zone"
137.375,34.375,0.0220305745426938,3330,"Japanese Exclusive Economic Zone"
137.625,34.375,0.00359878304423324,3330,"Japanese Exclusive Economic Zone"
137.875,34.375,0.00731261556344748,3330,"Japanese Exclusive Economic Zone"
138.125,34.375,0.00876368836890546,3330,"Japanese Exclusive Economic Zone"
138.375,34.375,0.00601290465925819,3330,"Japanese Exclusive Economic Zone"
138.625,34.375,0.00187293103076125,3330,"Japanese Exclusive Economic Zone"
138.875,34.375,0.000487377961047738,3330,"Japanese Exclusive Economic Zone"
139.125,34.375,8.5415059845673e-05,3330,"Japanese Exclusive Economic Zone"
139.375,34.375,0.000400632644512859,3330,"Japanese Exclusive Economic Zone"
139.625,34.375,0.000674327521425236,3330,"Japanese Exclusive Economic Zone"
139.875,34.375,0.000801477379437129,3330,"Japanese Exclusive Economic Zone"
140.125,34.375,0.00242377710854921,3357,"Japanese Exclusive Economic Zone"
130.375,34.125,0.13356135050345,3247,"Japanese Exclusive Economic Zone"
130.625,34.125,0.138948694523912,3247,"Japanese Exclusive Economic Zone"
132.875,34.125,2.41252001798464,3275,"Japanese Exclusive Economic Zone"
133.125,34.125,2.88987089975359,3275,"Japanese Exclusive Economic Zone"
133.375,34.125,2.52586432281968,3275,"Japanese Exclusive Economic Zone"
133.625,34.125,2.93126633648505,3275,"Japanese Exclusive Economic Zone"
134.625,34.125,1.08947687767134,3275,"Japanese Exclusive Economic Zone"
134.875,34.125,0.870594179045646,3302,"Japanese Exclusive Economic Zone"
135.125,34.125,2.0099129200204,3302,"Japanese Exclusive Economic Zone"
136.375,34.125,0.0101046724144817,3302,"Japanese Exclusive Economic Zone"
136.625,34.125,0.0149662743886393,3302,"Japanese Exclusive Economic Zone"
136.875,34.125,0.00153385439176192,3302,"Japanese Exclusive Economic Zone"
137.125,34.125,0.00201316661915055,3330,"Japanese Exclusive Economic Zone"
137.375,34.125,0.00150955031923994,3330,"Japanese Exclusive Economic Zone"
138.125,34.125,0.000162173728102237,3330,"Japanese Exclusive Economic Zone"
138.375,34.125,0.00245494467498724,3330,"Japanese Exclusive Economic Zone"
139.125,34.125,0.0111806346999872,3330,"Japanese Exclusive Economic Zone"
139.375,34.125,0.0147037711556838,3330,"Japanese Exclusive Economic Zone"
139.625,34.125,0.0155838752734982,3330,"Japanese Exclusive Economic Zone"
139.875,34.125,0.00733426201491145,3357,"Japanese Exclusive Economic Zone"
140.125,34.125,0.00806567241147768,3357,"Japanese Exclusive Economic Zone"
130.125,33.875,0.119606685173705,3247,"Japanese Exclusive Economic Zone"
130.375,33.875,0.132103408899242,3247,"Japanese Exclusive Economic Zone"
131.125,33.875,2.06028330968703,3247,"Japanese Exclusive Economic Zone"
131.375,33.875,2.04251934494479,3247,"Japanese Exclusive Economic Zone"
132.625,33.875,0.589417175043909,3275,"Japanese Exclusive Economic Zone"
134.875,33.875,0.647065393258329,3302,"Japanese Exclusive Economic Zone"
135.125,33.875,0.59573584367769,3302,"Japanese Exclusive Economic Zone"
136.125,33.875,0.000967955561630258,3302,"Japanese Exclusive Economic Zone"
136.375,33.875,0.00111503953792454,3302,"Japanese Exclusive Economic Zone"
136.625,33.875,0.00615045684330026,3302,"Japanese Exclusive Economic Zone"
136.875,33.875,0.00171866751978667,3302,"Japanese Exclusive Economic Zone"
137.125,33.875,0.0018253605483828,3330,"Japanese Exclusive Economic Zone"
139.375,33.875,0.0562604337753876,3330,"Japanese Exclusive Economic Zone"
139.875,33.875,0.0522546416652587,3357,"Japanese Exclusive Economic Zone"
140.125,33.875,0.0573932800015247,3357,"Japanese Exclusive Economic Zone"
129.875,33.625,0.211181771474434,3247,"Japanese Exclusive Economic Zone"
130.125,33.625,0.225052398056174,3247,"Japanese Exclusive Economic Zone"
130.375,33.625,0.176134911480684,3247,"Japanese Exclusive Economic Zone"
131.125,33.625,2.31888992247646,3247,NA
131.375,33.625,1.99704854042792,3247,"Japanese Exclusive Economic Zone"
131.875,33.625,0.881641142964648,3247,"Japanese Exclusive Economic Zone"
132.125,33.625,0.450331215226149,3247,"Japanese Exclusive Economic Zone"
132.375,33.625,0.419484242600937,3275,"Japanese Exclusive Economic Zone"
134.375,33.625,0.322549746223085,3302,"Japanese Exclusive Economic Zone"
134.625,33.625,0.266724842537892,3302,"Japanese Exclusive Economic Zone"
134.875,33.625,0.360784192945427,3302,"Japanese Exclusive Economic Zone"
135.125,33.625,0.0353568404422853,3302,"Japanese Exclusive Economic Zone"
135.375,33.625,0.026257386954747,3302,"Japanese Exclusive Economic Zone"
136.125,33.625,0.00163896022765011,3302,"Japanese Exclusive Economic Zone"
136.375,33.625,0.000643521777139647,3302,"Japanese Exclusive Economic Zone"
139.375,33.625,0.0422357639384803,3357,"Japanese Exclusive Economic Zone"
139.625,33.625,0.0473927484399796,3357,"Japanese Exclusive Economic Zone"
139.875,33.625,0.0511038738514327,3357,"Japanese Exclusive Economic Zone"
140.125,33.625,0.0542878390325706,3357,"Japanese Exclusive Economic Zone"
131.875,33.375,0.433993972310959,3247,"Japanese Exclusive Economic Zone"
132.375,33.375,0.153326991037897,3275,"Japanese Exclusive Economic Zone"
133.375,33.375,0.129531965383327,3275,"Japanese Exclusive Economic Zone"
133.625,33.375,0.0973191269153288,3275,"Japanese Exclusive Economic Zone"
133.875,33.375,0.0633869671707554,3275,"Japanese Exclusive Economic Zone"
134.375,33.375,0.0293797147857811,3302,"Japanese Exclusive Economic Zone"
134.625,33.375,0.0332005111558345,3302,"Japanese Exclusive Economic Zone"
134.875,33.375,0.0698239989019608,3302,"Japanese Exclusive Economic Zone"
135.125,33.375,0.0815874128203391,3302,"Japanese Exclusive Economic Zone"
135.375,33.375,0.0935076918738091,3302,"Japanese Exclusive Economic Zone"
135.625,33.375,0.0750530090444036,3302,"Japanese Exclusive Economic Zone"
135.875,33.375,0.0759708559371786,3302,"Japanese Exclusive Economic Zone"
136.125,33.375,0.0881463731587588,3302,"Japanese Exclusive Economic Zone"
139.375,33.375,0.0317532514744355,3357,"Japanese Exclusive Economic Zone"
139.625,33.375,0.0314297874324924,3357,"Japanese Exclusive Economic Zone"
139.875,33.375,0.0353324308930365,3357,"Japanese Exclusive Economic Zone"
140.125,33.375,0.0307493270977697,3357,"Japanese Exclusive Economic Zone"
128.875,33.125,0.113104294092454,3219,"Japanese Exclusive Economic Zone"
129.125,33.125,0.291915445999756,3247,"Japanese Exclusive Economic Zone"
129.375,33.125,0.0709972192921707,3247,"Japanese Exclusive Economic Zone"
129.625,33.125,0.0272037316410218,3247,"Japanese Exclusive Economic Zone"
132.125,33.125,0.100718731974889,3247,"Japanese Exclusive Economic Zone"
132.375,33.125,0.303385768876226,3274,"Japanese Exclusive Economic Zone"
133.375,33.125,0.0176564901245082,3274,"Japanese Exclusive Economic Zone"
133.625,33.125,0.0354651473107599,3274,"Japanese Exclusive Economic Zone"
133.875,33.125,0.07998606516068,3274,"Japanese Exclusive Economic Zone"
134.125,33.125,0.0913384208265,3302,"Japanese Exclusive Economic Zone"
134.375,33.125,0.045834725152591,3302,"Japanese Exclusive Economic Zone"
135.625,33.125,0.00273025693656966,3302,"Japanese Exclusive Economic Zone"
135.875,33.125,0.0113778937710557,3302,"Japanese Exclusive Economic Zone"
139.625,33.125,0.102830626666842,3357,"Japanese Exclusive Economic Zone"
139.875,33.125,0.0910635949860544,3357,"Japanese Exclusive Economic Zone"
128.625,32.875,0.084999306119114,3219,"Japanese Exclusive Economic Zone"
128.875,32.875,0.27155724425684,3219,"Japanese Exclusive Economic Zone"
129.125,32.875,0.23052598398022,3219,"Japanese Exclusive Economic Zone"
129.375,32.875,0.119887310241634,3247,"Japanese Exclusive Economic Zone"
129.625,32.875,0.0710405000290295,3247,"Japanese Exclusive Economic Zone"
129.875,32.875,0.00158796420857998,3247,"Japanese Exclusive Economic Zone"
130.375,32.875,1.85564211589695,3247,"Japanese Exclusive Economic Zone"
132.125,32.875,0.251630040021868,3274,"Japanese Exclusive Economic Zone"
132.375,32.875,0.348661452727854,3274,"Japanese Exclusive Economic Zone"
132.625,32.875,0.212769728253185,3274,"Japanese Exclusive Economic Zone"
133.125,32.875,0.0217823830327016,3274,"Japanese Exclusive Economic Zone"
133.375,32.875,0.0363342211959232,3274,"Japanese Exclusive Economic Zone"
133.625,32.875,0.0508388414637788,3274,"Japanese Exclusive Economic Zone"
133.875,32.875,0.0177960384101311,3274,"Japanese Exclusive Economic Zone"
134.125,32.875,0.00284795649332978,3274,"Japanese Exclusive Economic Zone"
128.375,32.625,0.0185830421401853,3219,"Japanese Exclusive Economic Zone"
128.625,32.625,0.1105487950573,3219,NA
128.875,32.625,0.0720449691791161,3219,"Japanese Exclusive Economic Zone"
129.125,32.625,0.0473803380139296,3219,"Japanese Exclusive Economic Zone"
129.375,32.625,0.0824887026289459,3247,"Japanese Exclusive Economic Zone"
129.625,32.625,0.018013268330995,3247,"Japanese Exclusive Economic Zone"
129.875,32.625,0.021736131660734,3247,"Japanese Exclusive Economic Zone"
130.125,32.625,0.104874639210799,3247,"Japanese Exclusive Economic Zone"
130.375,32.625,1.47639518912146,3247,"Japanese Exclusive Economic Zone"
130.625,32.625,1.88971183907376,3247,"Japanese Exclusive Economic Zone"
131.875,32.625,0.198030693445019,3274,"Japanese Exclusive Economic Zone"
132.125,32.625,0.0605587913971287,3274,"Japanese Exclusive Economic Zone"
132.375,32.625,0.0442463969870408,3274,"Japanese Exclusive Economic Zone"
132.625,32.625,0.0502606652961859,3274,"Japanese Exclusive Economic Zone"
132.875,32.625,0.0930233844998326,3274,"Japanese Exclusive Economic Zone"
133.125,32.625,0.0529031355227267,3274,"Japanese Exclusive Economic Zone"
133.375,32.625,0.00530844428298142,3274,"Japanese Exclusive Economic Zone"
34.625,32.375,0.00764887571835552,2231,"Israeli Exclusive Economic Zone"
128.125,32.375,0.0147294363103082,3219,"Japanese Exclusive Economic Zone"
128.375,32.375,0.00874593177750994,3219,"Japanese Exclusive Economic Zone"
128.625,32.375,0.0105640993013675,3219,"Japanese Exclusive Economic Zone"
128.875,32.375,0.0194173125659895,3219,"Japanese Exclusive Economic Zone"
129.125,32.375,0.0138296999064833,3219,"Japanese Exclusive Economic Zone"
129.375,32.375,0.0145132299235381,3219,"Japanese Exclusive Economic Zone"
129.625,32.375,0.0287504295496654,3247,"Japanese Exclusive Economic Zone"
129.875,32.375,0.00610052895651197,3247,"Japanese Exclusive Economic Zone"
130.375,32.375,0.906156838929641,3247,"Japanese Exclusive Economic Zone"
131.875,32.375,0.0808526095392352,3274,"Japanese Exclusive Economic Zone"
132.125,32.375,0.0792030664386898,3274,"Japanese Exclusive Economic Zone"
132.375,32.375,0.0844277681760078,3274,"Japanese Exclusive Economic Zone"
132.625,32.375,0.0255806018148586,3274,"Japanese Exclusive Economic Zone"
132.875,32.375,0.00178716437367953,3274,"Japanese Exclusive Economic Zone"
133.125,32.375,5.81754341314157e-05,3274,"Japanese Exclusive Economic Zone"
139.625,32.375,0.0543747632672506,3357,"Japanese Exclusive Economic Zone"
139.875,32.375,0.022505574075718,3357,"Japanese Exclusive Economic Zone"
34.625,32.125,0.0205036407819987,2231,"Israeli Exclusive Economic Zone"
127.875,32.125,0.128079172069404,3219,"Joint regime area Japan / Korea"
128.125,32.125,0.0378891403699743,3219,"Japanese Exclusive Economic Zone"
128.375,32.125,0.0205299286148131,3219,"Japanese Exclusive Economic Zone"
128.625,32.125,0.00192667512479007,3219,"Japanese Exclusive Economic Zone"
129.375,32.125,0.00253292406285322,3219,"Japanese Exclusive Economic Zone"
129.625,32.125,0.00362653486491933,3247,"Japanese Exclusive Economic Zone"
129.875,32.125,0.0166160506909275,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.0836308658125356,3274,"Japanese Exclusive Economic Zone"
131.875,32.125,0.0670730006014326,3274,"Japanese Exclusive Economic Zone"
132.125,32.125,0.146112818195617,3274,"Japanese Exclusive Economic Zone"
139.625,32.125,0.0478781893684236,3357,"Japanese Exclusive Economic Zone"
139.875,32.125,0.0216721318200114,3357,"Japanese Exclusive Economic Zone"
127.875,31.875,0.142941313687876,3219,"Joint regime area Japan / Korea"
128.125,31.875,0.0931333149097555,3219,"Joint regime area Japan / Korea"
