"Species","EEZ","p2","p4","Average","Max"
"Epinephelus fuscoguttatus","American Samoa Exclusive Economic Zone",0,0,0.791656034114658,1.59601048055523
"Epinephelus fuscoguttatus","Australian Exclusive Economic Zone",0.00256410256410256,0,0.232737601618377,2.46664725486224
"Epinephelus fuscoguttatus","Bangladeshi Exclusive Economic Zone",1,0.5,4.31935715982262,5.14093796053034
"Epinephelus fuscoguttatus","Bassas da India Exclusive Economic Zone",0,0,0.0327071102976503,0.0628122823541414
"Epinephelus fuscoguttatus","Bruneian Exclusive Economic Zone",0,0,0.177875983392832,0.887635935142349
"Epinephelus fuscoguttatus","Cambodian Exclusive Economic Zone",0,0,0.271443296446081,0.670813934651203
"Epinephelus fuscoguttatus","Chagos Archipelago Exclusive Economic Zone",0,0,0.362766772079874,0.745880010263609
"Epinephelus fuscoguttatus","Chinese Exclusive Economic Zone",0.00288461538461538,0.00192307692307692,0.208601015225473,5.93007177208179
"Epinephelus fuscoguttatus","Christmas Island Exclusive Economic Zone",0,0,0.00908674755712659,0.0165856468668071
"Epinephelus fuscoguttatus","Cocos Islands Exclusive Economic Zone",0,0,0.0336088852678159,0.0587225934114302
"Epinephelus fuscoguttatus","Comoran Exclusive Economic Zone",0,0,0.0280544681879442,0.0618432287521134
"Epinephelus fuscoguttatus","Djiboutian Exclusive Economic Zone",1,1,5.1159480564258,5.94022519035097
"Epinephelus fuscoguttatus","East Timorian Exclusive Economic Zone",0,0,0.367619319132331,0.662708597464022
"Epinephelus fuscoguttatus","Egyptian Exclusive Economic Zone",0.572289156626506,0.120481927710843,2.26262000794292,4.87325153562854
"Epinephelus fuscoguttatus","Eritrean Exclusive Economic Zone",1,1,7.90224806280393,8.2923610758136
"Epinephelus fuscoguttatus","Fijian Exclusive Economic Zone",0.00142616361986257,0,0.214663531382965,2.4001246924257
"Epinephelus fuscoguttatus","French Polynesian Exclusive Economic Zone",0,0,0.0308880663338014,0.0426395965161298
"Epinephelus fuscoguttatus","Guam Exclusive Economic Zone",0,0,0.312298848112961,0.373695781686398
"Epinephelus fuscoguttatus","Howland and Baker Islands Exclusive Economic Zone",0,0,0.743215888335979,1.14962002693527
"Epinephelus fuscoguttatus","Ile Europa Exclusive Economic Zone",0,0,0.0338187138034649,0.0688092890548973
"Epinephelus fuscoguttatus","Indian Exclusive Economic Zone",0.0898778359511344,0,1.04770532129898,3.04360888743972
"Epinephelus fuscoguttatus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.0020746887966805,0,0.136884495664024,2.06657151413812
"Epinephelus fuscoguttatus","Indonesian Exclusive Economic Zone",0.0159227985524729,0.000361881785283474,0.364605902331315,4.48321490707918
"Epinephelus fuscoguttatus","Iranian Exclusive Economic Zone",1,1,5.55145266438548,5.7828618613816
"Epinephelus fuscoguttatus","Japanese Exclusive Economic Zone",0,0,0.280090300176221,0.71718220440118
"Epinephelus fuscoguttatus","Jarvis Island Exclusive Economic Zone",0,0,0.0362910817714814,0.0417794510100651
"Epinephelus fuscoguttatus","Joint regime area Australia / Papua New Guinea",0,0,0.00692543617307127,0.0235077832602467
"Epinephelus fuscoguttatus","Joint regime area Japan / Korea",0,0,0.381453044008744,0.694980886042085
"Epinephelus fuscoguttatus","Juan de Nova Exclusive Economic Zone",0,0,0.0231301117188378,0.0419526917564823
"Epinephelus fuscoguttatus","Kenyan Exclusive Economic Zone",0,0,0.00902416847437801,0.0646701740724337
"Epinephelus fuscoguttatus","Kiribati Exclusive Economic Zone (Gilbert Islands)",0.0217580504786771,0.000522193211488251,0.60513877009799,4.48321490707918
"Epinephelus fuscoguttatus","Kiribati Exclusive Economic Zone (Line Islands)",0,0,0.107538388950605,0.130316720166881
"Epinephelus fuscoguttatus","Kiribati Exclusive Economic Zone (Phoenix Islands)",0,0,0.286074676899039,1.14962002693527
"Epinephelus fuscoguttatus","Madagascan Exclusive Economic Zone",0.000881057268722467,0,0.046582730118783,2.1978008984065
"Epinephelus fuscoguttatus","Malaysian Exclusive Economic Zone",0.0068259385665529,0,0.286058638865306,3.27460716151339
"Epinephelus fuscoguttatus","Maldives Exclusive Economic Zone",0,0,1.07482451541361,1.74031411120831
"Epinephelus fuscoguttatus","Marshall Islands Exclusive Economic Zone",0,0,0.46399416889548,1.39053031879746
"Epinephelus fuscoguttatus","Mauritian Exclusive Economic Zone",0,0,0.054694282293083,0.167832319644363
"Epinephelus fuscoguttatus","Micronesian Exclusive Economic Zone",0,0,0.753554942421324,1.83161842153866
"Epinephelus fuscoguttatus","Mozambican Exclusive Economic Zone",0,0,0.0398567835284251,1.04967120476157
"Epinephelus fuscoguttatus","Myanmar Exclusive Economic Zone",0.00647948164146868,0,0.243002064775142,3.34669815526182
"Epinephelus fuscoguttatus","Nauruan Exclusive Economic Zone",0.0806451612903226,0,1.51520669966889,2.03891544049327
"Epinephelus fuscoguttatus","New Caledonian Exclusive Economic Zone",0,0,0.0274988294173609,0.159708330658917
"Epinephelus fuscoguttatus","New Zealand Exclusive Economic Zone",0.00543478260869565,0,0.0252147579092249,2.46664725486224
"Epinephelus fuscoguttatus","Northern Mariana Exclusive Economic Zone",0,0,0.276024456236294,0.373695781686398
"Epinephelus fuscoguttatus","Oecussi Ambeno Exclusive Economic Zone",0,0,0.00201534561779612,0.00340151611988576
"Epinephelus fuscoguttatus","Omani Exclusive Economic Zone",0.727272727272727,0.727272727272727,4.14304185023029,5.7828618613816
"Epinephelus fuscoguttatus","Overlapping claim Glorioso Islands: France / Madagascar",0,0,0.0264928617538544,0.0681586142982398
"Epinephelus fuscoguttatus","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,0.042427695806483,0.0441018693131306
"Epinephelus fuscoguttatus","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.0487971960144302,0.0897904268362158
"Epinephelus fuscoguttatus","Overlapping claim Mayotte: France / Comoros",0,0,0.0338637206226884,0.0618432287521134
"Epinephelus fuscoguttatus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.124406359365951,0.672721634805456
"Epinephelus fuscoguttatus","Overlapping claim South China Sea",0,0,0.156442427063593,1.27861925682583
"Epinephelus fuscoguttatus","Overlapping claim: Kenya / Somalia",0,0,0.00572541811528765,0.00887168052647395
"Epinephelus fuscoguttatus","Overlapping claim: Sudan / Egypt",1,1,5.31660435270653,6.40783204759095
"Epinephelus fuscoguttatus","Pakistani Exclusive Economic Zone",0,0,0.574262797302302,1.84200463764116
"Epinephelus fuscoguttatus","Palau Exclusive Economic Zone",0,0,0.454436586426376,0.794896424943332
"Epinephelus fuscoguttatus","Palmyra Atoll Exclusive Economic Zone",0,0,0.113906035544547,0.137377558484344
"Epinephelus fuscoguttatus","Papua New Guinean Exclusive Economic Zone",0.00179275726066691,0,0.529872131990673,3.42994321145723
"Epinephelus fuscoguttatus","Philippines Exclusive Economic Zone",0.00578313253012048,0.000963855421686747,0.451423930139257,5.93007177208179
"Epinephelus fuscoguttatus","Réunion Exclusive Economic Zone",0,0,0.0761532267367418,0.167832319644363
"Epinephelus fuscoguttatus","Samoan Exclusive Economic Zone",0,0,0.639924302289434,1.53501661407929
"Epinephelus fuscoguttatus","Saudi Arabian Exclusive Economic Zone",0.903092783505155,0.729896907216495,5.76911406633754,8.2923610758136
"Epinephelus fuscoguttatus","Seychellois Exclusive Economic Zone",0,0,0.136540637419113,0.51128044257888
"Epinephelus fuscoguttatus","Solomon Islands Exclusive Economic Zone",0,0,0.702458510789713,1.42135241633398
"Epinephelus fuscoguttatus","Somali Exclusive Economic Zone",0.264054514480409,0.131175468483816,1.18314457632284,7.28257168910404
"Epinephelus fuscoguttatus","Sri Lankan Exclusive Economic Zone",0.0909090909090909,0,0.640728668698788,3.04360888743972
"Epinephelus fuscoguttatus","Sudanese Exclusive Economic Zone",1,1,7.17376327236481,8.2923610758136
"Epinephelus fuscoguttatus","Taiwanese Exclusive Economic Zone",0.00199203187250996,0,0.117339804623998,2.41600207292253
"Epinephelus fuscoguttatus","Tanzanian Exclusive Economic Zone",0,0,0.0207760920095597,0.0746315693217974
"Epinephelus fuscoguttatus","Thailand Exclusive Economic Zone",0.0087260034904014,0,0.289231656874995,2.4112905995693
"Epinephelus fuscoguttatus","Tokelau Exclusive Economic Zone",0,0,1.23512323805687,1.59601048055523
"Epinephelus fuscoguttatus","Tongan Exclusive Economic Zone",0,0,0.0880248552255357,0.393505386333309
"Epinephelus fuscoguttatus","Tuvaluan Exclusive Economic Zone",0.00111870727159727,0,0.36086128651034,3.42994321145723
"Epinephelus fuscoguttatus","United Arab Emirates Exclusive Economic Zone",1,1,5.61820131469909,5.7828618613816
