"Species","EEZ","p2","p4","Average","Max"
"Epinephelus lanceolatus","American Samoa Exclusive Economic Zone",0,0,0.819945533137777,1.59585259701256
"Epinephelus lanceolatus","Angolan Exclusive Economic Zone",1,1,6.5870533470845,8.2923610758136
"Epinephelus lanceolatus","Australian Exclusive Economic Zone",0.0021079258010118,0,0.210883550048154,2.39948281552619
"Epinephelus lanceolatus","Bassas da India Exclusive Economic Zone",0,0,0.0322220542205012,0.0628027863924198
"Epinephelus lanceolatus","Bruneian Exclusive Economic Zone",0,0,0.174227368310737,0.887036200929302
"Epinephelus lanceolatus","Cambodian Exclusive Economic Zone",0,0,0.271170413921259,0.670120170443356
"Epinephelus lanceolatus","Chagos Archipelago Exclusive Economic Zone",0,0,0.362468931505097,0.745434146962211
"Epinephelus lanceolatus","Chinese Exclusive Economic Zone",0.010388190267906,0.00273373428102788,0.244321357734223,5.92981077868793
"Epinephelus lanceolatus","Christmas Island Exclusive Economic Zone",0,0,0.00907046719451616,0.0165515718821142
"Epinephelus lanceolatus","Cocos Islands Exclusive Economic Zone",0,0,0.0335927780649403,0.0586149523167111
"Epinephelus lanceolatus","Comoran Exclusive Economic Zone",0,0,0.0280101608003486,0.0617297586608599
"Epinephelus lanceolatus","Congolese Exclusive Economic Zone",1,1,6.5870533470845,8.2923610758136
"Epinephelus lanceolatus","Cook Islands Exclusive Economic Zone",0,0,0.320402854082781,1.34257408306209
"Epinephelus lanceolatus","Democratic Republic of the Congo Exclusive Economic Zone",1,1,6.5870533470845,8.2923610758136
"Epinephelus lanceolatus","Djiboutian Exclusive Economic Zone",1,0.904761904761905,4.9791527097599,5.93984621625888
"Epinephelus lanceolatus","East Timorian Exclusive Economic Zone",0,0,0.367440326804729,0.662422917226113
"Epinephelus lanceolatus","Egyptian Exclusive Economic Zone",0.953488372093023,0.232558139534884,3.29789062337871,4.87286914172322
"Epinephelus lanceolatus","Eritrean Exclusive Economic Zone",1,1,7.8986467960859,8.2923610758136
