"Species","EEZ","p2","p4","Average","Max"
"Epinephelus tauvina","American Samoa Exclusive Economic Zone",0,0,0.820027915511808,1.59595962094414
"Epinephelus tauvina","Australian Exclusive Economic Zone",0.00220215811495265,0,0.216504114427046,2.39936541632465
"Epinephelus tauvina","Bahraini Exclusive Economic Zone",1,0.636363636363636,4.12764152358584,4.74232678408563
"Epinephelus tauvina","Bassas da India Exclusive Economic Zone",0,0,0.0318246324406485,0.062827386556378
"Epinephelus tauvina","Bruneian Exclusive Economic Zone",0,0,0.167152318566333,0.886927579027421
"Epinephelus tauvina","Cambodian Exclusive Economic Zone",0,0,0.271923301249672,0.669897186280085
"Epinephelus tauvina","Chagos Archipelago Exclusive Economic Zone",0,0,0.357177402865834,0.745402789016488
"Epinephelus tauvina","Chinese Exclusive Economic Zone",0.00750750750750751,0.00375375375375375,0.159300587757446,5.9755170319394
"Epinephelus tauvina","Christmas Island Exclusive Economic Zone",0,0,0.00910695586221956,0.0165365928670678
"Epinephelus tauvina","Cocos Islands Exclusive Economic Zone",0,0,0.0329880438131913,0.058588734166087
"Epinephelus tauvina","Comoran Exclusive Economic Zone",0,0,0.0280100880894186,0.0617139772863589
"Epinephelus tauvina","Cook Islands Exclusive Economic Zone",0,0,0.320501195066473,1.34268519754354
"Epinephelus tauvina","Djiboutian Exclusive Economic Zone",1,0.909090909090909,4.98668848139659,5.93984487649763
"Epinephelus tauvina","East Timorian Exclusive Economic Zone",0,0,0.369617542822934,0.662449248841692
"Epinephelus tauvina","Egyptian Exclusive Economic Zone",0.568862275449102,0.119760479041916,2.2524890914237,4.87284815925994
"Epinephelus tauvina","Eritrean Exclusive Economic Zone",1,1,7.90015821614558,8.2923610758136
"Epinephelus tauvina","Fijian Exclusive Economic Zone",0.000978299537531128,0,0.178212787837096,2.39936541632465
"Epinephelus tauvina","French Polynesian Exclusive Economic Zone",0,0,0.0431293330678368,0.457926129761744
"Epinephelus tauvina","Guam Exclusive Economic Zone",0,0,0.311950774947592,0.37324690202453
"Epinephelus tauvina","Howland and Baker Islands Exclusive Economic Zone",0,0,0.74302719212812,1.14948164980395
"Epinephelus tauvina","Ile Europa Exclusive Economic Zone",0,0,0.0333165909971651,0.0685574676211982
"Epinephelus tauvina","Indian Exclusive Economic Zone",0.111595466434176,0,1.12843293977561,3.04293900177927
"Epinephelus tauvina","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.115897106093209,0.412314433401763
"Epinephelus tauvina","Indonesian Exclusive Economic Zone",0.0172849355138944,0.000398883127243718,0.361513723387433,4.4830030840149
"Epinephelus tauvina","Iranian Exclusive Economic Zone",0.922535211267606,0.669014084507042,4.57865489459091,8.2923610758136
"Epinephelus tauvina","Iraqi Exclusive Economic Zone",1,0,2.67717870745158,3.24117290839872
"Epinephelus tauvina","Japanese Exclusive Economic Zone",0,0,0.17128732533556,1.56982721195014
"Epinephelus tauvina","Jarvis Island Exclusive Economic Zone",0,0,0.12874169319331,0.330602824322747
"Epinephelus tauvina","Johnston Atoll Exclusive Economic Zone",0,0,0.0243665402964347,0.025484503810051
"Epinephelus tauvina","Joint regime area Australia / Papua New Guinea",0,0,0.00694015748575082,0.023586571413572
"Epinephelus tauvina","Joint regime area Japan / Korea",0,0,0.145953800796735,0.49121362224598
"Epinephelus tauvina","Juan de Nova Exclusive Economic Zone",0,0,0.0231052703176369,0.0418893257152469
"Epinephelus tauvina","Kenyan Exclusive Economic Zone",0,0,0.00921447388473161,0.0645884954403302
"Epinephelus tauvina","Kiribati Exclusive Economic Zone (Gilbert Islands)",0.0221422142214221,0.00054005400540054,0.591766786008825,4.4830030840149
"Epinephelus tauvina","Kiribati Exclusive Economic Zone (Line Islands)",0,0,0.179377916934943,0.988849458444257
"Epinephelus tauvina","Kiribati Exclusive Economic Zone (Phoenix Islands)",0,0,0.28586841141768,1.14948164980395
"Epinephelus tauvina","Kuwaiti Exclusive Economic Zone",0.75,0,2.35928667478098,3.24117290839872
"Epinephelus tauvina","Madagascan Exclusive Economic Zone",0.000877963125548727,0,0.0442758137424377,2.19757627265448
"Epinephelus tauvina","Malaysian Exclusive Economic Zone",0.00497203231821007,0,0.236306082863689,2.66167914411508
"Epinephelus tauvina","Maldives Exclusive Economic Zone",0,0,1.06741297991328,1.73978088497045
"Epinephelus tauvina","Marshall Islands Exclusive Economic Zone",0,0,0.451129451389248,1.39032020077047
"Epinephelus tauvina","Mauritian Exclusive Economic Zone",0,0,0.0515809936731471,0.167735311919493
"Epinephelus tauvina","Micronesian Exclusive Economic Zone",0,0,0.754627212087809,1.83125133337826
"Epinephelus tauvina","Mozambican Exclusive Economic Zone",0,0,0.0388224059655296,1.43885766728302
"Epinephelus tauvina","Myanmar Exclusive Economic Zone",0,0,0.14674727492321,0.706869414915651
"Epinephelus tauvina","Nauruan Exclusive Economic Zone",0.0806451612903226,0,1.51475659179476,2.03860673815864
"Epinephelus tauvina","New Caledonian Exclusive Economic Zone",0,0,0.0219531802970598,0.159556784560785
"Epinephelus tauvina","New Zealand Exclusive Economic Zone",0,0,0.00913835792558834,0.100171740088116
"Epinephelus tauvina","Niue Exclusive Economic Zone",0,0,0.0289722108750918,0.0495750095409969
"Epinephelus tauvina","Northern Mariana Exclusive Economic Zone",0,0,0.239817853539226,0.37324690202453
"Epinephelus tauvina","Oecussi Ambeno Exclusive Economic Zone",0,0,0.00203381703479675,0.00344520250248838
"Epinephelus tauvina","Omani Exclusive Economic Zone",0.587301587301587,0.439153439153439,3.09152591076801,8.2923610758136
"Epinephelus tauvina","Overlapping claim Glorioso Islands: France / Madagascar",0,0,0.0264552230471302,0.068091725968979
"Epinephelus tauvina","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,0.0423731208522213,0.0440487228249687
"Epinephelus tauvina","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.00859312555949323,0.089363420104428
"Epinephelus tauvina","Overlapping claim Mayotte: France / Comoros",0,0,0.0338128219607777,0.0617139772863589
"Epinephelus tauvina","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.104530114088498,0.608154400303848
"Epinephelus tauvina","Overlapping claim South China Sea",0,0,0.148728700895027,1.27809406116805
"Epinephelus tauvina","Overlapping claim: Iran / United Arab Emirates",1,1,7.15769531338415,8.2923610758136
"Epinephelus tauvina","Overlapping claim: Kenya / Somalia",0,0,0.00570179803617597,0.00884518902734599
"Epinephelus tauvina","Overlapping claim: Sudan / Egypt",1,1,5.31624630642233,6.40747696371915
"Epinephelus tauvina","Pakistani Exclusive Economic Zone",0,0,0.737628600009052,1.8416497884484
"Epinephelus tauvina","Palau Exclusive Economic Zone",0,0,0.451781565888936,0.794587910799183
"Epinephelus tauvina","Palmyra Atoll Exclusive Economic Zone",0,0,0.10160041818713,0.137520453576729
"Epinephelus tauvina","Papua New Guinean Exclusive Economic Zone",0.00178126113288208,0,0.529563608700778,3.3677943326508
"Epinephelus tauvina","Philippines Exclusive Economic Zone",0.00671960904092853,0.00122174709835064,0.426963026313439,5.92959189341924
