"x","y","sigmaNovelty","cell","EEZ"
139.125,34.625,0.544275507068288,3330,"Japanese Exclusive Economic Zone"
139.375,34.625,0.688527277540731,3330,"Japanese Exclusive Economic Zone"
139.625,34.625,0.586057328743748,3330,"Japanese Exclusive Economic Zone"
139.875,34.625,0.497012623538825,3330,"Japanese Exclusive Economic Zone"
140.125,34.625,0.146487543353235,3358,"Japanese Exclusive Economic Zone"
138.625,34.375,0.00187344761227937,3330,"Japanese Exclusive Economic Zone"
138.875,34.375,0.000500622173434979,3330,"Japanese Exclusive Economic Zone"
139.125,34.375,8.4939980209333e-05,3330,"Japanese Exclusive Economic Zone"
139.375,34.375,0.000390300006617753,3330,"Japanese Exclusive Economic Zone"
139.625,34.375,0.000661335993285966,3330,"Japanese Exclusive Economic Zone"
139.875,34.375,0.00078315182507747,3330,"Japanese Exclusive Economic Zone"
140.125,34.375,0.00240009558558569,3357,"Japanese Exclusive Economic Zone"
140.375,34.375,0.00309111183915065,3357,"Japanese Exclusive Economic Zone"
138.375,34.125,0.00242616734416198,3330,"Japanese Exclusive Economic Zone"
138.625,34.125,0.000606209865654316,3330,"Japanese Exclusive Economic Zone"
138.875,34.125,0.00153355798596929,3330,"Japanese Exclusive Economic Zone"
139.125,34.125,0.0111939078904985,3330,"Japanese Exclusive Economic Zone"
139.375,34.125,0.0146314802642628,3330,"Japanese Exclusive Economic Zone"
139.625,34.125,0.0155450375449954,3330,"Japanese Exclusive Economic Zone"
139.875,34.125,0.0130315980520841,3357,"Japanese Exclusive Economic Zone"
140.125,34.125,0.00801361789145074,3357,"Japanese Exclusive Economic Zone"
140.375,34.125,0.0116414739945074,3357,"Japanese Exclusive Economic Zone"
140.625,34.125,0.0270409211998525,3357,"Japanese Exclusive Economic Zone"
138.375,33.875,0.00121189255815884,3330,"Japanese Exclusive Economic Zone"
138.625,33.875,0.0111826435114532,3330,"Japanese Exclusive Economic Zone"
138.875,33.875,0.0329275673953901,3330,"Japanese Exclusive Economic Zone"
