"Species","EEZ","p2","p4","Average","Max"
"Gadus morhua","Belgian Exclusive Economic Zone",0,0,0.325818677380973,0.817035709636946
"Gadus morhua","Canadian Exclusive Economic Zone",0.144859813084112,0.0327102803738318,0.815065635732185,8.2923610758136
"Gadus morhua","Danish Exclusive Economic Zone",0.302120141342756,0,1.01477292839474,3.94655564949436
"Gadus morhua","Dutch Exclusive Economic Zone",0,0,0.139398301350151,1.10719730772179
"Gadus morhua","Estonian Exclusive Economic Zone",0.942857142857143,0.242857142857143,3.58093710795061,5.2413217024729
"Gadus morhua","Faeroe Exclusive Economic Zone",0,0,0.0928964849504414,0.423273867128962
"Gadus morhua","Finnish Exclusive Economic Zone",0.805970149253731,0.104477611940299,2.79844024066183,4.51273846859719
"Gadus morhua","French Exclusive Economic Zone",0,0,0.367419763097327,1.56141550823359
"Gadus morhua","German Exclusive Economic Zone",0.301204819277108,0.0120481927710843,1.04757498149935,4.39276618255773
"Gadus morhua","Greenlandic Exclusive Economic Zone",0.000372995151063036,0,0.0974168993319415,2.03516144070854
"Gadus morhua","Guernsey Exclusive Economic Zone",0,0,0.342700197966966,0.770646297587255
"Gadus morhua","Icelandic Exclusive Economic Zone",0,0,0.0961674468243212,0.96828720236834
"Gadus morhua","Irish Exclusive Economic Zone",0.0572987721691678,0,0.541235077328486,2.35735033884238
"Gadus morhua","Jan Mayen Exclusive Economic Zone",0,0,0.0327083763199684,0.197702193446514
"Gadus morhua","Jersey Exclusive Economic Zone",0,0,0.238129061775748,0.349392863420119
"Gadus morhua","Joint regime area Iceland / Denmark (Faeroe Islands)",0,0,0.0157699821504019,0.0294757160721227
"Gadus morhua","Joint regime area Iceland / Norway (Jan Mayen)",0,0,0.0271220646949421,0.0802883380105716
"Gadus morhua","Joint regime area Sweden / Norway",0,0,0.124230161800139,0.159134963533245
"Gadus morhua","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.200792803828843,0.334587292849564
"Gadus morhua","Latvian Exclusive Economic Zone",1,0.227848101265823,3.80868115159205,4.54601823437278
"Gadus morhua","Lithuanian Exclusive Economic Zone",1,0.08,3.3661883093282,4.96552322077939
"Gadus morhua","Norwegian Exclusive Economic Zone",0.106903485254692,0.0137399463806971,0.539559952656294,5.2413217024729
"Gadus morhua","Polish Exclusive Economic Zone",1,0.0928571428571429,3.37784555694165,5.04031439472359
"Gadus morhua","Russian Exclusive economic Zone",0.0947274352100089,0.0192135835567471,0.614344287123434,5.2413217024729
"Gadus morhua","Saint-Pierre and Miquelon Exclusive Economic Zone",0.0425531914893617,0,1.35069140647559,2.0751318959803
"Gadus morhua","Spanish Exclusive Economic Zone",0,0,0.277500254889588,0.411231895558443
"Gadus morhua","Svalbard Exclusive Economic Zone",0,0,0.0964267920089026,0.45586800017543
"Gadus morhua","Swedish Exclusive Economic Zone",0.720447284345048,0.0718849840255591,2.54934861587759,4.96552322077939
"Gadus morhua","United Kingdom Exclusive Economic Zone",0.0172626387176326,0,0.277062230758657,2.35735033884238
"Gadus morhua","United States Exclusive Economic Zone",0.176015473887814,0.108317214700193,1.34747891640309,8.2923610758136
