"x","y","sigmaNovelty","cell","EEZ"
31.375,-29.625,7.84181248000022,5119,"South African Exclusive Economic Zone"
31.125,-29.875,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.375,-29.875,8.20953615160139,5118,"South African Exclusive Economic Zone"
31.625,-29.875,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.875,-30.125,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.125,-30.125,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.375,-30.125,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.625,-30.125,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.875,-30.125,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.875,-30.375,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.125,-30.375,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.375,-30.375,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.625,-30.375,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.875,-30.375,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.625,-30.625,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.875,-30.625,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.125,-30.625,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.375,-30.625,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.625,-30.625,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.375,-30.875,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.625,-30.875,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.875,-30.875,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.125,-30.875,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.375,-30.875,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.375,-31.125,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.625,-31.125,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.875,-31.125,8.2923610758136,5118,"South African Exclusive Economic Zone"
31.125,-31.125,7.94144448741598,5118,"South African Exclusive Economic Zone"
30.125,-31.375,8.0987842043543,2174,"South African Exclusive Economic Zone"
30.375,-31.375,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.625,-31.375,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.875,-31.375,7.80640599770557,5118,"South African Exclusive Economic Zone"
31.125,-31.375,7.08195896289392,5118,"South African Exclusive Economic Zone"
29.625,-31.625,6.71014414700816,2174,"South African Exclusive Economic Zone"
29.875,-31.625,7.68297811816103,2174,"South African Exclusive Economic Zone"
30.125,-31.625,8.2923610758136,2174,"South African Exclusive Economic Zone"
30.375,-31.625,8.2923610758136,5118,"South African Exclusive Economic Zone"
30.625,-31.625,7.5149000136411,5118,"South African Exclusive Economic Zone"
30.875,-31.625,6.41465035435748,5118,"South African Exclusive Economic Zone"
31.125,-31.625,5.52959972520672,5118,"South African Exclusive Economic Zone"
17.375,-31.875,1.21756193632064,2062,"South African Exclusive Economic Zone"
17.625,-31.875,2.66723220701768,2062,"South African Exclusive Economic Zone"
17.875,-31.875,5.44320244483349,2090,"South African Exclusive Economic Zone"
18.125,-31.875,7.71614120114527,2090,"South African Exclusive Economic Zone"
29.375,-31.875,6.31110312692755,2174,"South African Exclusive Economic Zone"
29.625,-31.875,7.48611309954942,2174,"South African Exclusive Economic Zone"
29.875,-31.875,8.20953615160139,2174,"South African Exclusive Economic Zone"
30.125,-31.875,7.9915739504939,2174,"South African Exclusive Economic Zone"
30.375,-31.875,7.28566927580392,5118,"South African Exclusive Economic Zone"
30.625,-31.875,6.372208814581,5118,"South African Exclusive Economic Zone"
30.875,-31.875,5.10516013157652,5118,"South African Exclusive Economic Zone"
17.125,-32.125,0.752933315350745,2062,"South African Exclusive Economic Zone"
17.375,-32.125,1.26852664190956,2062,"South African Exclusive Economic Zone"
17.625,-32.125,2.21134311608165,2062,"South African Exclusive Economic Zone"
17.875,-32.125,4.34000570036959,2090,"South African Exclusive Economic Zone"
18.125,-32.125,7.45377705183327,2090,"South African Exclusive Economic Zone"
29.125,-32.125,5.76463190198003,2174,"South African Exclusive Economic Zone"
29.375,-32.125,6.8149039463359,2174,"South African Exclusive Economic Zone"
29.625,-32.125,7.82424746674874,2174,"South African Exclusive Economic Zone"
29.875,-32.125,7.54869285627188,2174,"South African Exclusive Economic Zone"
30.125,-32.125,6.61188424184817,5117,"South African Exclusive Economic Zone"
30.375,-32.125,5.53858918245564,5117,"South African Exclusive Economic Zone"
30.625,-32.125,4.39936932444002,5117,"South African Exclusive Economic Zone"
16.875,-32.375,0.886553670548992,2062,"South African Exclusive Economic Zone"
17.125,-32.375,0.85729415766011,2062,"South African Exclusive Economic Zone"
17.375,-32.375,1.23920127625364,2062,"South African Exclusive Economic Zone"
17.625,-32.375,1.71998595499858,2062,"South African Exclusive Economic Zone"
17.875,-32.375,3.08256781985047,2090,"South African Exclusive Economic Zone"
18.125,-32.375,6.48443225585061,2090,"South African Exclusive Economic Zone"
28.875,-32.375,5.43181870588042,2174,"South African Exclusive Economic Zone"
29.125,-32.375,6.29527389831614,2174,"South African Exclusive Economic Zone"
29.375,-32.375,7.26056756699775,2174,"South African Exclusive Economic Zone"
29.625,-32.375,7.14251605635891,5117,"South African Exclusive Economic Zone"
29.875,-32.375,6.39125583763364,5117,"South African Exclusive Economic Zone"
16.875,-32.625,0.34428266193146,2062,"South African Exclusive Economic Zone"
17.125,-32.625,0.91833675830068,2062,"South African Exclusive Economic Zone"
17.375,-32.625,1.09072278908785,2089,"South African Exclusive Economic Zone"
17.625,-32.625,1.36893090082293,2089,"South African Exclusive Economic Zone"
17.875,-32.625,1.96046229795223,2089,"South African Exclusive Economic Zone"
18.125,-32.625,5.52695061701135,2089,"South African Exclusive Economic Zone"
28.625,-32.625,5.06682611469179,2174,"South African Exclusive Economic Zone"
28.875,-32.625,6.17965497224851,2174,"South African Exclusive Economic Zone"
29.125,-32.625,6.94890250061469,2174,"South African Exclusive Economic Zone"
29.375,-32.625,6.87799870209705,5117,"South African Exclusive Economic Zone"
29.625,-32.625,5.85732483096782,5117,"South African Exclusive Economic Zone"
16.875,-32.875,0.360882615308739,2089,"South African Exclusive Economic Zone"
17.125,-32.875,1.03506735083342,2089,"South African Exclusive Economic Zone"
17.375,-32.875,1.66475499141647,2089,"South African Exclusive Economic Zone"
17.625,-32.875,1.25021166512171,2089,"South African Exclusive Economic Zone"
17.875,-32.875,0.254491532005686,2089,"South African Exclusive Economic Zone"
28.125,-32.875,2.95387965602109,2173,"South African Exclusive Economic Zone"
28.375,-32.875,4.28558813435246,2173,"South African Exclusive Economic Zone"
28.625,-32.875,5.93498813970195,2173,"South African Exclusive Economic Zone"
28.875,-32.875,6.86455256204959,2173,"South African Exclusive Economic Zone"
29.125,-32.875,6.59165101785974,5117,"South African Exclusive Economic Zone"
29.375,-32.875,5.53051406537998,5117,"South African Exclusive Economic Zone"
16.875,-33.125,0.00848811438683769,2089,"South African Exclusive Economic Zone"
17.125,-33.125,0.437169316276651,2089,"South African Exclusive Economic Zone"
17.375,-33.125,1.40423744396488,2089,"South African Exclusive Economic Zone"
17.625,-33.125,1.49317480745544,2089,"South African Exclusive Economic Zone"
17.875,-33.125,0.549683287218813,2089,"South African Exclusive Economic Zone"
27.875,-33.125,2.37869949178037,2173,"South African Exclusive Economic Zone"
28.125,-33.125,3.38208771883681,2173,"South African Exclusive Economic Zone"
28.375,-33.125,5.85991917977716,2173,"South African Exclusive Economic Zone"
28.625,-33.125,6.60530308459459,2173,"South African Exclusive Economic Zone"
28.875,-33.125,6.4769988052792,2173,"South African Exclusive Economic Zone"
29.125,-33.125,5.42581994979086,5117,"South African Exclusive Economic Zone"
16.875,-33.375,0.025660077404157,2089,"South African Exclusive Economic Zone"
17.125,-33.375,0.13303470598361,2089,"South African Exclusive Economic Zone"
17.375,-33.375,1.01556059603677,2089,"South African Exclusive Economic Zone"
17.625,-33.375,1.71050596905573,2089,"South African Exclusive Economic Zone"
17.875,-33.375,1.19142611330926,2089,"South African Exclusive Economic Zone"
18.125,-33.375,0.971007224591651,2089,"South African Exclusive Economic Zone"
27.375,-33.375,3.94489001666028,2173,"South African Exclusive Economic Zone"
27.625,-33.375,2.69844865809577,2173,"South African Exclusive Economic Zone"
27.875,-33.375,3.16674849374944,2173,"South African Exclusive Economic Zone"
28.125,-33.375,5.25457169400286,2173,"South African Exclusive Economic Zone"
28.375,-33.375,6.04314768404477,2173,"South African Exclusive Economic Zone"
28.625,-33.375,5.81881390852211,2173,"South African Exclusive Economic Zone"
28.875,-33.375,4.42644266615539,2173,"South African Exclusive Economic Zone"
16.875,-33.625,0.0567940459437555,2089,"South African Exclusive Economic Zone"
17.125,-33.625,0.025715721477629,2089,"South African Exclusive Economic Zone"
17.375,-33.625,0.325460290884564,2089,"South African Exclusive Economic Zone"
17.625,-33.625,1.50950065038481,2089,"South African Exclusive Economic Zone"
