"Species","EEZ","p2","p4","Average","Max"
"Helicolenus dactylopterus","Albanian Exclusive Economic Zone",0,0,0.228497363018587,0.742574037017898
"Helicolenus dactylopterus","Algerian Exclusive Economic Zone",0,0,0.125426274958989,0.51825360410565
"Helicolenus dactylopterus","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0,0,0.0506562649395062,0.130666353292483
"Helicolenus dactylopterus","Angolan Exclusive Economic Zone",0.100529100529101,0.0687830687830688,0.901066483845203,8.2923610758136
"Helicolenus dactylopterus","Anguilla Exclusive Economic Zone",0,0,0.00319788963041389,0.00993759028629969
"Helicolenus dactylopterus","Antigua and Barbuda Exclusive Economic Zone",0,0,0.00229552251458978,0.0100804811396885
"Helicolenus dactylopterus","Argentinean Exclusive Economic Zone",0.0094722598105548,0,0.167784988717619,2.36654307334695
"Helicolenus dactylopterus","Aruban Exclusive Economic Zone",0,0,0.0283131346490204,0.0505494654428699
"Helicolenus dactylopterus","Ascension Exclusive Economic Zone",0,0,0.0981802735943333,0.237871867331814
"Helicolenus dactylopterus","Bahamas Exclusive Economic Zone",0.0487106017191977,0,0.371653086320551,3.24212483728355
"Helicolenus dactylopterus","Barbados Exclusive Economic Zone",0,0,0.0248003672058008,0.0466825343078688
"Helicolenus dactylopterus","Bassas da India Exclusive Economic Zone",0,0,0.0263731858175156,0.0364448036580043
"Helicolenus dactylopterus","Belgian Exclusive Economic Zone",0,0,0.498102240997466,0.599462956167002
"Helicolenus dactylopterus","Belizean Exclusive Economic Zone",0.904761904761905,0.0317460317460317,2.53016516815343,4.66289360302491
"Helicolenus dactylopterus","Beninese Exclusive Economic Zone",0,0,0.112475588469874,0.566624948278561
"Helicolenus dactylopterus","Bermudian Exclusive Economic Zone",0,0,0.215588799898514,0.284318045532165
"Helicolenus dactylopterus","Bonaire Exclusive Economic Zone",0,0,0.0484619051207234,0.0635638141161278
"Helicolenus dactylopterus","Brazilian Exclusive Economic Zone",0.0231684408265498,0.0100187852222918,0.385143275105589,6.16714836197017
