"Species","EEZ","p2","p4","Average","Max"
"Hippopus hippopus","American Samoa Exclusive Economic Zone",1,1,6.29493811014818,7.54608707353187
"Hippopus hippopus","Australian Exclusive Economic Zone",0.700711594809544,0.512348262871494,3.62439695561059,8.2923610758136
"Hippopus hippopus","Bruneian Exclusive Economic Zone",1,1,5.02259745136642,6.84000979220902
"Hippopus hippopus","Cambodian Exclusive Economic Zone",1,0.226666666666667,3.57547374821787,4.93161990511466
"Hippopus hippopus","Chinese Exclusive Economic Zone",0.407914764079148,0.136986301369863,1.90841624927667,6.21960538969978
"Hippopus hippopus","Christmas Island Exclusive Economic Zone",1,0,2.69713928494303,2.72102867582891
"Hippopus hippopus","Cocos Islands Exclusive Economic Zone",1,0,2.44116692992552,2.69134622371049
"Hippopus hippopus","East Timorian Exclusive Economic Zone",1,1,5.59050184489445,6.20111025146832
"Hippopus hippopus","Fijian Exclusive Economic Zone",0.622389033942559,0.447454308093995,3.27913255204534,8.2923610758136
"Hippopus hippopus","Guam Exclusive Economic Zone",1,1,5.95176757045611,5.96117660992898
"Hippopus hippopus","Howland and Baker Islands Exclusive Economic Zone",1,1,6.90810093323018,7.05070529636127
"Hippopus hippopus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.995169082125604,0.599033816425121,3.9928319081742,5.92841077417085
"Hippopus hippopus","Indonesian Exclusive Economic Zone",0.987299465240642,0.885249554367201,5.40127630506176,8.2923610758136
"Hippopus hippopus","Japanese Exclusive Economic Zone",0.194444444444444,0.142361111111111,1.36552122037679,6.03293423805832
"Hippopus hippopus","Joint regime area Australia / Papua New Guinea",1,0,3.35979187348038,3.54682939914298
"Hippopus hippopus","Joint regime area Japan / Korea",0,0,0.509877313359543,0.509877313359543
"Hippopus hippopus","Kiribati Exclusive Economic Zone (Gilbert Islands)",0.999621068586586,0.923076923076923,5.92915776537073,8.2923610758136
"Hippopus hippopus","Kiribati Exclusive Economic Zone (Phoenix Islands)",1,1,4.83504401139217,7.05070529636127
"Hippopus hippopus","Malaysian Exclusive Economic Zone",0.997518610421836,0.69727047146402,4.79019179046625,8.2923610758136
"Hippopus hippopus","Marshall Islands Exclusive Economic Zone",1,1,5.71880314206362,7.23643521806297
"Hippopus hippopus","Micronesian Exclusive Economic Zone",1,1,6.58742699298308,7.81374999042357
"Hippopus hippopus","Myanmar Exclusive Economic Zone",0.981132075471698,0.339622641509434,3.51361915641686,5.3909180309951
"Hippopus hippopus","Nauruan Exclusive Economic Zone",1,1,7.40710751104455,7.67672808637961
"Hippopus hippopus","New Caledonian Exclusive Economic Zone",0.208955223880597,0.0398009950248756,0.844319772896183,4.78187920322122
"Hippopus hippopus","New Zealand Exclusive Economic Zone",0,0,3.32026985275726e-05,9.02340217783964e-05
"Hippopus hippopus","Northern Mariana Exclusive Economic Zone",1,1,5.21788409296512,5.96117660992898
"Hippopus hippopus","Oecussi Ambeno Exclusive Economic Zone",1,1,4.09008382519603,4.21064230673845
"Hippopus hippopus","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.0789451014340673,0.0789451014340673
"Hippopus hippopus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0.193548387096774,0,0.974926042449355,2.69291172001699
"Hippopus hippopus","Overlapping claim South China Sea",0.895890410958904,0.613698630136986,3.97670327831525,7.37493599164548
"Hippopus hippopus","Palau Exclusive Economic Zone",1,1,6.08329313673842,6.42142833659577
"Hippopus hippopus","Papua New Guinean Exclusive Economic Zone",1,0.804232804232804,5.60190054543791,7.81374999042357
"Hippopus hippopus","Philippines Exclusive Economic Zone",0.993055555555556,0.938271604938272,5.76216424741069,8.2923610758136
"Hippopus hippopus","Samoan Exclusive Economic Zone",1,1,6.24570574010496,7.54608707353187
"Hippopus hippopus","Solomon Islands Exclusive Economic Zone",1,0.932806324110672,6.2256396478717,7.39248759391999
"Hippopus hippopus","Taiwanese Exclusive Economic Zone",0.566552901023891,0.215017064846416,2.32659641038469,5.94477761700737
"Hippopus hippopus","Thailand Exclusive Economic Zone",0.992727272727273,0.683636363636364,4.44665365988349,8.2923610758136
"Hippopus hippopus","Tokelau Exclusive Economic Zone",1,1,7.28674313702949,7.46107368104085
"Hippopus hippopus","Tongan Exclusive Economic Zone",0.196319018404908,0.134969325153374,1.32689994670122,6.05510603976442
"Hippopus hippopus","Tuvaluan Exclusive Economic Zone",0.982999392835458,0.840619307832423,5.24419176683048,7.910989389603
"Hippopus hippopus","United States Exclusive Economic Zone (Hawaii)",0.353585657370518,0.139442231075697,1.76327996912647,6.23164893074237
"Hippopus hippopus","Vanuatu Exclusive Economic Zone",0.409937888198758,0.198757763975155,1.78088192749454,6.53729280750116
"Hippopus hippopus","Vietnamese Exclusive Economic Zone",0.535816618911175,0.128939828080229,2.23001257813939,7.12515810244597
"Hippopus hippopus","Wake Island Exclusive Economic Zone",1,0.333333333333333,3.533333394724,4.15029016230475
"Hippopus hippopus","Wallis and Futuna Exclusive Economic Zone",0.991585760517799,0.779935275080906,5.11566679594387,7.95603812548153
