"Species","EEZ","p2","p4","Average","Max"
"Huso huso","Albanian Exclusive Economic Zone",1,0.976190476190476,7.74883883627976,8.2923610758136
"Huso huso","Bulgarian Exclusive Economic Zone",0.80952380952381,0.214285714285714,3.0687694664816,4.66995515146526
"Huso huso","Croatian Exclusive Economic Zone",1,1,7.36000649443581,8.2923610758136
"Huso huso","Georgian Exclusive Economic Zone",1,0.902439024390244,4.61450801347447,6.0539380594703
"Huso huso","Greek Exclusive Economic Zone",0.835051546391753,0.778350515463918,6.11729655060525,8.2923610758136
"Huso huso","Italian Exclusive Economic Zone",1,1,8.09896103174872,8.2923610758136
"Huso huso","Montenegrin Exclusive economic Zone",1,0.933333333333333,7.26314597778337,8.2923610758136
"Huso huso","Overlapping claim Ukrainian Exclusive Economic Zone",0.684210526315789,0.0921052631578947,2.67287889268725,8.2923610758136
"Huso huso","Romanian Exclusive economic Zone",0.419354838709677,0.241935483870968,2.77102778833661,8.2923610758136
"Huso huso","Russian Exclusive economic Zone",0.972972972972973,0.459459459459459,3.6585868604087,4.56610616730641
"Huso huso","Turkish Exclusive Economic Zone",0.926640926640927,0.432432432432432,4.02128959825951,8.2923610758136
