"Species","EEZ","p2","p4","Average","Max"
"Konosirus punctatus","Chinese Exclusive Economic Zone",0.476788640087384,0.225013653741125,2.88446640263959,8.2923610758136
"Konosirus punctatus","Japanese Exclusive Economic Zone",0.145726296123307,0.0546473610462401,1.43764904583205,8.2923610758136
"Konosirus punctatus","Joint regime area Japan / Korea",0.204301075268817,0.0645161290322581,1.87941075169736,6.22106050916744
"Konosirus punctatus","North Korean Exclusive Economic Zone",0.113564668769716,0.0189274447949527,0.708614884614322,6.47050576959562
"Konosirus punctatus","Overlapping claim Liancourt Rocks: Japan / South Korea",0,0,0.245681879530351,0.321949755910557
"Konosirus punctatus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0.580645161290323,0.419354838709677,4.00670420719398,8.2923610758136
"Konosirus punctatus","Philippines Exclusive Economic Zone",1,1,7.90942447077354,8.2923610758136
"Konosirus punctatus","Russian Exclusive economic Zone",0,0,0.0646792889135325,0.411809137179079
"Konosirus punctatus","South Korean Exclusive Economic Zone",0.0829535095715588,0.00546946216955333,1.14991184647223,6.47050576959562
"Konosirus punctatus","Taiwanese Exclusive Economic Zone",0.741379310344828,0.575431034482759,4.77671157583865,8.2923610758136
"Konosirus punctatus","Vietnamese Exclusive Economic Zone",1,0.424242424242424,4.01128029261689,6.39431573903898
