"Species","EEZ","p2","p4","Average","Max"
"Lates calcarifer","Australian Exclusive Economic Zone",0.739846743295019,0.546743295019157,3.75314722386739,8.20953615160139
"Lates calcarifer","Bangladeshi Exclusive Economic Zone",0.285714285714286,0.0714285714285714,1.58613601223996,8.2923610758136
"Lates calcarifer","Bruneian Exclusive Economic Zone",1,1,5.01382479261245,6.84022887844131
"Lates calcarifer","Cambodian Exclusive Economic Zone",1,0.298850574712644,3.64875587752066,4.93201476661178
"Lates calcarifer","Chagos Archipelago Exclusive Economic Zone",1,1,6.07549703686348,6.58658066192237
"Lates calcarifer","Chinese Exclusive Economic Zone",0.331435079726651,0.108200455580866,1.62545807710838,6.21988998349278
"Lates calcarifer","Christmas Island Exclusive Economic Zone",1,0,2.68842535187282,2.72142849452168
"Lates calcarifer","Cocos Islands Exclusive Economic Zone",1,0,2.44156972194022,2.69174718949845
"Lates calcarifer","East Timorian Exclusive Economic Zone",1,1,5.65036104433464,6.21829358920514
"Lates calcarifer","Guam Exclusive Economic Zone",1,1,5.86848672386765,5.89134207622007
"Lates calcarifer","Indian Exclusive Economic Zone",0.921090387374462,0.817790530846485,6.00531038546643,8.2923610758136
"Lates calcarifer","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.882352941176471,0.516806722689076,3.64247965196594,5.92868580692229
"Lates calcarifer","Indonesian Exclusive Economic Zone",0.98904060366511,0.866510959396335,5.28012774293243,8.2923610758136
"Lates calcarifer","Japanese Exclusive Economic Zone",0.109756097560976,0.0707317073170732,0.909531254371185,6.0332203089127
"Lates calcarifer","Joint regime area Australia / Papua New Guinea",1,0,3.36008568531937,3.5471208833283
"Lates calcarifer","Joint regime area Japan / Korea",0,0,0.334297349609558,0.517492129388121
"Lates calcarifer","Malaysian Exclusive Economic Zone",0.999086757990868,0.682191780821918,4.75132886974961,8.2923610758136
"Lates calcarifer","Maldives Exclusive Economic Zone",1,1,7.1494137279089,7.71150251857516
"Lates calcarifer","Mauritian Exclusive Economic Zone",0.274509803921569,0.0735294117647059,1.6428096268494,4.29503798563832
"Lates calcarifer","Micronesian Exclusive Economic Zone",1,1,6.61967626491399,7.81889105576306
"Lates calcarifer","Myanmar Exclusive Economic Zone",0.642458100558659,0.198324022346369,2.63392760614786,5.39126152736303
"Lates calcarifer","Northern Mariana Exclusive Economic Zone",1,1,5.02774523583922,5.89134207622007
"Lates calcarifer","Oecussi Ambeno Exclusive Economic Zone",1,1,4.09037837106872,4.21093991322737
"Lates calcarifer","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0.155555555555556,0,0.889133854029457,2.69331228495332
"Lates calcarifer","Overlapping claim South China Sea",0.893229166666667,0.59375,3.94458602040688,7.37529629598095
"Lates calcarifer","Pakistani Exclusive Economic Zone",1,0.666666666666667,4.78503909218598,5.75087327785289
"Lates calcarifer","Palau Exclusive Economic Zone",1,1,6.08356118578829,6.42167874131784
"Lates calcarifer","Papua New Guinean Exclusive Economic Zone",1,0.741379310344828,5.23151151570276,7.81889105576306
"Lates calcarifer","Philippines Exclusive Economic Zone",0.971168437025797,0.908952959028832,5.61346092198912,8.2923610758136
"Lates calcarifer","Réunion Exclusive Economic Zone",0,0,0.24630182299759,0.327651025969097
"Lates calcarifer","Seychellois Exclusive Economic Zone",1,1,5.75380320100689,6.20086536273572
"Lates calcarifer","South Korean Exclusive Economic Zone",0,0,0.236402736394504,1.04510001763984
"Lates calcarifer","Sri Lankan Exclusive Economic Zone",1,0.957831325301205,6.064274308294,8.2923610758136
"Lates calcarifer","Taiwanese Exclusive Economic Zone",0.439205955334988,0.156327543424318,1.81486545752353,5.94506558386848
"Lates calcarifer","Thailand Exclusive Economic Zone",0.948586118251928,0.609254498714653,4.17344211579996,8.16070784085858
"Lates calcarifer","Vietnamese Exclusive Economic Zone",0.541423570595099,0.108518086347725,2.18715480923699,5.90617706544478
