"Species","EEZ","p2","p4","Average","Max"
"Lethrinus miniatus","Australian Exclusive Economic Zone",0.643223443223443,0.475824175824176,3.35314032324697,8.20953615160139
"Lethrinus miniatus","Chinese Exclusive Economic Zone",0.51566265060241,0.175903614457831,2.18419966655233,8.20953615160139
"Lethrinus miniatus","East Timorian Exclusive Economic Zone",1,1,5.59000479649895,6.20061599912349
"Lethrinus miniatus","Guam Exclusive Economic Zone",1,1,5.95149047784859,5.96090063747079
"Lethrinus miniatus","Indonesian Exclusive Economic Zone",0.987564322469983,0.934819897084048,5.71828551515004,8.2923610758136
"Lethrinus miniatus","Japanese Exclusive Economic Zone",0.20817843866171,0.152416356877323,1.43403932689214,6.03254817213953
"Lethrinus miniatus","Joint regime area Australia / Papua New Guinea",1,0,3.35917826231627,3.5462747330874
"Lethrinus miniatus","Malaysian Exclusive Economic Zone",1,0.983333333333333,6.18998906485054,8.2923610758136
"Lethrinus miniatus","Marshall Islands Exclusive Economic Zone",1,1,5.86645450850334,7.23627179378926
"Lethrinus miniatus","Micronesian Exclusive Economic Zone",1,1,6.58683679767635,7.81889105576306
"Lethrinus miniatus","Nauruan Exclusive Economic Zone",1,1,7.40678705970648,7.67672808637961
"Lethrinus miniatus","New Caledonian Exclusive Economic Zone",0.135057471264368,0.0172413793103448,0.5403880312368,4.41403485869968
"Lethrinus miniatus","Norfolk Island Exclusive Economic Zone",0,0,0.187374741247421,0.230321698087506
"Lethrinus miniatus","Northern Mariana Exclusive Economic Zone",1,1,5.21749293635,5.96090063747079
"Lethrinus miniatus","Oecussi Ambeno Exclusive Economic Zone",1,1,4.08957053703967,4.21012935093149
"Lethrinus miniatus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0.157894736842105,0,0.862172009240089,2.69224419540872
"Lethrinus miniatus","Overlapping claim South China Sea",1,0,2.74089596150197,3.40360020368403
"Lethrinus miniatus","Palau Exclusive Economic Zone",1,1,6.08300295073597,6.42117358532409
"Lethrinus miniatus","Papua New Guinean Exclusive Economic Zone",1,0.803843605036448,5.60457536961821,7.81889105576306
"Lethrinus miniatus","Philippines Exclusive Economic Zone",0.991432068543452,0.913096695226438,5.86716990788883,8.2923610758136
"Lethrinus miniatus","Solomon Islands Exclusive Economic Zone",1,0.947368421052632,6.33003153591987,7.392078584143
"Lethrinus miniatus","Taiwanese Exclusive Economic Zone",0.548494983277592,0.193979933110368,2.28405812752834,7.2002381694419
"Lethrinus miniatus","Vanuatu Exclusive Economic Zone",0.469613259668508,0.243093922651934,2.0294111621444,6.11572897884514
"Lethrinus miniatus","Vietnamese Exclusive Economic Zone",1,0,2.87597039072651,3.00717367580218
"Lethrinus miniatus","Wake Island Exclusive Economic Zone",1,0,3.90680449554689,3.96013409941511
