"x","y","sigmaNovelty","cell","EEZ"
-1.625,60.125,0.237874737049432,755,"United Kingdom Exclusive Economic Zone"
-1.375,60.125,0.226830756312974,755,"United Kingdom Exclusive Economic Zone"
5.375,60.125,0.575285471273354,55,"Norwegian Exclusive Economic Zone"
5.625,60.125,0.513398516555041,55,"Norwegian Exclusive Economic Zone"
-1.875,59.875,0.197049136926447,755,"United Kingdom Exclusive Economic Zone"
-1.625,59.875,0.195627640377804,755,"United Kingdom Exclusive Economic Zone"
-1.375,59.875,0.23033673619305,755,"United Kingdom Exclusive Economic Zone"
-1.125,59.875,0.184245018668724,755,"United Kingdom Exclusive Economic Zone"
5.125,59.875,1.22469457786696,756,"Norwegian Exclusive Economic Zone"
5.625,59.875,0.604459372280897,757,NA
10.625,59.875,2.24376562951756,28,"Norwegian Exclusive Economic Zone"
22.125,59.875,6.41581048125343,2942,"Finnish Exclusive Economic Zone"
22.375,59.875,5.93236753228997,2942,"Finnish Exclusive Economic Zone"
-6.125,59.625,0.478922639925202,754,"United Kingdom Exclusive Economic Zone"
-5.875,59.625,0.409016764165916,754,"United Kingdom Exclusive Economic Zone"
-3.125,59.625,0.0892311711899026,755,"United Kingdom Exclusive Economic Zone"
-2.875,59.625,0.062896157995895,755,"United Kingdom Exclusive Economic Zone"
-2.625,59.625,0.168102174356609,755,"United Kingdom Exclusive Economic Zone"
-2.375,59.625,0.234570294385876,755,"United Kingdom Exclusive Economic Zone"
-2.125,59.625,0.315900345613324,755,"United Kingdom Exclusive Economic Zone"
-1.875,59.625,0.417149188270127,755,"United Kingdom Exclusive Economic Zone"
-1.625,59.625,0.352078759540336,755,"United Kingdom Exclusive Economic Zone"
-1.375,59.625,0.094492513883987,755,"United Kingdom Exclusive Economic Zone"
-1.125,59.625,0.210405241030579,755,"United Kingdom Exclusive Economic Zone"
4.875,59.625,1.56414337734402,756,"Norwegian Exclusive Economic Zone"
5.125,59.625,1.44090151993054,756,"Norwegian Exclusive Economic Zone"
10.625,59.625,1.99520317796995,28,"Norwegian Exclusive Economic Zone"
22.125,59.625,8.16070784085858,2942,"Finnish Exclusive Economic Zone"
22.375,59.625,7.77491989237572,2942,"Finnish Exclusive Economic Zone"
-6.375,59.375,0.321150593774589,754,"United Kingdom Exclusive Economic Zone"
-6.125,59.375,0.200829568953186,754,"United Kingdom Exclusive Economic Zone"
-5.875,59.375,0.121066015750771,754,"United Kingdom Exclusive Economic Zone"
-5.625,59.375,0.225744542828154,754,"United Kingdom Exclusive Economic Zone"
-4.375,59.375,0.167704650555366,754,"United Kingdom Exclusive Economic Zone"
-4.125,59.375,0.167250157411546,754,"United Kingdom Exclusive Economic Zone"
-3.375,59.375,0.177730206722797,755,"United Kingdom Exclusive Economic Zone"
-3.125,59.375,0.118370146277093,755,"United Kingdom Exclusive Economic Zone"
-2.625,59.375,0.0831054369812731,755,"United Kingdom Exclusive Economic Zone"
-2.375,59.375,0.139432424902566,755,"United Kingdom Exclusive Economic Zone"
-2.125,59.375,0.180227958634624,755,"United Kingdom Exclusive Economic Zone"
-1.875,59.375,0.215809071492077,755,"United Kingdom Exclusive Economic Zone"
-1.625,59.375,0.209997748662876,755,"United Kingdom Exclusive Economic Zone"
-1.375,59.375,0.108373349111679,755,"United Kingdom Exclusive Economic Zone"
4.625,59.375,1.60226172514005,756,"Norwegian Exclusive Economic Zone"
4.875,59.375,1.64282473211885,756,"Norwegian Exclusive Economic Zone"
5.125,59.375,1.61176642351389,757,"Norwegian Exclusive Economic Zone"
5.375,59.375,1.11836221846315,757,"Norwegian Exclusive Economic Zone"
5.625,59.375,0.96479879606383,757,"Norwegian Exclusive Economic Zone"
-6.625,59.125,0.173196138556478,754,"United Kingdom Exclusive Economic Zone"
-6.375,59.125,0.0864576043905896,754,"United Kingdom Exclusive Economic Zone"
-6.125,59.125,0.136958200139377,754,"United Kingdom Exclusive Economic Zone"
-5.875,59.125,0.145043750838173,754,"United Kingdom Exclusive Economic Zone"
-5.625,59.125,0.0955388305913836,754,"United Kingdom Exclusive Economic Zone"
-5.375,59.125,0.0776079428648158,754,"United Kingdom Exclusive Economic Zone"
-5.125,59.125,0.0622624977911211,754,"United Kingdom Exclusive Economic Zone"
-4.875,59.125,0.0717817718705464,754,"United Kingdom Exclusive Economic Zone"
-4.625,59.125,0.0714182389637971,754,"United Kingdom Exclusive Economic Zone"
-4.375,59.125,0.0737317494281506,754,"United Kingdom Exclusive Economic Zone"
-4.125,59.125,0.10753370878473,754,"United Kingdom Exclusive Economic Zone"
-3.875,59.125,0.0710339800533504,755,"United Kingdom Exclusive Economic Zone"
-3.625,59.125,0.0558870932213105,755,"United Kingdom Exclusive Economic Zone"
-3.375,59.125,0.0463417397792079,755,"United Kingdom Exclusive Economic Zone"
-2.875,59.125,0.00863308869526888,755,"United Kingdom Exclusive Economic Zone"
-2.625,59.125,0.022291579708952,755,NA
-2.375,59.125,0.121489786834585,755,"United Kingdom Exclusive Economic Zone"
