"x","y","sigmaNovelty","cell","EEZ"
129.375,31.125,0.239259010759643,3246,"Japanese Exclusive Economic Zone"
129.625,31.125,0.172196103647307,3246,"Japanese Exclusive Economic Zone"
129.875,31.125,0.272566117046032,3246,"Japanese Exclusive Economic Zone"
130.125,31.125,0.251881502498448,3246,"Japanese Exclusive Economic Zone"
130.375,31.125,0.216950335081559,3246,"Japanese Exclusive Economic Zone"
130.625,31.125,0.159071231559314,3246,"Japanese Exclusive Economic Zone"
131.125,31.125,0.0173772931126833,3246,"Japanese Exclusive Economic Zone"
129.125,30.875,0.031439329157769,3246,"Japanese Exclusive Economic Zone"
129.375,30.875,0.144914857388525,3246,"Japanese Exclusive Economic Zone"
129.625,30.875,0.244645201828489,3246,"Japanese Exclusive Economic Zone"
129.875,30.875,0.241644984862138,3246,"Japanese Exclusive Economic Zone"
130.125,30.875,0.226352925480095,3246,"Japanese Exclusive Economic Zone"
130.375,30.875,0.243629797030381,3246,"Japanese Exclusive Economic Zone"
130.625,30.875,0.267408814978184,3246,"Japanese Exclusive Economic Zone"
130.875,30.875,0.258493538133875,3246,"Japanese Exclusive Economic Zone"
131.125,30.875,0.361140787904134,3246,"Japanese Exclusive Economic Zone"
131.375,30.875,0.318560097748168,3246,"Japanese Exclusive Economic Zone"
129.125,30.625,0.0369175713560879,3246,"Japanese Exclusive Economic Zone"
129.375,30.625,0.0294217949942305,3246,"Japanese Exclusive Economic Zone"
129.625,30.625,0.0110327918733264,3246,"Japanese Exclusive Economic Zone"
129.875,30.625,0.174708443806969,3246,"Japanese Exclusive Economic Zone"
130.125,30.625,0.249549436899919,3246,"Japanese Exclusive Economic Zone"
130.375,30.625,0.210387676348001,3246,"Japanese Exclusive Economic Zone"
130.625,30.625,0.185805761900073,3246,"Japanese Exclusive Economic Zone"
130.875,30.625,0.221801337197652,3246,"Japanese Exclusive Economic Zone"
131.125,30.625,0.298558102306731,3246,"Japanese Exclusive Economic Zone"
131.375,30.625,0.333115989085937,3246,"Japanese Exclusive Economic Zone"
131.625,30.625,0.394433640675314,3246,"Japanese Exclusive Economic Zone"
129.375,30.375,0.198220950144671,3246,"Japanese Exclusive Economic Zone"
129.625,30.375,0.0732103853181257,3246,"Japanese Exclusive Economic Zone"
129.875,30.375,0.0711519141411038,3246,"Japanese Exclusive Economic Zone"
130.125,30.375,0.0109197585723208,3246,"Japanese Exclusive Economic Zone"
130.375,30.375,0.144461371422153,3246,"Japanese Exclusive Economic Zone"
131.125,30.375,0.208692133706908,3246,"Japanese Exclusive Economic Zone"
131.375,30.375,0.309552405250858,3246,"Japanese Exclusive Economic Zone"
131.625,30.375,0.321642643383634,3246,"Japanese Exclusive Economic Zone"
129.375,30.125,0.317728620642771,3246,"Japanese Exclusive Economic Zone"
129.625,30.125,0.344639952731705,3246,"Japanese Exclusive Economic Zone"
129.875,30.125,0.190607207445502,3246,"Japanese Exclusive Economic Zone"
130.125,30.125,0.0422069309950742,3246,"Japanese Exclusive Economic Zone"
130.375,30.125,0.019233823440188,3246,"Japanese Exclusive Economic Zone"
130.625,30.125,0.193455763741237,3246,"Japanese Exclusive Economic Zone"
130.875,30.125,0.215899002890962,3246,"Japanese Exclusive Economic Zone"
131.125,30.125,0.283403412518021,3246,"Japanese Exclusive Economic Zone"
131.375,30.125,0.365709056264247,3246,"Japanese Exclusive Economic Zone"
127.125,29.875,0.291843474198601,3218,"Joint regime area Japan / Korea"
127.375,29.875,0.0204691999821299,3218,"Joint regime area Japan / Korea"
129.375,29.875,0.341848885351169,3246,"Japanese Exclusive Economic Zone"
129.625,29.875,0.343381954013079,3246,"Japanese Exclusive Economic Zone"
129.875,29.875,0.33014636510374,3246,NA
130.125,29.875,0.205500259533963,3246,"Japanese Exclusive Economic Zone"
130.375,29.875,0.0580338349133849,3246,"Japanese Exclusive Economic Zone"
130.625,29.875,0.021521748421646,3246,"Japanese Exclusive Economic Zone"
130.875,29.875,0.0133576100724365,3246,"Japanese Exclusive Economic Zone"
131.125,29.875,0.0184914789293032,3246,"Japanese Exclusive Economic Zone"
127.125,29.625,0.285633521767741,3218,"Joint regime area Japan / Korea"
127.375,29.625,0.0412347501590831,3218,"Joint regime area Japan / Korea"
129.375,29.625,0.133499399411002,3246,"Japanese Exclusive Economic Zone"
129.625,29.625,0.150623475682923,3246,"Japanese Exclusive Economic Zone"
129.875,29.625,0.213630592212384,3246,"Japanese Exclusive Economic Zone"
130.125,29.625,0.191987784284105,3246,"Japanese Exclusive Economic Zone"
129.125,29.375,0.124522630356073,3218,"Japanese Exclusive Economic Zone"
129.375,29.375,0.11189438695461,3246,"Japanese Exclusive Economic Zone"
129.625,29.375,0.103364941402205,3246,"Japanese Exclusive Economic Zone"
129.875,29.375,0.0980047587331192,3246,"Japanese Exclusive Economic Zone"
130.125,29.375,0.0800620476056325,3246,"Japanese Exclusive Economic Zone"
126.375,29.125,0.47583529182646,3218,"Japanese Exclusive Economic Zone"
126.625,29.125,0.326583821555037,3218,"Japanese Exclusive Economic Zone"
128.875,29.125,0.059846651685515,3218,"Japanese Exclusive Economic Zone"
129.125,29.125,0.104859406001611,3218,"Japanese Exclusive Economic Zone"
