"Species","EEZ","p2","p4","Average","Max"
"Lutjanus johnii","Australian Exclusive Economic Zone",0.00515995872033024,0,0.312138624700004,2.5776306572271
"Lutjanus johnii","Bahraini Exclusive Economic Zone",1,1,4.24491299655142,4.54449630333746
"Lutjanus johnii","Bangladeshi Exclusive Economic Zone",0.0689655172413793,0,0.858082703823398,3.49772969471006
"Lutjanus johnii","Bassas da India Exclusive Economic Zone",0,0,0.0270012004010687,0.0365344999286034
"Lutjanus johnii","Bruneian Exclusive Economic Zone",0,0,0.236050896555993,1.31057513802672
"Lutjanus johnii","Cambodian Exclusive Economic Zone",0,0,0.283956925041627,0.670999738830865
"Lutjanus johnii","Chagos Archipelago Exclusive Economic Zone",0,0,1.08044038346582,1.43024124472284
"Lutjanus johnii","Chinese Exclusive Economic Zone",0.0111234705228031,0.00556173526140156,0.199436331276299,5.97577370123197
"Lutjanus johnii","Christmas Island Exclusive Economic Zone",0,0,0.0323856228527988,0.0408127500110811
"Lutjanus johnii","Cocos Islands Exclusive Economic Zone",0,0,0.0526878233024939,0.0788253168930782
"Lutjanus johnii","Comoran Exclusive Economic Zone",0,0,0.0349828504009151,0.0462603711071037
"Lutjanus johnii","Djiboutian Exclusive Economic Zone",1,1,5.68714624096255,6.61129131442772
"Lutjanus johnii","East Timorian Exclusive Economic Zone",0,0,0.447238437403968,0.758281541872111
"Lutjanus johnii","Eritrean Exclusive Economic Zone",1,1,8.06931371972986,8.2923610758136
"Lutjanus johnii","Fijian Exclusive Economic Zone",0.00869167429094236,0,0.278079832857303,2.8983321200954
"Lutjanus johnii","Howland and Baker Islands Exclusive Economic Zone",0.8,0,2.03920114565764,2.18310057858551
"Lutjanus johnii","Ile Europa Exclusive Economic Zone",0,0,0.0293391558169259,0.0365344999286034
"Lutjanus johnii","Indian Exclusive Economic Zone",0.329621380846325,0,1.33070383164132,3.30847042155181
"Lutjanus johnii","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.00738007380073801,0,0.199522865161959,2.8248559023754
"Lutjanus johnii","Indonesian Exclusive Economic Zone",0.0631842352205192,0.00312793243665937,0.572907804633028,5.428733957957
