"Species","EEZ","p2","p4","Average","Max"
"Lutjanus malabaricus","Australian Exclusive Economic Zone",0.703257596496031,0.520667944155489,3.5131597687863,7.81374999042357
"Lutjanus malabaricus","Bahraini Exclusive Economic Zone",1,1,6.86621282665551,7.40856259365976
"Lutjanus malabaricus","Bangladeshi Exclusive Economic Zone",0.307692307692308,0,1.06398084995786,3.57498202848922
"Lutjanus malabaricus","Bruneian Exclusive Economic Zone",1,0.973333333333333,4.93554798618948,6.81070724675987
"Lutjanus malabaricus","Cambodian Exclusive Economic Zone",0.848484848484849,0.159090909090909,3.15720678749146,5.13844021159598
"Lutjanus malabaricus","Chagos Archipelago Exclusive Economic Zone",1,1,6.07503782412146,6.58611602077763
"Lutjanus malabaricus","Chinese Exclusive Economic Zone",0.248181818181818,0.0836363636363636,1.25634651663803,6.21931009907248
"Lutjanus malabaricus","Christmas Island Exclusive Economic Zone",1,0,2.68749432937869,2.72049642613191
"Lutjanus malabaricus","Cocos Islands Exclusive Economic Zone",1,0,2.44077479820747,2.69091410429
"Lutjanus malabaricus","East Timorian Exclusive Economic Zone",1,1,5.4789673629159,5.9516664343621
"Lutjanus malabaricus","Fijian Exclusive Economic Zone",0.627684407096172,0.423202614379085,3.13447520647699,7.81374999042357
"Lutjanus malabaricus","Guam Exclusive Economic Zone",1,1,5.90977118751534,5.96097033317113
"Lutjanus malabaricus","Howland and Baker Islands Exclusive Economic Zone",1,1,6.90794555022978,7.05056652561478
"Lutjanus malabaricus","Indian Exclusive Economic Zone",0.967703349282297,0.888755980861244,6.29280808805898,8.2923610758136
"Lutjanus malabaricus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.750915750915751,0.289377289377289,3.11631332892727,5.82903175651656
"Lutjanus malabaricus","Indonesian Exclusive Economic Zone",0.983497840838988,0.811381863047502,5.06521787063369,8.2923610758136
"Lutjanus malabaricus","Iranian Exclusive Economic Zone",0.973913043478261,0.921739130434783,7.71647553008149,8.2923610758136
"Lutjanus malabaricus","Iraqi Exclusive Economic Zone",1,0,3.13717219446058,3.56074401335394
"Lutjanus malabaricus","Japanese Exclusive Economic Zone",0.0820512820512821,0.0290598290598291,0.656221565403771,6.03263094798328
"Lutjanus malabaricus","Joint regime area Australia / Papua New Guinea",1,0,3.34852170015164,3.54638899554228
"Lutjanus malabaricus","Joint regime area Japan / Korea",0,0,0.324282267464042,0.778402174614241
"Lutjanus malabaricus","Kiribati Exclusive Economic Zone (Gilbert Islands)",0.993428571428571,0.855142857142857,5.67647899621485,8.2923610758136
"Lutjanus malabaricus","Kiribati Exclusive Economic Zone (Phoenix Islands)",1,1,6.99530930833059,7.05056652561478
"Lutjanus malabaricus","Kuwaiti Exclusive Economic Zone",0.666666666666667,0,2.45038200873261,3.56074401335394
"Lutjanus malabaricus","Madagascan Exclusive Economic Zone",0.362139917695473,0.135802469135802,1.82453071575415,5.14111776917729
"Lutjanus malabaricus","Malaysian Exclusive Economic Zone",0.962866449511401,0.536807817589577,4.27938654893488,8.2923610758136
"Lutjanus malabaricus","Maldives Exclusive Economic Zone",1,1,7.1213873588931,7.71150251857516
"Lutjanus malabaricus","Marshall Islands Exclusive Economic Zone",1,1,5.92171626120689,7.23636982552484
"Lutjanus malabaricus","Mauritian Exclusive Economic Zone",0.384892086330935,0.107913669064748,1.91431860855331,4.5903623972963
"Lutjanus malabaricus","Micronesian Exclusive Economic Zone",1,1,6.61307120136997,7.81889105576306
"Lutjanus malabaricus","Myanmar Exclusive Economic Zone",0.449591280653951,0.0326975476839237,1.81809784297599,4.52465078205351
"Lutjanus malabaricus","Nauruan Exclusive Economic Zone",1,1,7.4068768886471,7.67760265298856
"Lutjanus malabaricus","New Caledonian Exclusive Economic Zone",0.174193548387097,0.0279569892473118,0.715205366158924,4.64962824698069
"Lutjanus malabaricus","New Zealand Exclusive Economic Zone",0,0,0.0361935646165476,0.419759524537503
"Lutjanus malabaricus","Northern Mariana Exclusive Economic Zone",1,1,5.31637977960307,5.96097033317113
"Lutjanus malabaricus","Oecussi Ambeno Exclusive Economic Zone",1,1,4.08967463378386,4.21023274624026
"Lutjanus malabaricus","Omani Exclusive Economic Zone",0.824675324675325,0.688311688311688,6.14536510848753,8.2923610758136
"Lutjanus malabaricus","Overlapping claim Glorioso Islands: France / Madagascar",0.967741935483871,0.0967741935483871,2.91761944590041,4.21776191535991
"Lutjanus malabaricus","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,1.86142529622392,1.90187347299021
"Lutjanus malabaricus","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.0169862691960964,0.0785957222114278
"Lutjanus malabaricus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0.153846153846154,0,0.750671001132556,2.80412920695503
