"x","y","sigmaNovelty","cell","EEZ"
-78.625,25.125,5.99425629075839,812,"Bahamas Exclusive Economic Zone"
-78.375,25.125,6.18476134495889,812,"Bahamas Exclusive Economic Zone"
-84.375,24.875,5.67516702337711,3726,"United States Exclusive Economic Zone"
-84.125,24.875,5.25566613172061,3726,"United States Exclusive Economic Zone"
-83.375,24.875,4.02071971073753,3726,"United States Exclusive Economic Zone"
-83.125,24.875,4.01365445226759,3726,"United States Exclusive Economic Zone"
-78.875,24.875,5.77846416498887,812,"Bahamas Exclusive Economic Zone"
-78.625,24.875,5.88480639488354,812,"Bahamas Exclusive Economic Zone"
-78.375,24.875,6.01080019809567,812,"Bahamas Exclusive Economic Zone"
-84.375,24.625,5.77921901482702,3726,"United States Exclusive Economic Zone"
-84.125,24.625,5.53860786406496,3726,"United States Exclusive Economic Zone"
-83.625,24.625,4.75768796670353,3726,"United States Exclusive Economic Zone"
-83.375,24.625,4.56841927864475,3726,"United States Exclusive Economic Zone"
-83.125,24.625,4.45597154737538,3726,"United States Exclusive Economic Zone"
-82.875,24.625,4.79777548199048,3726,"United States Exclusive Economic Zone"
-79.625,24.625,5.79624735434876,812,"Bahamas Exclusive Economic Zone"
-79.375,24.625,5.80682194756123,812,"Bahamas Exclusive Economic Zone"
-79.125,24.625,5.71444291601727,812,"Bahamas Exclusive Economic Zone"
-78.875,24.625,5.72969228680423,812,"Bahamas Exclusive Economic Zone"
-78.625,24.625,5.80126732093152,812,"Bahamas Exclusive Economic Zone"
-83.625,24.375,5.02652631239081,3726,"United States Exclusive Economic Zone"
-83.375,24.375,4.90773604010462,3726,"United States Exclusive Economic Zone"
-83.125,24.375,4.81701195134224,3726,"United States Exclusive Economic Zone"
-82.875,24.375,4.86534953383799,3726,"United States Exclusive Economic Zone"
-79.875,24.375,5.86822073649669,812,"Bahamas Exclusive Economic Zone"
-79.625,24.375,5.83247594047366,812,"Bahamas Exclusive Economic Zone"
-79.375,24.375,5.6872960003486,812,"Bahamas Exclusive Economic Zone"
-79.125,24.375,5.56220283313575,812,"Bahamas Exclusive Economic Zone"
-78.875,24.375,5.66718675696244,812,"Bahamas Exclusive Economic Zone"
-78.625,24.375,5.77592944315263,812,"Bahamas Exclusive Economic Zone"
-78.375,24.375,5.80959182178716,812,"Bahamas Exclusive Economic Zone"
-77.875,24.375,5.7250124999181,812,NA
-83.375,24.125,5.24155937035968,3726,"United States Exclusive Economic Zone"
