"Species","EEZ","p2","p4","Average","Max"
"Melanogrammus aeglefinus","Belgian Exclusive Economic Zone",0,0,0.325663411236372,0.816625409742512
"Melanogrammus aeglefinus","Bermudian Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Melanogrammus aeglefinus","Canadian Exclusive Economic Zone",0.212824010914052,0.0459299681673488,1.14430985999537,8.2923610758136
"Melanogrammus aeglefinus","Danish Exclusive Economic Zone",0.170168067226891,0.0105042016806723,0.660731701428697,4.60737584877172
"Melanogrammus aeglefinus","Dutch Exclusive Economic Zone",0,0,0.137649722816416,1.1068859218367
"Melanogrammus aeglefinus","Faeroe Exclusive Economic Zone",0,0,0.0690911607000781,0.254486891266539
"Melanogrammus aeglefinus","French Exclusive Economic Zone",0.0033003300330033,0,0.329471235795028,2.50125527654959
"Melanogrammus aeglefinus","German Exclusive Economic Zone",0.2,0.0172413793103448,0.773671218651537,4.60737584877172
"Melanogrammus aeglefinus","Greenlandic Exclusive Economic Zone",0.0214797136038186,0,0.197912470349894,3.26368505409211
"Melanogrammus aeglefinus","Guernsey Exclusive Economic Zone",0,0,0.342888975655034,0.77100694047136
"Melanogrammus aeglefinus","Icelandic Exclusive Economic Zone",0,0,0.0739329951761905,0.465968815022353
"Melanogrammus aeglefinus","Irish Exclusive Economic Zone",0.0108991825613079,0,0.384516531909707,2.61752822441269
"Melanogrammus aeglefinus","Jersey Exclusive Economic Zone",0,0,0.317973388739379,0.587883133804394
"Melanogrammus aeglefinus","Joint regime area Sweden / Norway",0,0,0.124338419363811,0.159202511551535
"Melanogrammus aeglefinus","Latvian Exclusive Economic Zone",1,0,3.54879193769568,3.89284554251194
"Melanogrammus aeglefinus","Norwegian Exclusive Economic Zone",0.020573566084788,0,0.270473461030622,3.89284554251194
"Melanogrammus aeglefinus","Polish Exclusive Economic Zone",1,0,3.12474566819386,3.42978107546447
"Melanogrammus aeglefinus","Russian Exclusive economic Zone",0.0177215189873418,0,0.447964387149435,3.89284554251194
"Melanogrammus aeglefinus","Saint-Pierre and Miquelon Exclusive Economic Zone",0.1,0,1.37650658628828,2.07815211319772
"Melanogrammus aeglefinus","Spanish Exclusive Economic Zone",0,0,0.510559986532073,0.526573813511318
"Melanogrammus aeglefinus","Svalbard Exclusive Economic Zone",0,0,0.0555164811739268,0.0819943641508583
"Melanogrammus aeglefinus","Swedish Exclusive Economic Zone",0.273148148148148,0.00925925925925926,1.09689136530678,4.60737584877172
"Melanogrammus aeglefinus","United Kingdom Exclusive Economic Zone",0.00672947510094213,0,0.250784927698678,3.26368505409211
"Melanogrammus aeglefinus","United States Exclusive Economic Zone",0.181318681318681,0.115384615384615,1.45817987593489,8.2923610758136
