"Species","EEZ","p2","p4","Average","Max"
"Melicertus kerathurus","Albanian Exclusive Economic Zone",0.805555555555556,0.472222222222222,3.58775369377481,5.97614632843701
"Melicertus kerathurus","Algerian Exclusive Economic Zone",0,0,0.407743685247491,1.26024336273619
"Melicertus kerathurus","Croatian Exclusive Economic Zone",0.246376811594203,0.0072463768115942,1.50328067698068,4.0998970029208
"Melicertus kerathurus","Cypriote Exclusive Economic Zone",1,1,8.18981218546127,8.2923610758136
"Melicertus kerathurus","Egyptian Exclusive Economic Zone",1,1,8.23005887448303,8.2923610758136
"Melicertus kerathurus","French Exclusive Economic Zone",0.0601503759398496,0.037593984962406,0.672471061580869,5.78152281361958
"Melicertus kerathurus","Greek Exclusive Economic Zone",0.776018099547511,0.585972850678733,4.30817235083752,8.2923610758136
"Melicertus kerathurus","Israeli Exclusive Economic Zone",1,1,8.28701753231603,8.2923610758136
"Melicertus kerathurus","Italian Exclusive Economic Zone",0.255405405405405,0.12972972972973,1.65274786667376,8.2923610758136
"Melicertus kerathurus","Joint regime area Croatia / Slovenia",0,0,1.56286373527041,1.56286373527041
"Melicertus kerathurus","Joint regime area Italy / France",0,0,0.395737948725841,0.395737948725841
"Melicertus kerathurus","Lebanese Exclusive Economic Zone",1,1,8.2614466268936,8.2923610758136
"Melicertus kerathurus","Libyan Exclusive Economic Zone",0.992337164750958,0.865900383141762,6.12987056805441,8.2923610758136
"Melicertus kerathurus","Maltese Exclusive Economic Zone",0.75,0,2.2058057287521,3.14913016854396
"Melicertus kerathurus","Monégasque Exclusive Economic Zone",0,0,0.274758472720033,0.531131300022031
"Melicertus kerathurus","Montenegrin Exclusive economic Zone",0.538461538461538,0,2.24849391589212,3.81339193841896
"Melicertus kerathurus","Moroccan Exclusive Economic Zone",0.0147058823529412,0,0.28888505342176,2.45684778697737
"Melicertus kerathurus","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.418909255348159,0.418909255348159
"Melicertus kerathurus","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0794869100926261,0.0921732405073808
"Melicertus kerathurus","Overlapping claim Melilla: Spain / Morocco",0,0,0.245938577706895,0.245938577706895
"Melicertus kerathurus","Overlapping claim Western Saharan Exclusive Economic Zone",0.34,0.1,1.72309900679304,5.24264813605096
"Melicertus kerathurus","Palestinian Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Melicertus kerathurus","Portuguese Exclusive Economic Zone",0,0,0.062832378842692,0.353766520585816
"Melicertus kerathurus","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0531700214748361,0.0855794217199576
"Melicertus kerathurus","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.325498568284161,0.587424904188114
"Melicertus kerathurus","Slovenian Exclusive Economic Zone",1,0,3.59395463080586,3.59395463080586
"Melicertus kerathurus","Spanish Exclusive Economic Zone",0.0168918918918919,0.00675675675675676,0.497366821134912,4.22952216706542
"Melicertus kerathurus","Spanish Exclusive Economic Zone (Canary Islands)",0.113095238095238,0.0297619047619048,0.881031322708254,5.24264813605096
"Melicertus kerathurus","Syrian Exclusive Economic Zone",1,1,8.28775969113514,8.2923610758136
"Melicertus kerathurus","Tunisian Exclusive Economic Zone",0.395652173913043,0.260869565217391,2.21207477995401,6.75952041478371
"Melicertus kerathurus","Turkish Exclusive Economic Zone",0.915384615384615,0.903846153846154,6.75611588435532,8.2923610758136
"Melicertus kerathurus","United Kingdom Exclusive Economic Zone",1,1,5.49287591476259,5.78152281361958
