"x","y","sigmaNovelty","cell","EEZ"
139.875,40.125,1.76132714929733,3332,"Japanese Exclusive Economic Zone"
127.875,39.875,0.157783218245586,3222,"North Korean Exclusive Economic Zone"
128.125,39.875,0.306857687134651,3222,"North Korean Exclusive Economic Zone"
128.375,39.875,0.200487468737853,3222,"North Korean Exclusive Economic Zone"
139.625,39.875,1.80136047637624,3332,"Japanese Exclusive Economic Zone"
139.875,39.875,1.74594506007141,3332,"Japanese Exclusive Economic Zone"
127.625,39.625,0.594937706027102,3222,"North Korean Exclusive Economic Zone"
127.875,39.625,0.476684769849018,3222,"North Korean Exclusive Economic Zone"
128.125,39.625,0.54456499706152,3222,"North Korean Exclusive Economic Zone"
128.375,39.625,0.353836966672769,3222,"North Korean Exclusive Economic Zone"
139.375,39.625,1.34503145223374,3332,"Japanese Exclusive Economic Zone"
139.625,39.625,1.56182645434064,3332,"Japanese Exclusive Economic Zone"
139.875,39.625,1.78951585847042,3332,"Japanese Exclusive Economic Zone"
127.375,39.375,0.689312568399633,3222,NA
127.625,39.375,1.02870859577926,3222,"North Korean Exclusive Economic Zone"
127.875,39.375,0.659149571403613,3222,"North Korean Exclusive Economic Zone"
128.125,39.375,0.609298656098425,3222,"North Korean Exclusive Economic Zone"
139.375,39.375,1.52709668302152,3332,"Japanese Exclusive Economic Zone"
139.625,39.375,1.65011866883349,3332,"Japanese Exclusive Economic Zone"
139.875,39.375,1.80399887210875,3332,"Japanese Exclusive Economic Zone"
127.875,39.125,0.610075659797792,3222,"North Korean Exclusive Economic Zone"
128.125,39.125,0.725230273835231,3222,"North Korean Exclusive Economic Zone"
139.375,39.125,1.61920070340658,3332,"Japanese Exclusive Economic Zone"
139.625,39.125,1.83078232115061,3332,"Japanese Exclusive Economic Zone"
139.875,39.125,1.89989061679411,3359,NA
128.125,38.875,0.570551199734808,3222,"North Korean Exclusive Economic Zone"
128.375,38.875,0.461948775883619,3222,"North Korean Exclusive Economic Zone"
139.375,38.875,1.69397367277588,3332,"Japanese Exclusive Economic Zone"
139.625,38.875,1.92930520857719,3359,"Japanese Exclusive Economic Zone"
128.375,38.625,0.226773112278426,3221,"North Korean Exclusive Economic Zone"
128.625,38.625,0.511278713684022,3221,"South Korean Exclusive Economic Zone"
138.375,38.625,1.51716664644076,3332,"Japanese Exclusive Economic Zone"
138.625,38.625,1.59139551673612,3332,"Japanese Exclusive Economic Zone"
138.875,38.625,1.59639530753962,3332,"Japanese Exclusive Economic Zone"
139.125,38.625,1.85269364571195,3332,"Japanese Exclusive Economic Zone"
139.375,38.625,2.01394877283452,3332,"Japanese Exclusive Economic Zone"
128.625,38.375,0.240174169420002,3221,"South Korean Exclusive Economic Zone"
128.875,38.375,0.23403521179867,3221,"South Korean Exclusive Economic Zone"
138.125,38.375,1.55875523163135,3331,"Japanese Exclusive Economic Zone"
138.375,38.375,1.65875177384205,3331,"Japanese Exclusive Economic Zone"
138.625,38.375,1.66606032854959,3331,"Japanese Exclusive Economic Zone"
138.875,38.375,1.77210727375055,3331,"Japanese Exclusive Economic Zone"
139.125,38.375,2.20591001803899,3331,"Japanese Exclusive Economic Zone"
139.375,38.375,2.26622378625161,3331,"Japanese Exclusive Economic Zone"
128.875,38.125,0.131202720171417,3221,"South Korean Exclusive Economic Zone"
129.125,38.125,0.0308217634118137,3221,"South Korean Exclusive Economic Zone"
136.875,38.125,1.6385168994573,3304,"Japanese Exclusive Economic Zone"
137.125,38.125,1.52473545612359,3304,"Japanese Exclusive Economic Zone"
137.875,38.125,1.47967882813129,3331,"Japanese Exclusive Economic Zone"
138.125,38.125,1.75078549946044,3331,"Japanese Exclusive Economic Zone"
138.625,38.125,1.82437096074928,3331,"Japanese Exclusive Economic Zone"
138.875,38.125,1.94944380932927,3331,"Japanese Exclusive Economic Zone"
139.125,38.125,2.12885277269186,3331,"Japanese Exclusive Economic Zone"
139.375,38.125,2.27629489592811,3331,"Japanese Exclusive Economic Zone"
141.125,38.125,0.0553678804792921,3359,"Japanese Exclusive Economic Zone"
128.875,37.875,0.0607307265968113,3221,"South Korean Exclusive Economic Zone"
129.125,37.875,0.0380995944178296,3221,"South Korean Exclusive Economic Zone"
129.375,37.875,0.00457013342963444,3221,"South Korean Exclusive Economic Zone"
130.625,37.875,0.875142395241516,3249,"South Korean Exclusive Economic Zone"
130.875,37.875,0.839390885743645,3249,"South Korean Exclusive Economic Zone"
136.625,37.875,1.85007436235905,3304,"Japanese Exclusive Economic Zone"
136.875,37.875,1.8946979160932,3304,"Japanese Exclusive Economic Zone"
137.125,37.875,1.80326678054581,3304,"Japanese Exclusive Economic Zone"
137.375,37.875,1.720165459735,3331,"Japanese Exclusive Economic Zone"
137.875,37.875,1.6783731526385,3331,"Japanese Exclusive Economic Zone"
138.125,37.875,1.84505720725202,3331,"Japanese Exclusive Economic Zone"
