"Species","EEZ","p2","p4","Average","Max"
"Metapenaeus ensis","Australian Exclusive Economic Zone",0.740311260299054,0.576441867561794,3.78957072015465,8.20953615160139
"Metapenaeus ensis","Bangladeshi Exclusive Economic Zone",0.142857142857143,0,0.90796009795808,3.49758392465277
"Metapenaeus ensis","Bruneian Exclusive Economic Zone",1,1,4.96589357547411,6.83990739661178
"Metapenaeus ensis","Cambodian Exclusive Economic Zone",1,0.477272727272727,3.87823433653668,5.24718615271485
"Metapenaeus ensis","Chagos Archipelago Exclusive Economic Zone",1,1,6.13809602978647,6.58633535908726
"Metapenaeus ensis","Chinese Exclusive Economic Zone",0.251434034416826,0.0764818355640535,1.45931985416179,6.21958043524635
"Metapenaeus ensis","Christmas Island Exclusive Economic Zone",1,0,2.69706435666918,2.72095105424989
"Metapenaeus ensis","East Timorian Exclusive Economic Zone",1,1,5.68416531509829,6.22219308294395
"Metapenaeus ensis","Fijian Exclusive Economic Zone",0.704020259575815,0.537828426717316,3.62364459129894,8.20953615160139
"Metapenaeus ensis","Howland and Baker Islands Exclusive Economic Zone",1,1,6.9081693074028,7.05075737044866
"Metapenaeus ensis","Indian Exclusive Economic Zone",0.919871794871795,0.817307692307692,5.99235272350651,8.2923610758136
"Metapenaeus ensis","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.879003558718861,0.494661921708185,3.62226664233464,5.92834653582164
"Metapenaeus ensis","Indonesian Exclusive Economic Zone",0.989250711349984,0.837496048055643,5.18694634553878,8.2923610758136
"Metapenaeus ensis","Japanese Exclusive Economic Zone",0.0893682588597843,0.0138674884437596,0.741604694799358,6.03290381056646
"Metapenaeus ensis","Joint regime area Australia / Papua New Guinea",1,0,3.35959043347606,3.54667017294162
"Metapenaeus ensis","Joint regime area Japan / Korea",0,0,0.537485508490531,1.7210165910313
"Metapenaeus ensis","Kiribati Exclusive Economic Zone (Gilbert Islands)",0.99906919019547,0.869996897300652,5.69640092139981,8.2923610758136
"Metapenaeus ensis","Kiribati Exclusive Economic Zone (Phoenix Islands)",1,1,6.9955257875181,7.05075737044866
"Metapenaeus ensis","Malaysian Exclusive Economic Zone",0.999330655957162,0.595716198125837,4.50281326121014,8.2923610758136
"Metapenaeus ensis","Maldives Exclusive Economic Zone",1,1,7.12728937851118,7.71036821423873
"Metapenaeus ensis","Marshall Islands Exclusive Economic Zone",1,1,6.03669132065704,7.16271914149807
"Metapenaeus ensis","Micronesian Exclusive Economic Zone",1,1,6.67852349473896,7.81629470116419
"Metapenaeus ensis","Myanmar Exclusive Economic Zone",0.689655172413793,0.19893899204244,2.71443628084384,5.39071936276415
"Metapenaeus ensis","Nauruan Exclusive Economic Zone",1,1,7.40718121593563,7.67760265298856
"Metapenaeus ensis","New Caledonian Exclusive Economic Zone",0.108882521489971,0,0.477259275783559,3.33412264956793
"Metapenaeus ensis","New Zealand Exclusive Economic Zone",0,0,0.0458350436826949,0.686770496701281
"Metapenaeus ensis","Oecussi Ambeno Exclusive Economic Zone",1,1,4.0899640584722,4.21052683152594
"Metapenaeus ensis","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.0170525594709537,0.078846036941502
"Metapenaeus ensis","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0.185840707964602,0,0.842891022515579,2.80458928921665
"Metapenaeus ensis","Overlapping claim South China Sea",0.84,0.48,3.62775455447854,7.37493599164548
"Metapenaeus ensis","Palau Exclusive Economic Zone",1,1,6.13048183571058,6.25031102551293
"Metapenaeus ensis","Papua New Guinean Exclusive Economic Zone",1,0.74835886214442,5.19810916314966,7.81629470116419
"Metapenaeus ensis","Philippines Exclusive Economic Zone",0.93859649122807,0.899122807017544,5.57899649149795,8.2923610758136
"Metapenaeus ensis","Solomon Islands Exclusive Economic Zone",1,0.960144927536232,6.53347009419371,7.18853112934013
"Metapenaeus ensis","South Korean Exclusive Economic Zone",0.0769230769230769,0,0.683055988687038,3.18791656701887
"Metapenaeus ensis","Sri Lankan Exclusive Economic Zone",1,0.95679012345679,5.98676222488697,8.2923610758136
"Metapenaeus ensis","Taiwanese Exclusive Economic Zone",0.377272727272727,0.118181818181818,1.64393927410848,5.94473691036087
"Metapenaeus ensis","Thailand Exclusive Economic Zone",0.961165048543689,0.640776699029126,4.18060428563828,8.20953615160139
"Metapenaeus ensis","Tongan Exclusive Economic Zone",0.32,0,1.4136296446254,3.26326948577571
"Metapenaeus ensis","Tuvaluan Exclusive Economic Zone",0.983299075025694,0.841983556012333,5.03973200931399,7.21360481190998
"Metapenaeus ensis","United States Exclusive Economic Zone (Hawaii)",0.244818652849741,0.107512953367876,1.5789850787155,8.05774360301322
"Metapenaeus ensis","Vanuatu Exclusive Economic Zone",0.162393162393162,0,0.659940813621226,3.33412264956793
"Metapenaeus ensis","Vietnamese Exclusive Economic Zone",0.564336372847011,0.0820668693009119,2.2553067035274,6.16086881751648
"Metapenaeus ensis","Wallis and Futuna Exclusive Economic Zone",0.994986072423398,0.815041782729805,5.06091809737804,7.96402361512231
