"x","y","sigmaNovelty","cell","EEZ"
139.875,35.375,0.489178791830916,3358,"Japanese Exclusive Economic Zone"
139.125,35.125,0.766960437423906,3330,"Japanese Exclusive Economic Zone"
139.375,35.125,0.402335138681024,3330,"Japanese Exclusive Economic Zone"
139.625,35.125,0.552296615562257,3330,"Japanese Exclusive Economic Zone"
138.375,34.875,0.104788699517933,3330,"Japanese Exclusive Economic Zone"
138.625,34.875,0.126405405731356,3330,"Japanese Exclusive Economic Zone"
139.125,34.875,0.616647686264581,3330,"Japanese Exclusive Economic Zone"
139.375,34.875,0.876961334074084,3330,"Japanese Exclusive Economic Zone"
139.625,34.875,0.862884146560121,3330,"Japanese Exclusive Economic Zone"
139.875,34.875,0.870078559648216,3358,"Japanese Exclusive Economic Zone"
140.125,34.875,0.514125721260917,3358,"Japanese Exclusive Economic Zone"
140.375,34.875,0.167681530819912,3358,"Japanese Exclusive Economic Zone"
134.375,34.625,2.22729049418362,3275,"Japanese Exclusive Economic Zone"
134.625,34.625,2.44673827786502,3275,"Japanese Exclusive Economic Zone"
134.875,34.625,2.37202457609605,3275,"Japanese Exclusive Economic Zone"
135.125,34.625,2.31181215988406,3303,"Japanese Exclusive Economic Zone"
135.375,34.625,2.69426918950494,3303,"Japanese Exclusive Economic Zone"
136.625,34.625,1.23119068381334,3303,"Japanese Exclusive Economic Zone"
136.875,34.625,1.32239257113594,3330,"Japanese Exclusive Economic Zone"
137.375,34.625,0.69598855261108,3330,"Japanese Exclusive Economic Zone"
137.625,34.625,0.0442403536139934,3330,"Japanese Exclusive Economic Zone"
137.875,34.625,0.0124961285930663,3330,"Japanese Exclusive Economic Zone"
138.125,34.625,0.00618632580898958,3330,"Japanese Exclusive Economic Zone"
138.375,34.625,0.0607155858248366,3330,"Japanese Exclusive Economic Zone"
138.625,34.625,0.0388104271026455,3330,"Japanese Exclusive Economic Zone"
139.125,34.625,0.545033850621184,3330,"Japanese Exclusive Economic Zone"
139.375,34.625,0.689742938107851,3330,"Japanese Exclusive Economic Zone"
139.625,34.625,0.58607137133363,3330,"Japanese Exclusive Economic Zone"
139.875,34.625,0.497364330198196,3330,"Japanese Exclusive Economic Zone"
140.125,34.625,0.146055088592663,3358,"Japanese Exclusive Economic Zone"
140.375,34.625,0.107432736954572,3358,"Japanese Exclusive Economic Zone"
127.125,34.375,2.60337197269551,3220,"South Korean Exclusive Economic Zone"
127.375,34.375,2.27011653356949,3220,"South Korean Exclusive Economic Zone"
133.875,34.375,2.29707042633184,3275,"Japanese Exclusive Economic Zone"
134.375,34.375,2.14232373787491,3275,"Japanese Exclusive Economic Zone"
134.625,34.375,2.551134742707,3275,"Japanese Exclusive Economic Zone"
135.125,34.375,2.39593945429634,3302,"Japanese Exclusive Economic Zone"
137.125,34.375,0.266187438429644,3330,"Japanese Exclusive Economic Zone"
137.375,34.375,0.0651439788836077,3330,"Japanese Exclusive Economic Zone"
137.625,34.375,0.00758811802412693,3330,"Japanese Exclusive Economic Zone"
137.875,34.375,0.00728703774535899,3330,"Japanese Exclusive Economic Zone"
138.125,34.375,0.0132385338295121,3330,"Japanese Exclusive Economic Zone"
138.375,34.375,0.012547212656721,3330,"Japanese Exclusive Economic Zone"
138.625,34.375,0.00183803251019002,3330,"Japanese Exclusive Economic Zone"
138.875,34.375,0.00050994737134856,3330,"Japanese Exclusive Economic Zone"
139.125,34.375,8.88525422593435e-05,3330,"Japanese Exclusive Economic Zone"
139.375,34.375,0.000379630977805437,3330,"Japanese Exclusive Economic Zone"
139.625,34.375,0.000641895368029495,3330,"Japanese Exclusive Economic Zone"
139.875,34.375,0.0023428274155615,3330,"Japanese Exclusive Economic Zone"
140.125,34.375,0.0133120842914851,3357,"Japanese Exclusive Economic Zone"
127.125,34.125,1.88819347090171,3220,"South Korean Exclusive Economic Zone"
127.375,34.125,1.31501540927689,3220,"South Korean Exclusive Economic Zone"
129.875,34.125,0.189562599526648,3247,"Japanese Exclusive Economic Zone"
130.125,34.125,0.153374371750612,3247,"Japanese Exclusive Economic Zone"
