"Species","EEZ","p2","p4","Average","Max"
"Metapenaeus monoceros","Bangladeshi Exclusive Economic Zone",0.120689655172414,0.0517241379310345,1.21326158327549,7.95603812548153
"Metapenaeus monoceros","Bassas da India Exclusive Economic Zone",0,0,0.0267974937116109,0.0362612987142883
"Metapenaeus monoceros","Chagos Archipelago Exclusive Economic Zone",0,0,1.26343436646255,1.32243358755227
"Metapenaeus monoceros","Comoran Exclusive Economic Zone",0,0,0.0345458570446383,0.0459652250256261
"Metapenaeus monoceros","Djiboutian Exclusive Economic Zone",1,1,5.68674003621143,6.61087351459551
"Metapenaeus monoceros","Egyptian Exclusive Economic Zone",1,0,3.41424597671015,3.52732946065619
"Metapenaeus monoceros","Eritrean Exclusive Economic Zone",1,1,8.07717321564792,8.2923610758136
"Metapenaeus monoceros","Ile Europa Exclusive Economic Zone",0,0,0.0291234342765257,0.0362612987142883
"Metapenaeus monoceros","Indian Exclusive Economic Zone",0.320083682008368,0,1.30469288009745,3.30793205508838
"Metapenaeus monoceros","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.0172413793103448,0,0.216784179519361,2.82480510078678
"Metapenaeus monoceros","Indonesian Exclusive Economic Zone",0.00756143667296786,0,0.501622986796475,2.54660968013965
"Metapenaeus monoceros","Iranian Exclusive Economic Zone",0.985294117647059,0.779411764705882,5.39432048396003,8.2923610758136
"Metapenaeus monoceros","Juan de Nova Exclusive Economic Zone",0,0,0.0333563410199236,0.0493979052011007
"Metapenaeus monoceros","Kenyan Exclusive Economic Zone",0,0,0.00437355111942727,0.0162590742066399
"Metapenaeus monoceros","Madagascan Exclusive Economic Zone",0.00206611570247934,0,0.0744424378133352,2.19843150369468
"Metapenaeus monoceros","Malaysian Exclusive Economic Zone",0.0225988700564972,0,0.710429463026842,2.54660968013965
"Metapenaeus monoceros","Maldives Exclusive Economic Zone",0.662721893491124,0,1.96298883549336,2.32391349010773
"Metapenaeus monoceros","Mauritian Exclusive Economic Zone",0,0,0.187546969609236,0.3240528142972
"Metapenaeus monoceros","Mozambican Exclusive Economic Zone",0,0,0.0775224858986187,1.71779965493311
"Metapenaeus monoceros","Myanmar Exclusive Economic Zone",0.0454545454545455,0,0.340490894724496,3.99657882481664
"Metapenaeus monoceros","Omani Exclusive Economic Zone",0.541379310344828,0.379310344827586,3.16837663413786,8.2923610758136
"Metapenaeus monoceros","Overlapping claim Glorioso Islands: France / Madagascar",0,0,0.0488647861318761,0.116838267731217
"Metapenaeus monoceros","Overlapping claim Mayotte: France / Comoros",0,0,0.0348668255797033,0.0502561121397941
"Metapenaeus monoceros","Overlapping claim: Iran / United Arab Emirates",1,1,7.84775690396527,8.2923610758136
"Metapenaeus monoceros","Overlapping claim: Kenya / Somalia",0,0,0.00677605002395756,0.014095466583378
"Metapenaeus monoceros","Pakistani Exclusive Economic Zone",0.15,0,1.00298861599922,2.72174406962769
"Metapenaeus monoceros","Réunion Exclusive Economic Zone",0,0,0.117404802108785,0.158178854800157
"Metapenaeus monoceros","Saudi Arabian Exclusive Economic Zone",1,0.902439024390244,7.51876032337288,8.2923610758136
"Metapenaeus monoceros","Seychellois Exclusive Economic Zone",0,0,0.310433717827602,0.94369826892767
"Metapenaeus monoceros","Somali Exclusive Economic Zone",0.349740932642487,0.199481865284974,1.71910972804433,7.90568999600589
"Metapenaeus monoceros","South African Exclusive Economic Zone",0,0,0.00195275546284695,0.0301953324946246
"Metapenaeus monoceros","Sri Lankan Exclusive Economic Zone",0.182795698924731,0,0.977944584716206,3.30793205508838
"Metapenaeus monoceros","Sudanese Exclusive Economic Zone",1,1,8.11829054681988,8.2923610758136
"Metapenaeus monoceros","Tanzanian Exclusive Economic Zone",0,0,0.0307989562622402,0.393612489060735
"Metapenaeus monoceros","Thailand Exclusive Economic Zone",0.0186915887850467,0,0.310795847514619,2.54660968013965
"Metapenaeus monoceros","United Arab Emirates Exclusive Economic Zone",1,1,6.81401149626113,8.2923610758136
"Metapenaeus monoceros","Yemeni Exclusive Economic Zone",0.5275,0.37,3.16014631333876,8.2923610758136
