"x","y","sigmaNovelty","cell","EEZ"
56.125,27.125,5.70291583910912,2419,"Iranian Exclusive Economic Zone"
56.375,27.125,5.65961357506722,2419,"Iranian Exclusive Economic Zone"
56.625,27.125,5.73585970389543,2447,"Iranian Exclusive Economic Zone"
55.625,26.875,6.09518087400856,2419,"Iranian Exclusive Economic Zone"
56.625,26.875,5.38445527124906,2419,"Iranian Exclusive Economic Zone"
56.875,26.875,5.65575279726774,2447,"Iranian Exclusive Economic Zone"
54.125,26.625,6.72741090683183,2419,"Iranian Exclusive Economic Zone"
54.375,26.625,6.86430563682718,2419,"Iranian Exclusive Economic Zone"
55.125,26.625,6.74494364369845,2419,"Iranian Exclusive Economic Zone"
55.625,26.625,6.45037964183324,2419,"Iranian Exclusive Economic Zone"
56.125,26.625,5.56713000304792,2419,"Iranian Exclusive Economic Zone"
56.375,26.625,5.48218072611927,2419,"Omani Exclusive Economic Zone"
56.625,26.625,5.3647751154418,2419,"Omani Exclusive Economic Zone"
56.875,26.625,5.45815819511268,2447,"Iranian Exclusive Economic Zone"
54.375,26.375,7.22498567157179,2419,"Iranian Exclusive Economic Zone"
54.625,26.375,7.09997665385883,2419,"Iranian Exclusive Economic Zone"
54.875,26.375,6.80385465978579,2419,"Iranian Exclusive Economic Zone"
55.125,26.375,6.85946678876327,2419,"Overlapping claim: Iran / United Arab Emirates"
55.375,26.375,7.00676362297787,2419,"Overlapping claim: Iran / United Arab Emirates"
55.625,26.375,6.89939688127981,2419,"Iranian Exclusive Economic Zone"
55.875,26.375,6.83717735684629,2419,"Iranian Exclusive Economic Zone"
56.125,26.375,6.48400300719565,2419,"Omani Exclusive Economic Zone"
56.375,26.375,5.95735011683297,2419,"Omani Exclusive Economic Zone"
56.625,26.375,5.67359274758131,2419,"Omani Exclusive Economic Zone"
56.875,26.375,5.54782856971575,2419,"Iranian Exclusive Economic Zone"
54.625,26.125,7.86218968520078,2419,"Iranian Exclusive Economic Zone"
54.875,26.125,7.79722626842912,2419,"Overlapping claim: Iran / United Arab Emirates"
55.125,26.125,7.98170212583081,2419,"Overlapping claim: Iran / United Arab Emirates"
55.375,26.125,8.16070784085858,2419,"Overlapping claim: Iran / United Arab Emirates"
55.625,26.125,8.16070784085858,2419,"Overlapping claim: Iran / United Arab Emirates"
55.875,26.125,8.2923610758136,2419,"Omani Exclusive Economic Zone"
56.125,26.125,8.2923610758136,2419,"Omani Exclusive Economic Zone"
56.625,26.125,5.79564601507546,2419,"Omani Exclusive Economic Zone"
56.875,26.125,5.65509427280275,2419,"Iranian Exclusive Economic Zone"
57.125,26.125,5.67021067389599,2446,"Iranian Exclusive Economic Zone"
54.875,25.875,8.2923610758136,2419,"Overlapping claim: Iran / United Arab Emirates"
55.125,25.875,8.2923610758136,2419,"Overlapping claim: Iran / United Arab Emirates"
55.375,25.875,8.2923610758136,2419,"Overlapping claim: Iran / United Arab Emirates"
55.625,25.875,8.2923610758136,2419,"United Arab Emirates Exclusive Economic Zone"
55.875,25.875,8.2923610758136,2419,"United Arab Emirates Exclusive Economic Zone"
