"Species","EEZ","p2","p4","Average","Max"
"Micropogonias furnieri","Anguilla Exclusive Economic Zone",1,0.411764705882353,3.90244643998061,4.06070419912276
"Micropogonias furnieri","Antigua and Barbuda Exclusive Economic Zone",1,0,3.68635468922385,3.98016977807794
"Micropogonias furnieri","Argentinean Exclusive Economic Zone",0,0,0.592224403598059,1.2634506215275
"Micropogonias furnieri","Aruban Exclusive Economic Zone",1,0.571428571428571,4.03524765064619,4.75834585970645
"Micropogonias furnieri","Bahamas Exclusive Economic Zone",1,0.987854251012146,5.74393247290807,8.2923610758136
"Micropogonias furnieri","Barbados Exclusive Economic Zone",1,0.928571428571429,4.32591969495694,4.83718171652672
"Micropogonias furnieri","Bonaire Exclusive Economic Zone",1,0.916666666666667,4.57181904879584,4.9291004882668
"Micropogonias furnieri","Brazilian Exclusive Economic Zone",0.506448839208942,0.362854686156492,2.91390032003059,8.2923610758136
"Micropogonias furnieri","British Virgin Islands Exclusive Economic Zone",1,0.973684210526316,4.30136785340948,4.62822405016031
"Micropogonias furnieri","Cayman Islands Exclusive Economic Zone",1,1,7.81810473065406,8.04139995909654
"Micropogonias furnieri","Colombian Exclusive Economic Zone",0.997076023391813,0.830409356725146,5.72390899314485,7.95603812548153
"Micropogonias furnieri","Colombian Exclusive Economic Zone (Bajo Nuevo)",1,1,6.71560118655911,6.71560118655911
"Micropogonias furnieri","Colombian Exclusive Economic Zone (Quitasueño)",1,1,6.36785922019483,6.40219107383037
"Micropogonias furnieri","Colombian Exclusive Economic Zone (Serrana)",1,1,6.41734261591891,6.44542882791384
"Micropogonias furnieri","Colombian Exclusive Economic Zone (Serranilla)",1,1,6.61503123727303,6.64637372969796
"Micropogonias furnieri","Costa Rican Exclusive Economic Zone",1,1,5.90277545301676,7.06967408747566
"Micropogonias furnieri","Cuban Exclusive Economic Zone",1,1,6.22742206357956,8.2923610758136
"Micropogonias furnieri","Curaçaoan Exclusive Economic Zone",1,0.6,4.19905314274421,4.87313194775786
"Micropogonias furnieri","Dominican Exclusive Economic Zone",1,0.170731707317073,3.81347373382543,4.11237324133745
