"x","y","sigmaNovelty","cell","EEZ"
-83.625,27.125,1.64968567235233,3699,"United States Exclusive Economic Zone"
-83.375,27.125,1.61577265777865,3699,"United States Exclusive Economic Zone"
-83.125,27.125,1.79248938046161,3699,"United States Exclusive Economic Zone"
-82.875,27.125,2.3039205167589,3699,"United States Exclusive Economic Zone"
-82.625,27.125,2.91336643143357,3699,"United States Exclusive Economic Zone"
-80.125,27.125,3.57716691648628,785,"United States Exclusive Economic Zone"
-79.875,27.125,4.94518678768261,785,"United States Exclusive Economic Zone"
-78.625,27.125,5.11020635439254,785,"Bahamas Exclusive Economic Zone"
-78.375,27.125,5.15751244317366,785,"Bahamas Exclusive Economic Zone"
-78.125,27.125,4.89344310125199,785,"Bahamas Exclusive Economic Zone"
-77.875,27.125,4.66134165424725,785,"Bahamas Exclusive Economic Zone"
-77.625,27.125,4.38129111592174,785,"Bahamas Exclusive Economic Zone"
-77.375,27.125,4.22360968688045,785,"Bahamas Exclusive Economic Zone"
-77.125,27.125,4.08074854147356,785,"Bahamas Exclusive Economic Zone"
-76.875,27.125,3.94423150949805,813,"Bahamas Exclusive Economic Zone"
-83.875,26.875,2.36804366615209,3699,"United States Exclusive Economic Zone"
-83.625,26.875,2.04967979370228,3699,"United States Exclusive Economic Zone"
-83.375,26.875,1.8598217419306,3699,"United States Exclusive Economic Zone"
-83.125,26.875,1.93832739024747,3699,"United States Exclusive Economic Zone"
-82.875,26.875,2.17520117501497,3699,"United States Exclusive Economic Zone"
-82.625,26.875,2.74864738203545,3727,"United States Exclusive Economic Zone"
-82.375,26.875,3.36129996146804,3727,"United States Exclusive Economic Zone"
-82.125,26.875,3.78572318639692,3727,"United States Exclusive Economic Zone"
-79.875,26.875,5.11207406331409,785,"United States Exclusive Economic Zone"
-79.625,26.875,5.31348445384751,785,"United States Exclusive Economic Zone"
-78.875,26.875,4.91940512230926,785,"Bahamas Exclusive Economic Zone"
-78.625,26.875,5.19662762979274,785,"Bahamas Exclusive Economic Zone"
-78.375,26.875,5.24531786055898,785,"Bahamas Exclusive Economic Zone"
-78.125,26.875,5.07739804511119,785,"Bahamas Exclusive Economic Zone"
-77.375,26.875,4.33979080836706,785,"Bahamas Exclusive Economic Zone"
-77.125,26.875,4.19198621477575,785,"Bahamas Exclusive Economic Zone"
-76.875,26.875,4.01762220856449,813,"Bahamas Exclusive Economic Zone"
-76.625,26.875,3.86980557082225,813,"Bahamas Exclusive Economic Zone"
-83.875,26.625,2.78796849660976,3699,"United States Exclusive Economic Zone"
-83.625,26.625,2.65093988070806,3699,"United States Exclusive Economic Zone"
-83.375,26.625,2.43546018124697,3699,"United States Exclusive Economic Zone"
-83.125,26.625,2.39396460615182,3699,"United States Exclusive Economic Zone"
-82.875,26.625,2.57750558688905,3699,"United States Exclusive Economic Zone"
-82.625,26.625,2.86491710671507,3727,"United States Exclusive Economic Zone"
-82.375,26.625,3.40456292403166,3727,"United States Exclusive Economic Zone"
-79.875,26.625,5.16286464478203,785,"United States Exclusive Economic Zone"
-79.625,26.625,5.34377238079555,785,"United States Exclusive Economic Zone"
-79.375,26.625,5.54398105417606,785,"Bahamas Exclusive Economic Zone"
-79.125,26.625,5.53283927192249,785,"Bahamas Exclusive Economic Zone"
-78.625,26.625,5.58870541298137,785,"Bahamas Exclusive Economic Zone"
-78.125,26.625,4.97874174517494,785,"Bahamas Exclusive Economic Zone"
-77.875,26.625,4.7648944596908,785,"Bahamas Exclusive Economic Zone"
-77.625,26.625,4.94032861821765,785,"Bahamas Exclusive Economic Zone"
-77.375,26.625,4.81885594797275,785,"Bahamas Exclusive Economic Zone"
-77.125,26.625,4.26354894040375,813,"Bahamas Exclusive Economic Zone"
-76.875,26.625,4.1541868332243,813,"Bahamas Exclusive Economic Zone"
-76.625,26.625,3.98554425184337,813,"Bahamas Exclusive Economic Zone"
-76.375,26.625,3.89442266616561,813,"Bahamas Exclusive Economic Zone"
-83.625,26.375,2.84283099664316,3699,"United States Exclusive Economic Zone"
-83.375,26.375,2.64110617253932,3699,"United States Exclusive Economic Zone"
-83.125,26.375,2.68099150006565,3699,"United States Exclusive Economic Zone"
-82.875,26.375,2.81567741205667,3727,"United States Exclusive Economic Zone"
-82.625,26.375,3.05422441520447,3727,"United States Exclusive Economic Zone"
-82.375,26.375,3.47470490385692,3727,"United States Exclusive Economic Zone"
-82.125,26.375,4.03465323063679,3727,"United States Exclusive Economic Zone"
-81.875,26.375,4.32607265420445,3727,"United States Exclusive Economic Zone"
-79.875,26.375,5.16129465238471,785,"United States Exclusive Economic Zone"
-79.625,26.375,5.30358650333296,785,"United States Exclusive Economic Zone"
-79.375,26.375,5.50063552677133,785,"Bahamas Exclusive Economic Zone"
-79.125,26.375,5.59436555991933,785,"Bahamas Exclusive Economic Zone"
-78.875,26.375,5.64442455857357,785,"Bahamas Exclusive Economic Zone"
-78.625,26.375,5.59036242420858,785,"Bahamas Exclusive Economic Zone"
-78.375,26.375,5.52768910129847,785,"Bahamas Exclusive Economic Zone"
-78.125,26.375,5.32151045825772,785,"Bahamas Exclusive Economic Zone"
-77.875,26.375,4.80707328878145,785,"Bahamas Exclusive Economic Zone"
-77.625,26.375,4.62364010863035,785,"Bahamas Exclusive Economic Zone"
-77.375,26.375,4.63040815598444,813,"Bahamas Exclusive Economic Zone"
-76.875,26.375,4.2253168537868,813,"Bahamas Exclusive Economic Zone"
-76.625,26.375,4.07814508698245,813,"Bahamas Exclusive Economic Zone"
-76.375,26.375,3.97714443645213,813,"Bahamas Exclusive Economic Zone"
-83.625,26.125,3.01359433663483,3699,"United States Exclusive Economic Zone"
-83.375,26.125,2.91875008578542,3699,"United States Exclusive Economic Zone"
-83.125,26.125,2.95200158114988,3727,"United States Exclusive Economic Zone"
-82.875,26.125,3.1111185337387,3727,"United States Exclusive Economic Zone"
-82.625,26.125,3.31856125041951,3727,"United States Exclusive Economic Zone"
-82.375,26.125,3.48319324143049,3727,"United States Exclusive Economic Zone"
-82.125,26.125,3.95963201083242,3727,"United States Exclusive Economic Zone"
-81.875,26.125,4.41593832894277,3727,"United States Exclusive Economic Zone"
-79.875,26.125,5.18274376915173,3727,"United States Exclusive Economic Zone"
-79.625,26.125,5.30438923478287,785,"United States Exclusive Economic Zone"
-79.375,26.125,5.48076207538047,785,"Bahamas Exclusive Economic Zone"
-79.125,26.125,5.66220540945444,785,"Bahamas Exclusive Economic Zone"
-78.875,26.125,5.75019404239469,785,"Bahamas Exclusive Economic Zone"
-78.625,26.125,5.69424887322473,785,"Bahamas Exclusive Economic Zone"
-78.375,26.125,5.63808933267875,785,"Bahamas Exclusive Economic Zone"
-78.125,26.125,5.51099653416904,785,"Bahamas Exclusive Economic Zone"
-77.875,26.125,5.1788934228276,785,"Bahamas Exclusive Economic Zone"
-77.625,26.125,4.67028420780388,813,"Bahamas Exclusive Economic Zone"
-77.375,26.125,4.66569176962435,813,"Bahamas Exclusive Economic Zone"
-77.125,26.125,4.39164081337292,813,"Bahamas Exclusive Economic Zone"
-76.875,26.125,4.32932705388323,813,"Bahamas Exclusive Economic Zone"
-76.625,26.125,4.19413237553819,813,"Bahamas Exclusive Economic Zone"
-76.375,26.125,4.07426401129324,813,"Bahamas Exclusive Economic Zone"
-83.625,25.875,3.37744499072927,3726,"United States Exclusive Economic Zone"
-83.375,25.875,3.2252055756876,3727,"United States Exclusive Economic Zone"
-83.125,25.875,3.13802060042627,3727,"United States Exclusive Economic Zone"
-82.875,25.875,3.25999223650805,3727,"United States Exclusive Economic Zone"
-82.625,25.875,3.45986468969664,3727,"United States Exclusive Economic Zone"
-82.375,25.875,3.6383147493583,3727,"United States Exclusive Economic Zone"
-82.125,25.875,3.9056201684694,3727,"United States Exclusive Economic Zone"
-81.875,25.875,4.3006969022585,3727,"United States Exclusive Economic Zone"
-81.625,25.875,4.80580859208385,3727,"United States Exclusive Economic Zone"
-79.875,25.875,5.25884838497055,3727,"United States Exclusive Economic Zone"
-79.625,25.875,5.38118976893997,812,"Bahamas Exclusive Economic Zone"
-79.375,25.875,5.39639208257735,812,"Bahamas Exclusive Economic Zone"
-79.125,25.875,5.77772293041837,812,"Bahamas Exclusive Economic Zone"
-78.875,25.875,6.06581941718624,812,"Bahamas Exclusive Economic Zone"
-78.625,25.875,6.0373217323059,812,"Bahamas Exclusive Economic Zone"
-78.375,25.875,5.92841717669779,812,"Bahamas Exclusive Economic Zone"
-78.125,25.875,5.8188197146659,812,"Bahamas Exclusive Economic Zone"
-77.875,25.875,5.53885346612184,812,"Bahamas Exclusive Economic Zone"
-77.625,25.875,5.11271073304636,813,"Bahamas Exclusive Economic Zone"
-77.375,25.875,4.87961347362563,813,"Bahamas Exclusive Economic Zone"
-77.125,25.875,4.65750768273317,813,"Bahamas Exclusive Economic Zone"
-76.875,25.875,4.56520828029133,813,"Bahamas Exclusive Economic Zone"
-76.625,25.875,4.468488224137,813,"Bahamas Exclusive Economic Zone"
-76.375,25.875,4.3488113831944,813,"Bahamas Exclusive Economic Zone"
-83.625,25.625,3.69971359495009,3726,"United States Exclusive Economic Zone"
-83.375,25.625,3.39698593084754,3726,"United States Exclusive Economic Zone"
-83.125,25.625,3.34057616087749,3727,"United States Exclusive Economic Zone"
-82.875,25.625,3.39296783497297,3727,"United States Exclusive Economic Zone"
-82.625,25.625,3.63264216727266,3727,"United States Exclusive Economic Zone"
-82.375,25.625,3.7799139209609,3727,"United States Exclusive Economic Zone"
-82.125,25.625,3.8783219891442,3727,"United States Exclusive Economic Zone"
-81.875,25.625,4.2635714974369,3727,"United States Exclusive Economic Zone"
-81.625,25.625,4.89380002731885,3727,"United States Exclusive Economic Zone"
-81.375,25.625,5.31869425399536,3727,"United States Exclusive Economic Zone"
-80.125,25.625,5.75034750219483,3727,"United States Exclusive Economic Zone"
-79.875,25.625,5.32607798257726,812,"United States Exclusive Economic Zone"
-79.625,25.625,5.48087303033106,812,"Bahamas Exclusive Economic Zone"
-79.375,25.625,5.36311675280364,812,"Bahamas Exclusive Economic Zone"
-79.125,25.625,5.48638890269584,812,"Bahamas Exclusive Economic Zone"
-78.875,25.625,5.77806601293,812,"Bahamas Exclusive Economic Zone"
-78.625,25.625,6.07511641668484,812,"Bahamas Exclusive Economic Zone"
-78.375,25.625,6.16006638264939,812,"Bahamas Exclusive Economic Zone"
-78.125,25.625,6.04492118309056,812,"Bahamas Exclusive Economic Zone"
