"Species","EEZ","p2","p4","Average","Max"
"Mizuhopecten yessoensis","Chinese Exclusive Economic Zone",0.960655737704918,0.186885245901639,3.28133709446645,8.2923610758136
"Mizuhopecten yessoensis","Japanese Exclusive Economic Zone",0.351826792963464,0.15020297699594,2.05167482232051,8.2923610758136
"Mizuhopecten yessoensis","Joint regime area Japan / Korea",1,1,8.2923610758136,8.2923610758136
"Mizuhopecten yessoensis","Joint regime area United States / Russia",0.0642737896494157,0,0.811937470399691,3.95683390568568
"Mizuhopecten yessoensis","North Korean Exclusive Economic Zone",0.212765957446809,0.117021276595745,1.49346136340184,7.47640494752238
"Mizuhopecten yessoensis","Overlapping claim Kuril Islands: Japan / Russia",0.0375,0,0.839530149032771,2.52277976639755
"Mizuhopecten yessoensis","Russian Exclusive economic Zone",0.0602972399150743,0.0029723991507431,0.783687676539448,8.2923610758136
"Mizuhopecten yessoensis","South Korean Exclusive Economic Zone",0.824561403508772,0.233082706766917,3.32251003206775,8.2923610758136
"Mizuhopecten yessoensis","United States Exclusive Economic Zone (Alaska)",0.062749572162008,0,0.790871860595775,3.95683390568568
"Mizuhopecten yessoensis","United States Exclusive Economic Zone (Hawaii)",1,1,6.65564037754951,8.2923610758136
