"Species","EEZ","p2","p4","Average","Max"
"Mugil curema","Angolan Exclusive Economic Zone",0.184931506849315,0.116438356164384,1.32149775240061,8.2923610758136
"Mugil curema","Anguilla Exclusive Economic Zone",1,0,3.41723728877629,3.61707104989239
"Mugil curema","Antigua and Barbuda Exclusive Economic Zone",1,0,2.99658979138894,3.34895694567321
"Mugil curema","Aruban Exclusive Economic Zone",1,0.285714285714286,3.46572368309091,4.52625062533769
"Mugil curema","Ascension Exclusive Economic Zone",0,0,1.40566742258061,1.53016079310752
"Mugil curema","Bahamas Exclusive Economic Zone",0.943262411347518,0.796099290780142,4.83804446086835,8.2923610758136
"Mugil curema","Barbados Exclusive Economic Zone",1,0.0625,3.5292850450706,4.12441234657338
"Mugil curema","Belizean Exclusive Economic Zone",1,1,7.57151639932841,8.2923610758136
"Mugil curema","Beninese Exclusive Economic Zone",0,0,1.03564851107262,1.36932240474372
"Mugil curema","Bermudian Exclusive Economic Zone",0,0,0.201923781215185,0.282987789632033
"Mugil curema","Bonaire Exclusive Economic Zone",1,0.75,4.27483221737579,4.75791329303379
"Mugil curema","Brazilian Exclusive Economic Zone",0.426714801444043,0.329241877256318,2.40613726860273,8.2923610758136
"Mugil curema","British Virgin Islands Exclusive Economic Zone",1,0.526315789473684,3.94011218145902,4.33701246924568
"Mugil curema","Cameroonian Exclusive Economic Zone",0,0,1.13823296706854,1.75152766198261
"Mugil curema","Canadian Exclusive Economic Zone",0,0,0.391549739308559,1.56100209112289
"Mugil curema","Cape Verdean Exclusive Economic Zone",0,0,0.0124090582619575,0.13569390265685
"Mugil curema","Cayman Islands Exclusive Economic Zone",1,1,7.7738747690758,8.01401594877555
"Mugil curema","Chilean Exclusive Economic Zone",0,0,0.642764587631553,1.91592639390542
"Mugil curema","Colombian Exclusive Economic Zone",0.60536398467433,0.524904214559387,3.79018420346201,7.95603812548153
"Mugil curema","Colombian Exclusive Economic Zone (Bajo Nuevo)",1,1,6.71485114789494,6.71485114789494
"Mugil curema","Colombian Exclusive Economic Zone (Quitasueño)",1,1,6.36711772465203,6.40144261983424
"Mugil curema","Colombian Exclusive Economic Zone (Serrana)",1,1,6.41659605046665,6.44469005387066
"Mugil curema","Colombian Exclusive Economic Zone (Serranilla)",1,1,6.61428260876985,6.64562670682374
"Mugil curema","Congolese Exclusive Economic Zone",0.266666666666667,0.166666666666667,2.11510867028007,8.2923610758136
"Mugil curema","Costa Rican Exclusive Economic Zone",0.274111675126904,0.258883248730964,2.44581016876282,7.0509658580813
"Mugil curema","Cuban Exclusive Economic Zone",1,0.903914590747331,5.53954917120584,8.2923610758136
"Mugil curema","Curaçaoan Exclusive Economic Zone",1,0.4,3.68680493115279,4.68644536711231
"Mugil curema","Democratic Republic of the Congo Exclusive Economic Zone",0.782608695652174,0.608695652173913,5.22660839308236,8.2923610758136
"Mugil curema","Dominican Exclusive Economic Zone",1,0,3.00669771363323,3.45084023427181
"Mugil curema","Dominican Republic Exclusive Economic Zone",1,0.994252873563218,5.12416175617656,6.9595825232302
"Mugil curema","Ecuadorian Exclusive Economic Zone",0.024390243902439,0,0.114856601681611,2.41524858554722
"Mugil curema","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.281347867783763,1.12915438507282
"Mugil curema","El Salvador Exclusive Economic Zone",0.830985915492958,0.028169014084507,2.42503193189449,4.07406723208344
"Mugil curema","Equatorial Guinean Exclusive Economic Zone",0.0113636363636364,0,0.990621794205562,2.4781430284884
"Mugil curema","French Guiana Exclusive Economic Zone",0.326923076923077,0.0897435897435897,1.44335865557891,5.14574218788348
"Mugil curema","Gabonese Exclusive Economic Zone",0,0,0.594875196785965,1.88885503168062
"Mugil curema","Gambian Exclusive Economic Zone",0.125,0,0.981805857354556,2.27945115243601
"Mugil curema","Ghanaian Exclusive Economic Zone",0.0987654320987654,0,1.2441320772982,2.59669621230167
"Mugil curema","Grenadian Exclusive Economic Zone",0.769230769230769,0,2.72771118922491,3.8595037931743
"Mugil curema","Guadeloupean Exclusive Economic Zone",1,0,2.97868378695083,3.34895694567321
"Mugil curema","Guatemalan Exclusive Economic Zone",0.947826086956522,0.0521739130434783,2.88654740207902,8.2923610758136
"Mugil curema","Guinea Bissau Exclusive Economic Zone",0.333333333333333,0.170731707317073,2.03271090098292,6.81796447260065
"Mugil curema","Guinean Exclusive Economic Zone",0.389261744966443,0.0805369127516778,1.89047860470079,5.83894923075967
"Mugil curema","Guyanese Exclusive Economic Zone",0.788135593220339,0.076271186440678,2.68127278377489,5.51156892924411
"Mugil curema","Haitian Exclusive Economic Zone",1,1,6.23921429704084,7.25646113832047
"Mugil curema","Honduran Exclusive Economic Zone",1,0.99375,6.99593397200609,8.2923610758136
"Mugil curema","Ivory Coast Exclusive Economic Zone",0.294117647058824,0,1.52113193706339,3.00861287899932
"Mugil curema","Jamaican Exclusive Economic Zone",1,1,7.19711318971559,8.2923610758136
"Mugil curema","Joint regime area Colombia / Jamaica",1,1,6.6868109920972,6.82009814267222
"Mugil curema","Joint regime area Ecuador / Colombia",0,0,0.05438851670871,0.147152706023941
"Mugil curema","Joint regime area Nigeria / Sao Tome and Principe",0,0,1.59341717789604,1.65809768767138
"Mugil curema","Joint regime area Peru / Ecuador",0,0,0.0525697729335413,0.142932039591103
"Mugil curema","Joint regime area Senegal / Guinea Bissau",0,0,0.799667587354738,1.44086139891781
"Mugil curema","Liberian Exclusive Economic Zone",0.802816901408451,0,2.56087225377964,3.80915526525783
"Mugil curema","Martinican Exclusive Economic Zone",1,0,3.05191362650681,3.49768725527245
"Mugil curema","Mauritanian Exclusive Economic Zone",0.666666666666667,0.0833333333333333,2.67369236673213,8.2923610758136
"Mugil curema","Mexican Exclusive Economic Zone",0.652941176470588,0.290588235294118,3.05628731709315,8.2923610758136
"Mugil curema","Montserrat Exclusive Economic Zone",1,0,3.24471426081187,3.44916501647141
"Mugil curema","Moroccan Exclusive Economic Zone",0,0,0.117659573578364,0.55646877011371
"Mugil curema","Namibian Exclusive Economic Zone",0.428571428571429,0.428571428571429,3.40278516445793,8.02695701803389
"Mugil curema","Nicaraguan Exclusive Economic Zone",0.833333333333333,0.718181818181818,5.26035417714682,8.2923610758136
"Mugil curema","Nigerian Exclusive Economic Zone",0.0161290322580645,0,1.23301205176407,2.44215418160828
"Mugil curema","Overlapping claim Navassa Island: USA / Haiti / Jamaica",1,1,7.42233967319171,7.61473492641278
"Mugil curema","Overlapping claim Western Saharan Exclusive Economic Zone",0.0974025974025974,0.012987012987013,0.690021177896651,8.2923610758136
"Mugil curema","Overlapping claim: Puerto Rico / Dominican Republic",1,1,4.44264091076843,4.62793042771649
"Mugil curema","Panamanian Exclusive Economic Zone",0.48582995951417,0.477732793522267,3.42343219722065,7.95603812548153
"Mugil curema","Peruvian Exclusive Economic Zone",0.446808510638298,0.28936170212766,2.74573594570852,8.2923610758136
"Mugil curema","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.123510076836305,0.175493019903969
"Mugil curema","Puerto Rican Exclusive Economic Zone",1,0.972972972972973,4.42540565337835,5.03371729536618
"Mugil curema","Saba Exclusive Economic Zone",1,0,3.59790874042413,3.71817306600365
"Mugil curema","Saint Kitts and Nevis Exclusive Economic Zone",1,0,3.38896505658776,3.63832333987342
"Mugil curema","Saint Lucia Exclusive Economic Zone",1,0,3.60943184007441,3.87196618317107
"Mugil curema","Saint Vincent and the Grenadines Exclusive Economic Zone",1,0,3.60489582809259,3.87196618317107
"Mugil curema","Saint-Barthélemy Exclusive Economic Zone",1,0,3.24743363979357,3.43827824114548
"Mugil curema","Saint-Martin Exclusive Economic Zone",1,0,3.51133344690684,3.61155303371623
"Mugil curema","Sao Tome and Principe Exclusive Economic Zone",0,0,1.09103607604714,1.65809768767138
"Mugil curema","Senegalese Exclusive Economic Zone",0.342105263157895,0.140350877192982,1.93159052578029,6.81796447260065
"Mugil curema","Sierra Leonian Exclusive Economic Zone",0.551724137931034,0,2.05328695453199,3.52974738897441
"Mugil curema","Sint-Eustatius Exclusive Economic Zone",1,0,3.49862183377437,3.63832333987342
"Mugil curema","Sint-Maarten Exclusive Economic Zone",1,0,3.45048392632225,3.45048392632225
"Mugil curema","Spanish Exclusive Economic Zone",0,0,0.0636155933622668,0.105257143809523
"Mugil curema","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.182816324156185,1.05731313614636
"Mugil curema","Surinamese Exclusive Economic Zone",0.280821917808219,0.00684931506849315,1.2390479556046,4.27900990093415
"Mugil curema","Togolese Exclusive Economic Zone",0,0,1.16099284028357,1.51738455724517
"Mugil curema","Trinidad and Tobago Exclusive Economic Zone",0.852941176470588,0.0882352941176471,3.0463342189588,4.13548473728306
"Mugil curema","Turks and Caicos Exclusive Economic Zone",1,1,5.4716429383785,5.86617226616008
"Mugil curema","United States Exclusive Economic Zone",0.465976331360947,0.187869822485207,2.17656528430913,6.32827624437059
"Mugil curema","Uruguayan Exclusive Economic Zone",0,0,0.477163049631751,1.01942626159823
"Mugil curema","Venezuelan Exclusive Economic Zone",0.717479674796748,0.111788617886179,2.66340055755346,6.67486238114168
"Mugil curema","Virgin Islander Exclusive Economic Zone",1,0.56,3.97959843633656,4.33701246924568
