"x","y","sigmaNovelty","cell","EEZ"
-80.625,32.125,0.872465879923355,3673,"United States Exclusive Economic Zone"
-80.375,32.125,0.375655254251163,3673,"United States Exclusive Economic Zone"
-80.125,32.125,0.211193380374089,731,"United States Exclusive Economic Zone"
-79.875,32.125,0.284853579588654,731,"United States Exclusive Economic Zone"
-80.875,31.875,1.19618158257373,3673,"United States Exclusive Economic Zone"
-80.625,31.875,0.479233524377601,3673,"United States Exclusive Economic Zone"
-80.375,31.875,0.408560977037662,3673,"United States Exclusive Economic Zone"
-80.125,31.875,0.127729411177883,731,"United States Exclusive Economic Zone"
-79.875,31.875,0.421139567385602,731,"United States Exclusive Economic Zone"
-79.625,31.875,0.229779728705795,731,"United States Exclusive Economic Zone"
-81.125,31.625,1.5769399971547,3673,"United States Exclusive Economic Zone"
-80.875,31.625,0.831518337959444,3673,"United States Exclusive Economic Zone"
-80.625,31.625,0.385088068709324,3673,"United States Exclusive Economic Zone"
-80.375,31.625,0.152635347870084,3673,"United States Exclusive Economic Zone"
-80.125,31.625,0.310709874157457,3673,"United States Exclusive Economic Zone"
-79.875,31.625,0.261668563833896,731,"United States Exclusive Economic Zone"
-79.625,31.625,0.562376885624998,731,"United States Exclusive Economic Zone"
-79.375,31.625,1.12588209081603,731,"United States Exclusive Economic Zone"
-81.125,31.375,1.12563309153192,3673,"United States Exclusive Economic Zone"
-80.875,31.375,0.542372840137791,3673,"United States Exclusive Economic Zone"
-80.625,31.375,0.180396344388136,3673,"United States Exclusive Economic Zone"
-80.375,31.375,0.174558492996731,3673,"United States Exclusive Economic Zone"
-80.125,31.375,0.306675762392814,3673,"United States Exclusive Economic Zone"
-79.875,31.375,0.653426404899454,731,"United States Exclusive Economic Zone"
-79.625,31.375,0.690794068393764,731,"United States Exclusive Economic Zone"
-79.375,31.375,2.25434819785953,731,"United States Exclusive Economic Zone"
-81.375,31.125,1.42493867465792,3673,"United States Exclusive Economic Zone"
-81.125,31.125,0.776151897948972,3673,"United States Exclusive Economic Zone"
-80.875,31.125,0.46193793861236,3673,"United States Exclusive Economic Zone"
-80.625,31.125,0.103643047835521,3673,"United States Exclusive Economic Zone"
-80.375,31.125,0.417422241364457,3673,"United States Exclusive Economic Zone"
-80.125,31.125,0.169802362595464,3673,"United States Exclusive Economic Zone"
-79.875,31.125,0.560938532990635,731,"United States Exclusive Economic Zone"
-79.625,31.125,2.09998271465785,731,"United States Exclusive Economic Zone"
