"Species","EEZ","p2","p4","Average","Max"
"Muraenesox cinereus","Bahraini Exclusive Economic Zone",1,1,4.24422449277145,4.54383908627984
"Muraenesox cinereus","Bangladeshi Exclusive Economic Zone",0.0645161290322581,0.0161290322580645,0.619008757407702,5.19956074156573
"Muraenesox cinereus","Bruneian Exclusive Economic Zone",0,0,0.165055861485305,0.887102524610156
"Muraenesox cinereus","Cambodian Exclusive Economic Zone",0,0,0.295558501391385,0.670326049699029
"Muraenesox cinereus","Chinese Exclusive Economic Zone",0.0136054421768707,0.00529100529100529,0.257800048153655,8.2923610758136
"Muraenesox cinereus","Djiboutian Exclusive Economic Zone",1,0.909090909090909,4.98686037549538,5.94000823369504
"Muraenesox cinereus","Egyptian Exclusive Economic Zone",0.0714285714285714,0,0.803558142787204,2.17111046018549
"Muraenesox cinereus","Eritrean Exclusive Economic Zone",1,1,7.90064988131904,8.2923610758136
"Muraenesox cinereus","Indian Exclusive Economic Zone",0.0748858447488584,0,0.947289384111085,3.0431455681546
"Muraenesox cinereus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.00987654320987654,0,0.166319447195477,2.70663516202781
"Muraenesox cinereus","Indonesian Exclusive Economic Zone",0.0414910858995138,0.000648298217179903,0.532974992379898,4.48313085074412
"Muraenesox cinereus","Iranian Exclusive Economic Zone",0.893939393939394,0.717171717171717,4.94536854006443,8.2923610758136
"Muraenesox cinereus","Iraqi Exclusive Economic Zone",1,0.4,3.60773900756117,4.47301120355362
"Muraenesox cinereus","Japanese Exclusive Economic Zone",0.00819672131147541,0.000819672131147541,0.383897891247861,8.2923610758136
"Muraenesox cinereus","Joint regime area Japan / Korea",0,0,0.265337589877323,0.746503261943448
"Muraenesox cinereus","Kenyan Exclusive Economic Zone",0,0,0.00246992326292364,0.00694261572876846
"Muraenesox cinereus","Kuwaiti Exclusive Economic Zone",0.666666666666667,0.111111111111111,2.57066410897134,4.47301120355362
"Muraenesox cinereus","Malaysian Exclusive Economic Zone",0.0109803921568627,0,0.310863688129095,3.53209843917085
"Muraenesox cinereus","Maldives Exclusive Economic Zone",0,0,1.17609072612755,1.67223613010567
"Muraenesox cinereus","Myanmar Exclusive Economic Zone",0.0236220472440945,0,0.235156094851957,3.5789396495949
"Muraenesox cinereus","North Korean Exclusive Economic Zone",0.1,0.1,1.03476011988645,8.2923610758136
"Muraenesox cinereus","Omani Exclusive Economic Zone",0.46264367816092,0.370689655172414,2.77676460242864,8.2923610758136
"Muraenesox cinereus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.163451536517194,0.747728375659408
"Muraenesox cinereus","Overlapping claim South China Sea",0,0,0.125951054496869,1.2784093738489
"Muraenesox cinereus","Overlapping claim: Iran / United Arab Emirates",1,1,7.70218533251884,8.2923610758136
"Muraenesox cinereus","Overlapping claim: Kenya / Somalia",0,0,0.00413631614293987,0.0056148089799854
"Muraenesox cinereus","Overlapping claim: Sudan / Egypt",1,1,5.99079376738287,6.40764987881863
"Muraenesox cinereus","Pakistani Exclusive Economic Zone",0,0,0.680558214259516,1.84195497420442
"Muraenesox cinereus","Palau Exclusive Economic Zone",0,0,0.470960084315036,0.574902549030362
"Muraenesox cinereus","Papua New Guinean Exclusive Economic Zone",0,0,0.246091795239103,0.624523291247586
"Muraenesox cinereus","Philippines Exclusive Economic Zone",0.0114235500878735,0.00175746924428822,0.497676905483652,6.34503845060534
"Muraenesox cinereus","Qatari Exclusive Economic Zone",1,1,4.94846166006763,5.78463735263859
"Muraenesox cinereus","Saudi Arabian Exclusive Economic Zone",0.909677419354839,0.874193548387097,6.73163281830131,8.2923610758136
"Muraenesox cinereus","Seychellois Exclusive Economic Zone",0,0,0.455839618176695,0.48636736738278
"Muraenesox cinereus","Somali Exclusive Economic Zone",0.30982905982906,0.134615384615385,1.33043153350516,7.28243461181659
"Muraenesox cinereus","South Korean Exclusive Economic Zone",0.00569259962049336,0.00189753320683112,0.499159193633202,8.2923610758136
"Muraenesox cinereus","Sri Lankan Exclusive Economic Zone",0.111650485436893,0,0.674200319207354,3.0431455681546
"Muraenesox cinereus","Sudanese Exclusive Economic Zone",1,1,7.30936877429632,8.2923610758136
"Muraenesox cinereus","Taiwanese Exclusive Economic Zone",0.00590551181102362,0,0.156432473556567,3.95394902822628
"Muraenesox cinereus","Thailand Exclusive Economic Zone",0.00634920634920635,0,0.223982269952313,2.4110352550862
"Muraenesox cinereus","United Arab Emirates Exclusive Economic Zone",1,1,6.69345647186131,8.2923610758136
"Muraenesox cinereus","Vietnamese Exclusive Economic Zone",0.00991325898389095,0.00371747211895911,0.181293462764453,4.91325781031888
"Muraenesox cinereus","Yemeni Exclusive Economic Zone",0.470347648261759,0.300613496932515,2.66203015465925,8.2923610758136
