"Species","EEZ","p2","p4","Average","Max"
"Mycteroperca bonaci","Anguilla Exclusive Economic Zone",1,0,3.41168617602381,3.78921189657197
"Mycteroperca bonaci","Antigua and Barbuda Exclusive Economic Zone",1,0,3.01997819131824,3.59844942331749
"Mycteroperca bonaci","Aruban Exclusive Economic Zone",1,0.684210526315789,4.21878412678251,5.19570692862251
"Mycteroperca bonaci","Bahamas Exclusive Economic Zone",0.953626634958383,0.826397146254459,5.03726698717036,8.2923610758136
"Mycteroperca bonaci","Barbados Exclusive Economic Zone",1,0.275229357798165,3.71307326558375,4.46773652514073
"Mycteroperca bonaci","Belizean Exclusive Economic Zone",1,1,7.82022949594112,8.2923610758136
"Mycteroperca bonaci","Bermudian Exclusive Economic Zone",0,0,0.233672850255629,0.357968571672894
"Mycteroperca bonaci","Bonaire Exclusive Economic Zone",1,0.888888888888889,4.60555351704292,5.00785892241762
"Mycteroperca bonaci","Brazilian Exclusive Economic Zone",0.527220630372493,0.436485195797517,2.99624082554707,8.20953615160139
"Mycteroperca bonaci","Brazilian Exclusive Economic Zone (Trindade)",0,0,0.0534548250122137,0.0900957255932889
"Mycteroperca bonaci","British Virgin Islands Exclusive Economic Zone",1,0.529411764705882,4.02987540171276,4.5105888479499
"Mycteroperca bonaci","Cayman Islands Exclusive Economic Zone",1,1,7.84877082571057,8.2923610758136
"Mycteroperca bonaci","Colombian Exclusive Economic Zone",0.978494623655914,0.847311827956989,6.04209740101713,8.2923610758136
"Mycteroperca bonaci","Colombian Exclusive Economic Zone (Quitasueño)",1,1,6.78601062536425,6.80912241867296
"Mycteroperca bonaci","Costa Rican Exclusive Economic Zone",1,0.975903614457831,6.29593666813769,7.0786116882961
"Mycteroperca bonaci","Cuban Exclusive Economic Zone",1,0.951724137931034,6.20384163228328,8.2923610758136
"Mycteroperca bonaci","Curaçaoan Exclusive Economic Zone",1,0.730769230769231,4.33857139216511,5.18710508096703
"Mycteroperca bonaci","Dominican Exclusive Economic Zone",1,0,3.24940000664345,3.93648814226651
"Mycteroperca bonaci","Dominican Republic Exclusive Economic Zone",1,1,5.31350488115607,7.40093868511534
"Mycteroperca bonaci","Grenadian Exclusive Economic Zone",0.852941176470588,0.0441176470588235,3.09969783824756,4.03103086933117
"Mycteroperca bonaci","Guadeloupean Exclusive Economic Zone",1,0,3.09204747012711,3.89480571236923
"Mycteroperca bonaci","Guatemalan Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Mycteroperca bonaci","Guyanese Exclusive Economic Zone",0.79,0.1,2.7530814832203,5.49672745568279
"Mycteroperca bonaci","Haitian Exclusive Economic Zone",1,1,6.62906641312381,7.76768101511643
"Mycteroperca bonaci","Honduran Exclusive Economic Zone",1,1,7.54676255448389,8.2923610758136
"Mycteroperca bonaci","Jamaican Exclusive Economic Zone",1,1,7.8343403580221,8.2923610758136
"Mycteroperca bonaci","Joint regime area Honduras / Cayman Islands",1,1,7.6802903855748,7.68297811816103
"Mycteroperca bonaci","Martinican Exclusive Economic Zone",1,0.0280373831775701,3.32436362561706,4.09322071093553
"Mycteroperca bonaci","Mexican Exclusive Economic Zone",0.96105702364395,0.700973574408901,5.30444714228743,8.2923610758136
"Mycteroperca bonaci","Montserrat Exclusive Economic Zone",1,0,3.52527183428925,3.7909875826868
"Mycteroperca bonaci","Nicaraguan Exclusive Economic Zone",1,0.992857142857143,6.92993766265451,8.2923610758136
"Mycteroperca bonaci","Overlapping claim Navassa Island: USA / Haiti / Jamaica",1,1,7.59125730166745,8.02695701803389
"Mycteroperca bonaci","Overlapping claim: Puerto Rico / Dominican Republic",1,1,4.70296219942057,4.87065159862991
"Mycteroperca bonaci","Panamanian Exclusive Economic Zone",1,0.989690721649485,6.61274594556717,8.20953615160139
"Mycteroperca bonaci","Puerto Rican Exclusive Economic Zone",1,1,4.63757266552779,5.22914864272655
"Mycteroperca bonaci","Saba Exclusive Economic Zone",1,0,3.77827731513983,3.9392289248999
"Mycteroperca bonaci","Saint Kitts and Nevis Exclusive Economic Zone",1,0,3.60123319242854,3.84825598858199
"Mycteroperca bonaci","Saint Lucia Exclusive Economic Zone",1,0.305555555555556,3.84768428221956,4.12257980420005
"Mycteroperca bonaci","Saint Vincent and the Grenadines Exclusive Economic Zone",1,0.205479452054795,3.83975586873121,4.12257980420005
"Mycteroperca bonaci","Saint-Barthélemy Exclusive Economic Zone",1,0,3.41977731697436,3.61113527233911
"Mycteroperca bonaci","Saint-Martin Exclusive Economic Zone",1,0,3.68353192580837,3.78361947316777
"Mycteroperca bonaci","Sint-Eustatius Exclusive Economic Zone",1,0,3.67052516180767,3.81002393381206
"Mycteroperca bonaci","Sint-Maarten Exclusive Economic Zone",1,0,3.62261838381891,3.62261838381891
"Mycteroperca bonaci","Surinamese Exclusive Economic Zone",0.461538461538462,0.0256410256410256,1.93526947905165,4.45148429442796
"Mycteroperca bonaci","Trinidad and Tobago Exclusive Economic Zone",0.923076923076923,0.340659340659341,3.43748565095067,4.46773652514073
"Mycteroperca bonaci","Turks and Caicos Exclusive Economic Zone",1,1,5.47982268936178,6.32291576456874
"Mycteroperca bonaci","United States Exclusive Economic Zone",0.633295838020247,0.338582677165354,2.93713825080865,6.50164660070342
"Mycteroperca bonaci","Venezuelan Exclusive Economic Zone",0.827225130890052,0.226439790575916,3.1691444865868,7.01261659656073
"Mycteroperca bonaci","Virgin Islander Exclusive Economic Zone",1,0.773809523809524,4.16127321683374,4.52924897861194
