"x","y","sigmaNovelty","cell","EEZ"
141.125,46.375,0.914235940881144,3362,"Russian Exclusive economic Zone"
141.375,46.375,1.72867029825982,3362,"Russian Exclusive economic Zone"
140.875,46.125,1.16554073828408,3362,"Russian Exclusive economic Zone"
141.125,46.125,0.989907771194055,3362,"Russian Exclusive economic Zone"
141.375,46.125,1.8892708408841,3362,"Russian Exclusive economic Zone"
141.625,46.125,1.13252675231783,3362,"Russian Exclusive economic Zone"
140.875,45.875,0.560407244420747,3362,"Japanese Exclusive Economic Zone"
141.125,45.875,1.28514354297821,3362,"Japanese Exclusive Economic Zone"
141.375,45.875,1.74309157306714,3362,"Japanese Exclusive Economic Zone"
141.625,45.875,1.8322451920636,3362,"Russian Exclusive economic Zone"
141.125,45.625,1.21696526135787,3362,"Japanese Exclusive Economic Zone"
141.375,45.625,1.75507500130015,3362,"Japanese Exclusive Economic Zone"
136.375,44.625,1.80209264935903,3306,"Russian Exclusive economic Zone"
136.625,44.625,1.44577975539644,3306,"Russian Exclusive economic Zone"
141.375,44.625,0.484906400938689,3361,"Japanese Exclusive Economic Zone"
141.625,44.625,0.423245137509911,3361,"Japanese Exclusive Economic Zone"
135.875,44.375,1.54193979322525,3306,"Russian Exclusive economic Zone"
136.125,44.375,1.83424397524951,3306,"Russian Exclusive economic Zone"
136.375,44.375,2.02469651026831,3306,"Russian Exclusive economic Zone"
136.625,44.375,1.0352313648338,3306,"Russian Exclusive economic Zone"
141.125,44.375,0.545741272034334,3361,"Japanese Exclusive Economic Zone"
141.375,44.375,0.478767156281313,3361,"Japanese Exclusive Economic Zone"
141.625,44.375,0.599048850774934,3361,"Japanese Exclusive Economic Zone"
135.875,44.125,2.53205600670996,3306,"Russian Exclusive economic Zone"
136.125,44.125,2.30854439419421,3306,"Russian Exclusive economic Zone"
136.375,44.125,1.46496133584286,3306,"Russian Exclusive economic Zone"
140.875,44.125,0.480227266073781,3361,"Japanese Exclusive Economic Zone"
141.125,44.125,0.690301277281946,3361,"Japanese Exclusive Economic Zone"
141.375,44.125,0.879525632802803,3361,"Japanese Exclusive Economic Zone"
141.625,44.125,1.00677494282477,3361,"Japanese Exclusive Economic Zone"
135.875,43.875,1.68701448427709,3306,"Russian Exclusive economic Zone"
136.125,43.875,1.40240405413494,3306,"Russian Exclusive economic Zone"
140.875,43.875,0.563954958931626,3361,"Japanese Exclusive Economic Zone"
141.125,43.875,0.597551347967167,3361,"Japanese Exclusive Economic Zone"
141.375,43.875,0.794582843197591,3361,"Japanese Exclusive Economic Zone"
141.125,43.625,0.609651533098146,3361,"Japanese Exclusive Economic Zone"
141.375,43.375,0.714679507403713,3361,"Japanese Exclusive Economic Zone"
139.875,43.125,0.549380570121224,3333,"Japanese Exclusive Economic Zone"
140.125,43.125,0.562279942400838,3361,"Japanese Exclusive Economic Zone"
140.375,43.125,0.882197493979676,3361,"Japanese Exclusive Economic Zone"
139.625,42.875,0.542958852174958,3333,"Japanese Exclusive Economic Zone"
139.875,42.875,0.482758596429277,3333,"Japanese Exclusive Economic Zone"
140.125,42.875,0.58621555859934,3333,"Japanese Exclusive Economic Zone"
139.375,42.625,0.634890570372754,3333,"Japanese Exclusive Economic Zone"
139.625,42.625,0.670436837239223,3333,"Japanese Exclusive Economic Zone"
141.625,42.625,0.00872089104230609,3361,"Japanese Exclusive Economic Zone"
143.625,42.625,0.204079173654853,3388,"Japanese Exclusive Economic Zone"
