"Species","EEZ","p2","p4","Average","Max"
"Naso vlamingii","American Samoa Exclusive Economic Zone",1,0.985422740524781,6.51138293153738,7.62547420983562
"Naso vlamingii","Australian Exclusive Economic Zone",0.703581101414385,0.518808305747818,3.65291989695688,8.2923610758136
"Naso vlamingii","Bassas da India Exclusive Economic Zone",0.0166666666666667,0,1.23445526627613,2.05123003587136
"Naso vlamingii","Bruneian Exclusive Economic Zone",1,1,4.96436249700504,6.83925056057267
"Naso vlamingii","Cambodian Exclusive Economic Zone",1,0.473282442748092,3.86204445189257,5.24560467193528
"Naso vlamingii","Chagos Archipelago Exclusive Economic Zone",1,1,5.98865220217458,6.70815858476465
"Naso vlamingii","Chinese Exclusive Economic Zone",0.508565310492505,0.202355460385439,2.35819400102164,6.25414150140722
"Naso vlamingii","Christmas Island Exclusive Economic Zone",1,0,2.6730907297825,2.81257273330642
"Naso vlamingii","Clipperton Exclusive Economic Zone",1,0,2.12541073126692,2.17931407851284
"Naso vlamingii","Cocos Islands Exclusive Economic Zone",1,0,2.52816764982616,2.92382726557455
"Naso vlamingii","Comoran Exclusive Economic Zone",1,0,3.30736010002199,3.87576844420089
"Naso vlamingii","Cook Islands Exclusive Economic Zone",0.575039494470774,0.497630331753554,3.50250653929164,7.34139024303719
"Naso vlamingii","East Timorian Exclusive Economic Zone",1,1,5.65286477006874,6.22099065302494
"Naso vlamingii","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.1052711627304,0.63669952197287
"Naso vlamingii","El Salvador Exclusive Economic Zone",0.307692307692308,0,1.82743491727382,2.63480445043934
"Naso vlamingii","Fijian Exclusive Economic Zone",0.550946142649199,0.311083385319193,2.76599996542351,8.2923610758136
"Naso vlamingii","French Polynesian Exclusive Economic Zone",0.348542458808619,0.0730882974228982,1.53473366697897,6.24812321311657
"Naso vlamingii","Guam Exclusive Economic Zone",1,1,5.9510639186588,6.04998178611522
"Naso vlamingii","Guatemalan Exclusive Economic Zone",0.64,0,2.21796863492178,3.1754281020066
"Naso vlamingii","Howland and Baker Islands Exclusive Economic Zone",1,1,6.46541939332463,7.1198470395608
"Naso vlamingii","Ile Europa Exclusive Economic Zone",0.0151515151515152,0,1.18489089123349,2.05123003587136
"Naso vlamingii","Indian Exclusive Economic Zone",1,0.987951807228916,7.36124795518796,8.2923610758136
