"x","y","sigmaNovelty","cell","EEZ"
-149.875,61.375,1.02914795326618,115,"United States Exclusive Economic Zone (Alaska)"
-150.875,61.125,0.764192869115221,114,"United States Exclusive Economic Zone (Alaska)"
-150.625,61.125,0.827804055635079,114,"United States Exclusive Economic Zone (Alaska)"
-150.375,61.125,0.670262233939625,114,"United States Exclusive Economic Zone (Alaska)"
-150.125,61.125,0.621349344308854,114,"United States Exclusive Economic Zone (Alaska)"
-147.875,61.125,0.121998624466363,142,"United States Exclusive Economic Zone (Alaska)"
172.625,61.125,0.317677067462871,3562,"Russian Exclusive economic Zone"
-151.625,60.875,0.0579926545102967,114,"United States Exclusive Economic Zone (Alaska)"
-151.375,60.875,0.131658490050915,114,"United States Exclusive Economic Zone (Alaska)"
-151.125,60.875,0.0815571557087974,114,"United States Exclusive Economic Zone (Alaska)"
-150.875,60.875,0.406132831877418,114,"United States Exclusive Economic Zone (Alaska)"
-148.125,60.875,0.442865470909247,142,"United States Exclusive Economic Zone (Alaska)"
-147.375,60.875,0.153338934127956,142,"United States Exclusive Economic Zone (Alaska)"
172.125,60.875,0.273805081330434,3562,"Russian Exclusive economic Zone"
172.375,60.875,0.314043009219269,3562,"Russian Exclusive economic Zone"
172.625,60.875,0.257188011152484,3562,"Russian Exclusive economic Zone"
172.875,60.875,0.354109197713194,3562,"Russian Exclusive economic Zone"
-151.875,60.625,0.0192700496567215,114,"United States Exclusive Economic Zone (Alaska)"
-151.625,60.625,0.0297373588814137,114,"United States Exclusive Economic Zone (Alaska)"
-151.375,60.625,0.0705414738293018,114,"United States Exclusive Economic Zone (Alaska)"
-148.125,60.625,0.6729146574979,142,"United States Exclusive Economic Zone (Alaska)"
-147.875,60.625,1.18378051080175,142,"United States Exclusive Economic Zone (Alaska)"
-147.625,60.625,0.214588178351973,142,"United States Exclusive Economic Zone (Alaska)"
-147.375,60.625,0.637566009980114,142,"United States Exclusive Economic Zone (Alaska)"
-147.125,60.625,0.319071870409848,142,"United States Exclusive Economic Zone (Alaska)"
-146.875,60.625,0.192333111929663,142,"United States Exclusive Economic Zone (Alaska)"
-146.625,60.625,0.193111877331102,142,"United States Exclusive Economic Zone (Alaska)"
-146.375,60.625,0.253217021016252,142,"United States Exclusive Economic Zone (Alaska)"
-146.125,60.625,0.223899523335834,142,"United States Exclusive Economic Zone (Alaska)"
-145.875,60.625,0.237685041612362,142,"United States Exclusive Economic Zone (Alaska)"
172.125,60.625,0.192017278285012,3562,"Russian Exclusive economic Zone"
172.375,60.625,0.0275815467727853,3562,"Russian Exclusive economic Zone"
172.625,60.625,0.247022303545081,3562,"Russian Exclusive economic Zone"
172.875,60.625,0.0375108998766237,3562,"Russian Exclusive economic Zone"
-172.875,60.375,0.358024632257359,3646,"United States Exclusive Economic Zone (Alaska)"
-152.125,60.375,0.149234286143912,114,"United States Exclusive Economic Zone (Alaska)"
-151.875,60.375,0.0237534579938454,114,"United States Exclusive Economic Zone (Alaska)"
-151.625,60.375,0.0404260932123064,114,"United States Exclusive Economic Zone (Alaska)"
-151.375,60.375,0.0213907226333838,114,"United States Exclusive Economic Zone (Alaska)"
-148.125,60.375,0.481463747541143,142,"United States Exclusive Economic Zone (Alaska)"
-147.875,60.375,0.0755021645503602,142,"United States Exclusive Economic Zone (Alaska)"
-147.375,60.375,0.206082829406654,142,"United States Exclusive Economic Zone (Alaska)"
-146.875,60.375,0.273862141674546,142,"United States Exclusive Economic Zone (Alaska)"
-145.625,60.375,0.0154362306040878,142,"United States Exclusive Economic Zone (Alaska)"
167.875,60.375,0.39746165418648,3534,"Russian Exclusive economic Zone"
168.125,60.375,0.660588331660291,3534,"Russian Exclusive economic Zone"
168.375,60.375,0.820602320372029,3534,"Russian Exclusive economic Zone"
168.625,60.375,0.140335102022152,3534,"Russian Exclusive economic Zone"
168.875,60.375,0.205138540056719,3534,"Russian Exclusive economic Zone"
169.125,60.375,0.25242239050353,3534,"Russian Exclusive economic Zone"
169.375,60.375,0.369026817179697,3534,"Russian Exclusive economic Zone"
169.625,60.375,0.337925790519628,3534,"Russian Exclusive economic Zone"
170.875,60.375,0.209170562215012,3534,"Russian Exclusive economic Zone"
172.375,60.375,0.0520096488690026,3562,"Russian Exclusive economic Zone"
172.625,60.375,0.393379656002529,3562,"Russian Exclusive economic Zone"
-172.875,60.125,0.335620675968092,3646,"United States Exclusive Economic Zone (Alaska)"
-172.625,60.125,0.326583237469575,3646,"United States Exclusive Economic Zone (Alaska)"
-152.625,60.125,0.0223663151193327,114,"United States Exclusive Economic Zone (Alaska)"
-152.375,60.125,0.18857894246674,114,"United States Exclusive Economic Zone (Alaska)"
-152.125,60.125,0.0313342642236814,114,"United States Exclusive Economic Zone (Alaska)"
-151.875,60.125,0.346941238769238,114,"United States Exclusive Economic Zone (Alaska)"
-151.625,60.125,0.0142702485510862,114,"United States Exclusive Economic Zone (Alaska)"
-147.875,60.125,0.607641920589364,142,"United States Exclusive Economic Zone (Alaska)"
-147.625,60.125,0.155265657429383,142,"United States Exclusive Economic Zone (Alaska)"
-147.125,60.125,0.190586243418193,142,"United States Exclusive Economic Zone (Alaska)"
-146.875,60.125,0.361438736240865,142,"United States Exclusive Economic Zone (Alaska)"
-146.625,60.125,0.190837582522499,142,"United States Exclusive Economic Zone (Alaska)"
-146.375,60.125,0.125077732664005,142,"United States Exclusive Economic Zone (Alaska)"
-146.125,60.125,0.107268717268578,142,"United States Exclusive Economic Zone (Alaska)"
-145.875,60.125,0.0493520421661807,142,"United States Exclusive Economic Zone (Alaska)"
-145.625,60.125,0.0215656413720301,142,"United States Exclusive Economic Zone (Alaska)"
-145.375,60.125,0.016537993472138,142,"United States Exclusive Economic Zone (Alaska)"
-145.125,60.125,0.0248632833241808,142,"United States Exclusive Economic Zone (Alaska)"
-144.875,60.125,0.396682801352667,142,"United States Exclusive Economic Zone (Alaska)"
-144.625,60.125,0.463595435770944,142,"United States Exclusive Economic Zone (Alaska)"
-141.375,60.125,0.00544060402908362,170,"United States Exclusive Economic Zone (Alaska)"
165.375,60.125,0.29668378038856,3506,"Russian Exclusive economic Zone"
165.625,60.125,0.574428798109045,3506,"Russian Exclusive economic Zone"
169.125,60.125,0.496336341612199,3534,"Russian Exclusive economic Zone"
169.375,60.125,0.733520913254485,3534,"Russian Exclusive economic Zone"
169.625,60.125,0.451185445907217,3534,"Russian Exclusive economic Zone"
169.875,60.125,0.713672082974169,3534,"Russian Exclusive economic Zone"
170.625,60.125,0.667384293520503,3534,"Russian Exclusive economic Zone"
170.875,60.125,0.131465848222476,3534,"Russian Exclusive economic Zone"
171.125,60.125,0.223487483638815,3534,"Russian Exclusive economic Zone"
-152.875,59.875,0.0448704096546997,114,"United States Exclusive Economic Zone (Alaska)"
-152.625,59.875,0.591862800840172,114,"United States Exclusive Economic Zone (Alaska)"
-152.375,59.875,0.884588606932801,114,"United States Exclusive Economic Zone (Alaska)"
-152.125,59.875,1.31091620223415,114,"United States Exclusive Economic Zone (Alaska)"
-151.875,59.875,0.074291607575888,114,"United States Exclusive Economic Zone (Alaska)"
-149.625,59.875,0.153820827858789,114,"United States Exclusive Economic Zone (Alaska)"
-149.375,59.875,0.159750378984391,114,"United States Exclusive Economic Zone (Alaska)"
-149.125,59.875,0.197638653576063,114,"United States Exclusive Economic Zone (Alaska)"
-148.875,59.875,0.125920005681686,142,"United States Exclusive Economic Zone (Alaska)"
-148.625,59.875,0.136178446874108,142,"United States Exclusive Economic Zone (Alaska)"
-148.375,59.875,0.179977816311406,142,"United States Exclusive Economic Zone (Alaska)"
-148.125,59.875,0.219515059634116,142,"United States Exclusive Economic Zone (Alaska)"
-147.875,59.875,0.250868716907712,142,"United States Exclusive Economic Zone (Alaska)"
-147.375,59.875,0.520093945852766,142,"United States Exclusive Economic Zone (Alaska)"
-147.125,59.875,0.870312901536127,142,"United States Exclusive Economic Zone (Alaska)"
-146.875,59.875,1.01642638990962,142,"United States Exclusive Economic Zone (Alaska)"
-146.625,59.875,0.97254915660372,142,"United States Exclusive Economic Zone (Alaska)"
-146.375,59.875,0.929780977667314,142,"United States Exclusive Economic Zone (Alaska)"
-146.125,59.875,0.279794024200035,142,"United States Exclusive Economic Zone (Alaska)"
-145.875,59.875,0.107532104865408,142,"United States Exclusive Economic Zone (Alaska)"
-145.625,59.875,0.0470742328103238,142,"United States Exclusive Economic Zone (Alaska)"
-145.375,59.875,0.0557307732581119,142,"United States Exclusive Economic Zone (Alaska)"
-145.125,59.875,0.0564525802692618,142,"United States Exclusive Economic Zone (Alaska)"
-144.875,59.875,0.125807859878892,142,"United States Exclusive Economic Zone (Alaska)"
-144.625,59.875,0.101156976218886,142,"United States Exclusive Economic Zone (Alaska)"
-144.375,59.875,0.0445363244582963,142,"United States Exclusive Economic Zone (Alaska)"
-144.125,59.875,0.158422515576948,170,"United States Exclusive Economic Zone (Alaska)"
-143.875,59.875,0.0135110111448668,170,"United States Exclusive Economic Zone (Alaska)"
-143.625,59.875,0.0249226860040194,170,"United States Exclusive Economic Zone (Alaska)"
-143.375,59.875,0.069719861330861,170,"United States Exclusive Economic Zone (Alaska)"
