"Species","EEZ","p2","p4","Average","Max"
"Oplegnathus fasciatus","Chinese Exclusive Economic Zone",0.591346153846154,0.360576923076923,3.64789191320273,8.2923610758136
"Oplegnathus fasciatus","Ecuadorian Exclusive Economic Zone (Galapagos)",0.733333333333333,0.266666666666667,2.93580532930783,4.65317106594158
"Oplegnathus fasciatus","Japanese Exclusive Economic Zone",0.24258064516129,0.0619354838709677,1.30104363298588,8.2923610758136
"Oplegnathus fasciatus","Joint regime area Japan / Korea",0.346153846153846,0.0769230769230769,1.69877722092026,5.19482516756626
"Oplegnathus fasciatus","Mexican Exclusive Economic Zone",0.37546468401487,0.219330855018587,2.16082681279731,7.75753293247904
"Oplegnathus fasciatus","North Korean Exclusive Economic Zone",0,0,0.192282864515057,0.595260914868091
"Oplegnathus fasciatus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",1,1,8.2923610758136,8.2923610758136
"Oplegnathus fasciatus","Philippines Exclusive Economic Zone",1,1,8.25094861370749,8.2923610758136
"Oplegnathus fasciatus","South Korean Exclusive Economic Zone",0.0612903225806452,0,0.730565252267762,3.30705873628978
"Oplegnathus fasciatus","Taiwanese Exclusive Economic Zone",0.598901098901099,0.39010989010989,3.73213757419128,8.2923610758136
"Oplegnathus fasciatus","United States Exclusive Economic Zone",0.3125,0.171875,1.89444997813344,7.75753293247904
"Oplegnathus fasciatus","United States Exclusive Economic Zone (Hawaii)",0.875,0.413461538461538,3.37135273281383,6.05618535878664
"Oplegnathus fasciatus","Vietnamese Exclusive Economic Zone",0.4,0,2.09800409141283,3.29777145811739
