"Species","EEZ","p2","p4","Average","Max"
"Ostrea edulis","Albanian Exclusive Economic Zone",1,1,7.31254772475774,8.2923610758136
"Ostrea edulis","Algerian Exclusive Economic Zone",0.219047619047619,0.0571428571428571,1.67988490069723,4.62170873679626
"Ostrea edulis","Belgian Exclusive Economic Zone",0.142857142857143,0,1.23107700898676,2.1272560044544
"Ostrea edulis","Croatian Exclusive Economic Zone",1,0.483333333333333,5.23871883861715,8.2923610758136
"Ostrea edulis","Cypriote Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Ostrea edulis","Danish Exclusive Economic Zone",0.348717948717949,0.0358974358974359,1.63769290720337,4.97625628053779
"Ostrea edulis","Dutch Exclusive Economic Zone",0.357142857142857,0,1.52553942261167,3.66150092279293
"Ostrea edulis","Faeroe Exclusive Economic Zone",0,0,0.12886716469987,0.439017165232173
"Ostrea edulis","French Exclusive Economic Zone",0.0208092485549133,0.0023121387283237,0.303436473711621,4.23119775783557
"Ostrea edulis","German Exclusive Economic Zone",0.19047619047619,0,1.08915518135932,2.5737322373534
"Ostrea edulis","Greek Exclusive Economic Zone",0.858407079646018,0.699115044247788,5.99295465513178,8.2923610758136
"Ostrea edulis","Guernsey Exclusive Economic Zone",0,0,0.0622766435899288,0.348513503000196
"Ostrea edulis","Icelandic Exclusive Economic Zone",0,0,0.258269958083266,0.439017165232173
"Ostrea edulis","Irish Exclusive Economic Zone",0,0,0.148131424687955,1.51520143784387
"Ostrea edulis","Italian Exclusive Economic Zone",0.769736842105263,0.440789473684211,4.45180124062543,8.2923610758136
"Ostrea edulis","Jersey Exclusive Economic Zone",0,0,0.787604073111424,1.39410207903248
"Ostrea edulis","Joint regime area Croatia / Slovenia",1,1,4.21854328413104,4.21854328413104
"Ostrea edulis","Joint regime area Sweden / Norway",1,0,3.12678249782073,3.12688302943579
"Ostrea edulis","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.198476759434906,0.335623537069705
"Ostrea edulis","Libyan Exclusive Economic Zone",1,1,8.27165484476054,8.2923610758136
"Ostrea edulis","Monégasque Exclusive Economic Zone",0,0,1.74279137761911,1.78831428328716
"Ostrea edulis","Montenegrin Exclusive economic Zone",1,1,7.59344733475517,8.2923610758136
"Ostrea edulis","Moroccan Exclusive Economic Zone",0,0,0.61266342029564,1.54246759712851
"Ostrea edulis","Norwegian Exclusive Economic Zone",0.136476426799007,0.00992555831265509,0.773482665916852,4.97625628053779
"Ostrea edulis","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,1.47342552419259,1.47342552419259
"Ostrea edulis","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.169744347982507,0.191178529799719
"Ostrea edulis","Overlapping claim Melilla: Spain / Morocco",0,0,1.1487576026626,1.1487576026626
"Ostrea edulis","Portuguese Exclusive Economic Zone",0,0,0.287290335057781,1.58341079927549
"Ostrea edulis","Slovenian Exclusive Economic Zone",1,1,4.10085880553396,4.10085880553396
"Ostrea edulis","Spanish Exclusive Economic Zone",0.0621572212065814,0.0036563071297989,0.52542341020454,4.23119775783557
"Ostrea edulis","Swedish Exclusive Economic Zone",1,0.150943396226415,3.27378525901138,4.97625628053779
"Ostrea edulis","Tunisian Exclusive Economic Zone",1,1,5.24028378367734,5.50120721073987
"Ostrea edulis","Turkish Exclusive Economic Zone",0.478260869565217,0.347826086956522,3.62364910693991,8.2923610758136
"Ostrea edulis","United Kingdom Exclusive Economic Zone",0.00298210735586481,0,0.19938400408871,3.2631971140842
