"Species","EEZ","p2","p4","Average","Max"
"Pagellus erythrinus","Albanian Exclusive Economic Zone",0.0930232558139535,0,1.33440510259886,2.47260268669431
"Pagellus erythrinus","Algerian Exclusive Economic Zone",0,0,0.340857934614993,1.26007044456946
"Pagellus erythrinus","Belgian Exclusive Economic Zone",0.0714285714285714,0,0.622428417757225,2.12494281190925
"Pagellus erythrinus","Bulgarian Exclusive Economic Zone",1,0.647058823529412,4.09725147255187,5.44806716368211
"Pagellus erythrinus","Cape Verdean Exclusive Economic Zone",0.0403225806451613,0,0.751254146605831,2.503177815258
"Pagellus erythrinus","Croatian Exclusive Economic Zone",0.0402684563758389,0,1.13745416691252,3.64376520465833
"Pagellus erythrinus","Cypriote Exclusive Economic Zone",0.613861386138614,0,2.11143116264938,2.86297486788233
"Pagellus erythrinus","Danish Exclusive Economic Zone",0.280701754385965,0.0025062656641604,1.46545354635421,4.22345841836743
"Pagellus erythrinus","Dutch Exclusive Economic Zone",0.11587982832618,0,0.989952906590222,3.45035874540992
"Pagellus erythrinus","Egyptian Exclusive Economic Zone",0.142222222222222,0,1.57472138172041,3.07520762663188
"Pagellus erythrinus","French Exclusive Economic Zone",0.00357462019660411,0,0.202087870461725,3.43663325528218
"Pagellus erythrinus","Gambian Exclusive Economic Zone",1,0.153846153846154,3.26956253214167,4.24043419646331
"Pagellus erythrinus","German Exclusive Economic Zone",0.226337448559671,0.00411522633744856,1.32135462245047,4.22345841836743
"Pagellus erythrinus","Greek Exclusive Economic Zone",0.0559610705596107,0,1.20895086725395,2.76816147176621
"Pagellus erythrinus","Guernsey Exclusive Economic Zone",0,0,0.0619459234840304,0.350096815823875
"Pagellus erythrinus","Guinea Bissau Exclusive Economic Zone",1,1,6.5995528777324,8.2923610758136
"Pagellus erythrinus","Irish Exclusive Economic Zone",0,0,0.0872119910793138,0.91447571797657
"Pagellus erythrinus","Israeli Exclusive Economic Zone",0.384615384615385,0,2.07082201251335,3.07520762663188
"Pagellus erythrinus","Italian Exclusive Economic Zone",0.056,0.0109090909090909,1.07455903964822,8.2923610758136
"Pagellus erythrinus","Jersey Exclusive Economic Zone",0,0,0.787704133878201,1.39366028848096
"Pagellus erythrinus","Joint regime area Croatia / Slovenia",0,0,1.56360512337822,1.56360512337822
"Pagellus erythrinus","Joint regime area Italy / France",0,0,0.394062082006484,0.394062082006484
"Pagellus erythrinus","Joint regime area Senegal / Guinea Bissau",1,1,5.12947453068047,6.40737994037167
"Pagellus erythrinus","Joint regime area Spain / France",0,0,0.00243420200456706,0.00332200745821221
"Pagellus erythrinus","Joint regime area Sweden / Norway",1,0,2.59458303214106,2.65338128052304
"Pagellus erythrinus","Lebanese Exclusive Economic Zone",0.604166666666667,0,2.15304003260354,2.97026904671735
"Pagellus erythrinus","Libyan Exclusive Economic Zone",0.320069204152249,0,1.73207509067546,2.96127923771442
"Pagellus erythrinus","Maltese Exclusive Economic Zone",0.253968253968254,0,1.82280345789549,2.31591246519177
"Pagellus erythrinus","Mauritanian Exclusive Economic Zone",0.365217391304348,0.130434782608696,1.98211267263556,8.2923610758136
"Pagellus erythrinus","Monégasque Exclusive Economic Zone",0,0,0.282586038787238,0.531008657535519
"Pagellus erythrinus","Montenegrin Exclusive economic Zone",0,0,1.25170644600096,1.74671949796117
"Pagellus erythrinus","Moroccan Exclusive Economic Zone",0,0,0.142871693648278,1.04682627895305
"Pagellus erythrinus","Norwegian Exclusive Economic Zone",0.287625418060201,0,1.54708539773595,3.97531538726582
"Pagellus erythrinus","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.417864358129796,0.417864358129796
"Pagellus erythrinus","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0809380306768934,0.0937178552546946
"Pagellus erythrinus","Overlapping claim Melilla: Spain / Morocco",0,0,0.246548559686361,0.246548559686361
"Pagellus erythrinus","Overlapping claim Ukrainian Exclusive Economic Zone",1,0.703703703703704,4.37366655088127,6.03006457666258
"Pagellus erythrinus","Overlapping claim Western Saharan Exclusive Economic Zone",0.0872727272727273,0.0181818181818182,0.730488045409514,8.2923610758136
"Pagellus erythrinus","Palestinian Exclusive Economic Zone",1,0,2.62657065912476,2.88873588323325
"Pagellus erythrinus","Portuguese Exclusive Economic Zone",0,0,0.132504350326844,1.53309506447489
"Pagellus erythrinus","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0343719733651045,0.052629323608566
"Pagellus erythrinus","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.247117661447839,0.837038228757331
"Pagellus erythrinus","Romanian Exclusive economic Zone",1,0.970588235294118,5.20299402909924,7.33110551061259
"Pagellus erythrinus","Russian Exclusive economic Zone",1,0.818181818181818,4.72055568891234,7.33110551061259
"Pagellus erythrinus","Senegalese Exclusive Economic Zone",0.640625,0.4609375,3.85801607635382,8.2923610758136
"Pagellus erythrinus","Slovenian Exclusive Economic Zone",1,0,3.08487584516802,3.08487584516802
"Pagellus erythrinus","Spanish Exclusive Economic Zone",0,0,0.280661876723403,1.53391079197161
"Pagellus erythrinus","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.247266368937193,1.35077832187781
"Pagellus erythrinus","Swedish Exclusive Economic Zone",0.783505154639175,0.0103092783505155,2.54281887754395,4.22345841836743
"Pagellus erythrinus","Syrian Exclusive Economic Zone",1,0,2.47290995328753,3.17455676228977
"Pagellus erythrinus","Tunisian Exclusive Economic Zone",0.292207792207792,0,1.28667090370763,3.35477038265909
"Pagellus erythrinus","Turkish Exclusive Economic Zone",0.538167938931298,0.0572519083969466,2.02965738773006,5.08186337564518
"Pagellus erythrinus","United Kingdom Exclusive Economic Zone",0.00550964187327824,0,0.230594883313017,3.26158315196617
