"Species","EEZ","p2","p4","Average","Max"
"Pagrus auriga","Albanian Exclusive Economic Zone",0,0,0.528047633871427,1.43780002710351
"Pagrus auriga","Algerian Exclusive Economic Zone",0,0,0.363704969871065,1.23050731890557
"Pagrus auriga","Angolan Exclusive Economic Zone",0.200913242009132,0.114155251141553,1.64823394952997,8.2923610758136
"Pagrus auriga","Beninese Exclusive Economic Zone",1,0.285714285714286,3.75686596601227,4.5531620716467
"Pagrus auriga","Cameroonian Exclusive Economic Zone",0.791666666666667,0.3125,3.14411294937826,4.95089083334208
"Pagrus auriga","Cape Verdean Exclusive Economic Zone",0.040983606557377,0,0.718140698982873,2.50280399171564
"Pagrus auriga","Congolese Exclusive Economic Zone",0.25,0.0961538461538462,2.13224591398634,8.2923610758136
"Pagrus auriga","Croatian Exclusive Economic Zone",0.0194174757281553,0,0.675575075720463,2.33709281670107
"Pagrus auriga","Cypriote Exclusive Economic Zone",0.813084112149533,0,2.23996111660004,2.86439636371544
"Pagrus auriga","Democratic Republic of the Congo Exclusive Economic Zone",0.741935483870968,0.483870967741935,4.72143396919513,8.2923610758136
"Pagrus auriga","Egyptian Exclusive Economic Zone",0.155660377358491,0,1.38544963983287,3.07646141763009
"Pagrus auriga","Equatorial Guinean Exclusive Economic Zone",0.636363636363636,0.314285714285714,3.10057955154938,7.29834792559634
"Pagrus auriga","French Exclusive Economic Zone",0,0,0.3288207521964,1.53215708844886
"Pagrus auriga","Gabonese Exclusive Economic Zone",0.26797385620915,0.0261437908496732,1.8007968297225,4.56724856138805
"Pagrus auriga","Gambian Exclusive Economic Zone",1,0.153846153846154,3.26565816134118,4.24106404091693
"Pagrus auriga","Ghanaian Exclusive Economic Zone",1,0.45045045045045,4.07161674335091,6.37487503944423
"Pagrus auriga","Greek Exclusive Economic Zone",0.00835654596100279,0,0.391034114097096,2.39262061878775
"Pagrus auriga","Guinea Bissau Exclusive Economic Zone",1,0.949579831932773,6.29626865658161,8.2923610758136
"Pagrus auriga","Guinean Exclusive Economic Zone",1,0.972413793103448,6.58384086213588,8.2923610758136
"Pagrus auriga","Israeli Exclusive Economic Zone",0.392156862745098,0,2.07712534789895,3.07646141763009
"Pagrus auriga","Italian Exclusive Economic Zone",0.00531914893617021,0,0.681264976631716,2.49182560666694
"Pagrus auriga","Ivory Coast Exclusive Economic Zone",1,0.666666666666667,5.35711494919197,8.2923610758136
"Pagrus auriga","Joint regime area Italy / France",0,0,0.394140581146159,0.394140581146159
"Pagrus auriga","Joint regime area Nigeria / Sao Tome and Principe",1,1,5.55471245644239,5.82193387695347
"Pagrus auriga","Joint regime area Senegal / Guinea Bissau",1,0.684210526315789,4.58139250689093,6.40793187773275
"Pagrus auriga","Lebanese Exclusive Economic Zone",0.675675675675676,0,2.20411153013185,2.97127045449117
"Pagrus auriga","Liberian Exclusive Economic Zone",1,1,7.81689211410632,8.2923610758136
"Pagrus auriga","Libyan Exclusive Economic Zone",0.016,0,1.04752578645124,2.48767622692627
"Pagrus auriga","Maltese Exclusive Economic Zone",0,0,0.853393573035107,1.36599714847997
"Pagrus auriga","Mauritanian Exclusive Economic Zone",0.315315315315315,0.117117117117117,1.76778996928507,8.2923610758136
"Pagrus auriga","Monégasque Exclusive Economic Zone",0,0,0.275099640404503,0.5315950815519
"Pagrus auriga","Montenegrin Exclusive economic Zone",0,0,0.456718741883476,0.665782577146916
"Pagrus auriga","Moroccan Exclusive Economic Zone",0,0,0.138444095991789,1.04809045407606
"Pagrus auriga","Nigerian Exclusive Economic Zone",0.994117647058824,0.488235294117647,3.83515400703907,5.78449339897537
"Pagrus auriga","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.417018836209557,0.417018836209557
"Pagrus auriga","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0817856990198014,0.0943206626873705
"Pagrus auriga","Overlapping claim Melilla: Spain / Morocco",0,0,0.248460358741499,0.248460358741499
"Pagrus auriga","Overlapping claim Western Saharan Exclusive Economic Zone",0.0679245283018868,0.0113207547169811,0.688831288292734,8.2923610758136
"Pagrus auriga","Palestinian Exclusive Economic Zone",1,0,2.62771057374586,2.89001428764003
"Pagrus auriga","Portuguese Exclusive Economic Zone",0,0,0.149720405149425,1.53063745546731
"Pagrus auriga","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.216362863556034,0.549884246020595
"Pagrus auriga","Sao Tome and Principe Exclusive Economic Zone",0.717514124293785,0.423728813559322,3.51204521154963,5.82193387695347
"Pagrus auriga","Senegalese Exclusive Economic Zone",0.704225352112676,0.507042253521127,4.21386810057814,8.2923610758136
"Pagrus auriga","Sierra Leonian Exclusive Economic Zone",1,1,7.20290717716383,8.2923610758136
"Pagrus auriga","Spanish Exclusive Economic Zone",0,0,0.30092118953279,1.53215708844886
"Pagrus auriga","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.239052993387636,1.35229491698135
"Pagrus auriga","Syrian Exclusive Economic Zone",1,0,2.47365532404481,3.17545895403999
"Pagrus auriga","Togolese Exclusive Economic Zone",1,0.238095238095238,3.89294039840323,5.55234108097178
"Pagrus auriga","Tunisian Exclusive Economic Zone",0.0790378006872852,0,0.92529723819109,3.1196819249152
"Pagrus auriga","Turkish Exclusive Economic Zone",0.715976331360947,0,1.92843016168787,3.23805640245343
