"Species","EEZ","p2","p4","Average","Max"
"Pagrus caeruleostictus","Albanian Exclusive Economic Zone",0,0,0.489177183757258,1.43465476802177
"Pagrus caeruleostictus","Algerian Exclusive Economic Zone",0,0,0.351808007176314,1.2299548681481
"Pagrus caeruleostictus","Angolan Exclusive Economic Zone",0.207627118644068,0.105932203389831,1.63226620163762,8.2923610758136
"Pagrus caeruleostictus","Beninese Exclusive Economic Zone",1,0.304347826086957,3.77395055137645,4.55283645179099
"Pagrus caeruleostictus","Cameroonian Exclusive Economic Zone",0.791666666666667,0.3125,3.14349799379775,4.95075695369588
"Pagrus caeruleostictus","Congolese Exclusive Economic Zone",0.232142857142857,0.0892857142857143,2.09664668264857,8.2923610758136
"Pagrus caeruleostictus","Croatian Exclusive Economic Zone",0.0405405405405405,0,0.71219897762834,3.64606937015695
"Pagrus caeruleostictus","Cypriote Exclusive Economic Zone",0.671140939597315,0,2.10033169791885,2.86348694733443
"Pagrus caeruleostictus","Democratic Republic of the Congo Exclusive Economic Zone",0.657142857142857,0.428571428571429,4.36943250246565,8.2923610758136
"Pagrus caeruleostictus","Egyptian Exclusive Economic Zone",0.148837209302326,0,1.36341449793608,3.07557545165362
"Pagrus caeruleostictus","Equatorial Guinean Exclusive Economic Zone",0.635204081632653,0.318877551020408,3.10641684183659,7.29834792559634
"Pagrus caeruleostictus","French Exclusive Economic Zone",0,0,0.241056170020406,1.93813607006693
"Pagrus caeruleostictus","Gabonese Exclusive Economic Zone",0.25625,0.025,1.78925854996795,4.56706248637911
"Pagrus caeruleostictus","Gambian Exclusive Economic Zone",1,0.125,3.19799716925227,4.24099224724284
"Pagrus caeruleostictus","Ghanaian Exclusive Economic Zone",1,0.46551724137931,4.12973873615425,6.37473664505925
"Pagrus caeruleostictus","Greek Exclusive Economic Zone",0.0170316301703163,0,0.448668880910201,2.39192184350609
"Pagrus caeruleostictus","Guinea Bissau Exclusive Economic Zone",1,0.952755905511811,6.27247963318097,8.2923610758136
"Pagrus caeruleostictus","Guinean Exclusive Economic Zone",1,0.974193548387097,6.54567704698663,8.2923610758136
"Pagrus caeruleostictus","Israeli Exclusive Economic Zone",0.392156862745098,0,2.0764309862218,3.07557545165362
"Pagrus caeruleostictus","Italian Exclusive Economic Zone",0.0247252747252747,0.0137362637362637,0.836554411403828,8.2923610758136
"Pagrus caeruleostictus","Ivory Coast Exclusive Economic Zone",1,0.673684210526316,5.41834368022342,8.2923610758136
"Pagrus caeruleostictus","Joint regime area Croatia / Slovenia",0,0,1.56444425361316,1.56444425361316
"Pagrus caeruleostictus","Joint regime area Italy / France",0,0,0.393651074270945,0.393651074270945
"Pagrus caeruleostictus","Joint regime area Nigeria / Sao Tome and Principe",1,1,5.55455677248254,5.82178517355871
"Pagrus caeruleostictus","Joint regime area Senegal / Guinea Bissau",1,0.714285714285714,4.6883128159397,6.40786451406639
"Pagrus caeruleostictus","Joint regime area Spain / France",0,0,0.00235027759097383,0.00317409419737543
"Pagrus caeruleostictus","Lebanese Exclusive Economic Zone",0.675675675675676,0,2.2034154333181,2.97057483974869
"Pagrus caeruleostictus","Liberian Exclusive Economic Zone",1,1,7.83215962295183,8.2923610758136
"Pagrus caeruleostictus","Libyan Exclusive Economic Zone",0.00892857142857143,0,0.86759060916325,2.46214012736952
"Pagrus caeruleostictus","Maltese Exclusive Economic Zone",0,0,0.901586205662512,1.31917116357321
"Pagrus caeruleostictus","Mauritanian Exclusive Economic Zone",0.315315315315315,0.117117117117117,1.76375951155931,8.2923610758136
"Pagrus caeruleostictus","Monégasque Exclusive Economic Zone",0,0,0.275022866603322,0.531522343550705
"Pagrus caeruleostictus","Montenegrin Exclusive economic Zone",0,0,0.502885531122521,0.739712522401277
"Pagrus caeruleostictus","Moroccan Exclusive Economic Zone",0,0,0.125577126165693,1.04807022485949
"Pagrus caeruleostictus","Nigerian Exclusive Economic Zone",0.994252873563218,0.5,3.86046178966327,5.78434195500862
"Pagrus caeruleostictus","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.4173592400141,0.4173592400141
"Pagrus caeruleostictus","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0817028911226273,0.0943632584963249
"Pagrus caeruleostictus","Overlapping claim Melilla: Spain / Morocco",0,0,0.247890398617619,0.247890398617619
"Pagrus caeruleostictus","Overlapping claim Western Saharan Exclusive Economic Zone",0.0722021660649819,0.0108303249097473,0.69678571415366,8.2923610758136
"Pagrus caeruleostictus","Palestinian Exclusive Economic Zone",1,0,2.62687845946014,2.88915936870661
