"x","y","sigmaNovelty","cell","EEZ"
-3.125,50.625,0.0133675513400171,865,"United Kingdom Exclusive Economic Zone"
-2.875,50.625,0.00213713492467329,865,"United Kingdom Exclusive Economic Zone"
-2.625,50.625,0.00765811747178795,865,"United Kingdom Exclusive Economic Zone"
-2.375,50.625,0.00330621238834281,865,"United Kingdom Exclusive Economic Zone"
-1.875,50.625,0.0272068834409497,865,"United Kingdom Exclusive Economic Zone"
-3.375,50.375,0.023083089905418,865,"United Kingdom Exclusive Economic Zone"
-3.125,50.375,0.0034612185091174,865,"United Kingdom Exclusive Economic Zone"
-2.875,50.375,0.00201962530438444,865,"United Kingdom Exclusive Economic Zone"
-2.625,50.375,0.000152313279215739,865,"United Kingdom Exclusive Economic Zone"
-2.375,50.375,0.00335745166370399,865,"United Kingdom Exclusive Economic Zone"
-2.125,50.375,0.0036422670597592,865,"United Kingdom Exclusive Economic Zone"
-1.875,50.375,0.00364823403229884,865,"United Kingdom Exclusive Economic Zone"
-1.625,50.375,0.00258403589991956,865,"United Kingdom Exclusive Economic Zone"
-4.875,50.125,0.0625806018025968,864,"United Kingdom Exclusive Economic Zone"
-4.625,50.125,0.0271991358052136,864,"United Kingdom Exclusive Economic Zone"
-4.375,50.125,0.0457803421030459,864,"United Kingdom Exclusive Economic Zone"
-4.125,50.125,0.044663648719783,864,"United Kingdom Exclusive Economic Zone"
-3.875,50.125,0.026167856954649,864,"United Kingdom Exclusive Economic Zone"
-3.625,50.125,0.00346701433503102,864,"United Kingdom Exclusive Economic Zone"
-3.375,50.125,0.000699762615688466,865,"United Kingdom Exclusive Economic Zone"
-3.125,50.125,0.00214654351336119,865,"United Kingdom Exclusive Economic Zone"
-2.875,50.125,0.00290773157735309,865,"United Kingdom Exclusive Economic Zone"
-2.625,50.125,0.000104325331520435,865,"United Kingdom Exclusive Economic Zone"
-2.375,50.125,0.00564895399459443,865,"United Kingdom Exclusive Economic Zone"
-2.125,50.125,0.00298377631700922,865,"Guernsey Exclusive Economic Zone"
-1.875,50.125,0.00361346585824546,865,"French Exclusive Economic Zone"
-1.625,50.125,0.000810396673464548,865,"French Exclusive Economic Zone"
-1.375,50.125,0.00126747520075706,865,"French Exclusive Economic Zone"
-5.875,49.875,0.00344944948803573,864,"United Kingdom Exclusive Economic Zone"
-5.625,49.875,0.0185942030100847,864,"United Kingdom Exclusive Economic Zone"
-5.375,49.875,0.00785503744458058,864,"United Kingdom Exclusive Economic Zone"
-5.125,49.875,0.00920638332018651,864,"United Kingdom Exclusive Economic Zone"
-4.875,49.875,0.00169439130533845,864,"United Kingdom Exclusive Economic Zone"
-4.625,49.875,0.00410374423536057,864,"United Kingdom Exclusive Economic Zone"
-4.375,49.875,0.00302558996097545,864,"United Kingdom Exclusive Economic Zone"
-4.125,49.875,0.0024550212253552,864,"United Kingdom Exclusive Economic Zone"
-3.875,49.875,0.00467426038150285,864,"United Kingdom Exclusive Economic Zone"
-3.625,49.875,0.00272480081662585,864,"United Kingdom Exclusive Economic Zone"
-3.375,49.875,0.00104899624119684,892,"United Kingdom Exclusive Economic Zone"
-3.125,49.875,0.00142334561204696,892,"United Kingdom Exclusive Economic Zone"
-2.875,49.875,0.00269786427432934,865,"United Kingdom Exclusive Economic Zone"
-2.625,49.875,0.00551986387596222,865,"Guernsey Exclusive Economic Zone"
-2.375,49.875,0.00321307391446483,865,"Guernsey Exclusive Economic Zone"
-2.125,49.875,9.6181674565298e-05,865,"Guernsey Exclusive Economic Zone"
-1.875,49.875,0.00184218096511269,865,"French Exclusive Economic Zone"
-1.625,49.875,0.00364182420356695,865,"French Exclusive Economic Zone"
-1.375,49.875,0.00100222800360029,865,"French Exclusive Economic Zone"
-6.125,49.625,0.00283287119520238,864,"United Kingdom Exclusive Economic Zone"
-5.875,49.625,0.0018027931416048,864,"United Kingdom Exclusive Economic Zone"
-5.625,49.625,0.0014678060085861,864,"United Kingdom Exclusive Economic Zone"
-5.375,49.625,0.00509114527436554,864,"United Kingdom Exclusive Economic Zone"
-5.125,49.625,0.00336646471800232,864,"United Kingdom Exclusive Economic Zone"
-4.875,49.625,0.005432966076063,864,"United Kingdom Exclusive Economic Zone"
-4.625,49.625,0.00159300910031152,864,"United Kingdom Exclusive Economic Zone"
-4.375,49.625,0.00663471269509194,864,"United Kingdom Exclusive Economic Zone"
-4.125,49.625,0.00581895547700687,892,"United Kingdom Exclusive Economic Zone"
-3.875,49.625,0.00866009272416439,892,"United Kingdom Exclusive Economic Zone"
-3.625,49.625,0.00453497967157533,892,"United Kingdom Exclusive Economic Zone"
-3.375,49.625,0.00750429285508325,892,"United Kingdom Exclusive Economic Zone"
-3.125,49.625,0.0106912110291855,892,"Guernsey Exclusive Economic Zone"
-2.875,49.625,0.0511805525765073,892,"Guernsey Exclusive Economic Zone"
-2.625,49.625,0.0258127386313215,892,"Guernsey Exclusive Economic Zone"
-2.375,49.625,0.0014935755400518,892,"Guernsey Exclusive Economic Zone"
-2.125,49.625,0.00253295205086802,865,"Guernsey Exclusive Economic Zone"
-1.875,49.625,0.0161240819966774,865,"French Exclusive Economic Zone"
-6.375,49.375,0.0734870771317267,891,"United Kingdom Exclusive Economic Zone"
-6.125,49.375,0.106966684360325,891,"United Kingdom Exclusive Economic Zone"
-5.875,49.375,0.212717410172537,891,"United Kingdom Exclusive Economic Zone"
-5.625,49.375,0.229983518913058,864,"United Kingdom Exclusive Economic Zone"
-5.375,49.375,0.211401006972141,864,"United Kingdom Exclusive Economic Zone"
-5.125,49.375,0.132358171178747,864,"United Kingdom Exclusive Economic Zone"
-4.875,49.375,0.149574715077901,864,"United Kingdom Exclusive Economic Zone"
-4.625,49.375,0.121542848055163,892,"United Kingdom Exclusive Economic Zone"
-4.375,49.375,0.117042385821212,892,"French Exclusive Economic Zone"
-4.125,49.375,0.162650131237435,892,"French Exclusive Economic Zone"
