"Species","EEZ","p2","p4","Average","Max"
"Panulirus argus","Anguilla Exclusive Economic Zone",1,0,3.23903427779672,3.61662580702862
"Panulirus argus","Antigua and Barbuda Exclusive Economic Zone",1,0,2.84787052241182,3.42626387593988
"Panulirus argus","Aruban Exclusive Economic Zone",1,0.605263157894737,4.04939202407283,5.02534514738246
"Panulirus argus","Bahamas Exclusive Economic Zone",0.94661921708185,0.817319098457889,4.87327962510491,8.2923610758136
"Panulirus argus","Barbados Exclusive Economic Zone",1,0.128440366972477,3.54051128386075,4.29541969630397
"Panulirus argus","Belizean Exclusive Economic Zone",1,1,7.48173506112882,8.2923610758136
"Panulirus argus","Bermudian Exclusive Economic Zone",0,0,0.232267682245494,0.357107024751757
"Panulirus argus","Bonaire Exclusive Economic Zone",1,0.833333333333333,4.43614660558084,4.83746750010937
"Panulirus argus","Brazilian Exclusive Economic Zone",0.667572463768116,0.488224637681159,3.60105766055386,8.2923610758136
"Panulirus argus","British Virgin Islands Exclusive Economic Zone",1,0.426470588235294,3.85687332479804,4.33667739054249
"Panulirus argus","Canadian Exclusive Economic Zone",0,0,0.0615621920263381,0.171124294791122
"Panulirus argus","Cayman Islands Exclusive Economic Zone",1,1,7.61573794023926,8.2923610758136
"Panulirus argus","Colombian Exclusive Economic Zone",0.974151857835218,0.864297253634895,5.83720015509699,7.94144448741598
"Panulirus argus","Colombian Exclusive Economic Zone (Bajo Nuevo)",1,1,6.71413567430454,6.71413567430454
"Panulirus argus","Colombian Exclusive Economic Zone (Quitasueño)",1,1,6.3663928686041,6.40071516009563
"Panulirus argus","Colombian Exclusive Economic Zone (Serrana)",1,1,6.41587157071395,6.44396896000825
"Panulirus argus","Colombian Exclusive Economic Zone (Serranilla)",1,1,6.61356726920038,6.64491409351727
"Panulirus argus","Costa Rican Exclusive Economic Zone",1,0.983870967741935,6.09208973565749,7.05084420300976
"Panulirus argus","Cuban Exclusive Economic Zone",1,0.942404006677796,6.02198168186675,8.2923610758136
"Panulirus argus","Curaçaoan Exclusive Economic Zone",1,0.653846153846154,4.16949897346684,5.01671485888471
"Panulirus argus","Dominican Exclusive Economic Zone",1,0,3.07744630615245,3.76440973420615
"Panulirus argus","Dominican Republic Exclusive Economic Zone",1,0.996879875195008,5.08224669034163,7.15884916078435
"Panulirus argus","French Guiana Exclusive Economic Zone",0.244604316546763,0.0359712230215827,1.11412291304732,4.19018081944612
"Panulirus argus","Grenadian Exclusive Economic Zone",0.823529411764706,0,2.93342768855875,3.85898079665515
"Panulirus argus","Guadeloupean Exclusive Economic Zone",1,0,2.92007758562075,3.72272183750951
"Panulirus argus","Guatemalan Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Panulirus argus","Guyanese Exclusive Economic Zone",0.788135593220339,0.076271186440678,2.68107545222907,5.51197502972308
"Panulirus argus","Haitian Exclusive Economic Zone",1,1,6.15367186523346,7.46382862920283
"Panulirus argus","Honduran Exclusive Economic Zone",1,1,7.16168322421409,8.2923610758136
"Panulirus argus","Jamaican Exclusive Economic Zone",1,1,7.03593749046864,8.2923610758136
"Panulirus argus","Joint regime area Colombia / Jamaica",1,1,6.65020503356113,6.81938462740699
"Panulirus argus","Joint regime area Honduras / Cayman Islands",1,1,7.40688264086028,7.43568444810515
"Panulirus argus","Martinican Exclusive Economic Zone",1,0,3.15233856605005,3.92125144487721
"Panulirus argus","Mexican Exclusive Economic Zone",0.975120385232745,0.580256821829855,4.79677442650376,8.2923610758136
"Panulirus argus","Montserrat Exclusive Economic Zone",1,0,3.35314717268059,3.61888948116686
"Panulirus argus","Nicaraguan Exclusive Economic Zone",1,0.994910941475827,6.4772173718131,8.2923610758136
"Panulirus argus","Overlapping claim Navassa Island: USA / Haiti / Jamaica",1,1,7.283753235733,7.74221495865768
"Panulirus argus","Overlapping claim: Puerto Rico / Dominican Republic",1,1,4.53080314290787,4.69870356463858
"Panulirus argus","Overlapping claim: Venezuela / Aruba / Dominican Republic",1,1,5.03288536779311,5.13260014527517
"Panulirus argus","Panamanian Exclusive Economic Zone",0.989966555183946,0.983277591973244,6.26360917468993,7.94144448741598
"Panulirus argus","Puerto Rican Exclusive Economic Zone",1,0.978902953586498,4.468931953943,5.05799966763974
"Panulirus argus","Saba Exclusive Economic Zone",1,0,3.60591599261454,3.76708134219036
"Panulirus argus","Saint Kitts and Nevis Exclusive Economic Zone",1,0,3.43843664915728,3.70488536181162
"Panulirus argus","Saint Lucia Exclusive Economic Zone",1,0,3.67551052476967,3.95067750474879
"Panulirus argus","Saint Vincent and the Grenadines Exclusive Economic Zone",1,0,3.66802327517603,3.95067750474879
"Panulirus argus","Saint-Barthélemy Exclusive Economic Zone",1,0,3.24696509092486,3.43783923054545
"Panulirus argus","Saint-Martin Exclusive Economic Zone",1,0,3.51087310701767,3.61110193504874
"Panulirus argus","Sint-Eustatius Exclusive Economic Zone",1,0,3.49813612670623,3.6378363583395
"Panulirus argus","Sint-Maarten Exclusive Economic Zone",1,0,3.45001562387877,3.45001562387877
"Panulirus argus","Surinamese Exclusive Economic Zone",0.275862068965517,0.00689655172413793,1.22499751703043,4.27952827835327
"Panulirus argus","Trinidad and Tobago Exclusive Economic Zone",0.891304347826087,0.195652173913043,3.26886864858277,4.29541969630397
"Panulirus argus","Turks and Caicos Exclusive Economic Zone",1,1,5.27060462710203,6.03350411365957
"Panulirus argus","United States Exclusive Economic Zone",0.590564448188711,0.205981465880371,2.54770445681585,6.73150908144734
"Panulirus argus","Venezuelan Exclusive Economic Zone",0.852729145211123,0.31513903192585,3.368550318158,6.67427400208285
"Panulirus argus","Virgin Islander Exclusive Economic Zone",1,0.577586206896552,4.02046810154774,4.35683797540749
