"x","y","sigmaNovelty","cell","EEZ"
-70.375,42.625,0.175011058312829,595,"United States Exclusive Economic Zone"
-70.125,42.625,0.599677348139933,595,"United States Exclusive Economic Zone"
-69.875,42.625,0.799748971808108,595,"United States Exclusive Economic Zone"
-70.875,42.375,0.54595622757146,595,"United States Exclusive Economic Zone"
-70.625,42.375,0.379265333716571,595,"United States Exclusive Economic Zone"
-70.375,42.375,0.419893960072094,595,"United States Exclusive Economic Zone"
-70.125,42.375,0.706063756703715,595,"United States Exclusive Economic Zone"
-69.875,42.375,0.772567822605225,595,"United States Exclusive Economic Zone"
-69.625,42.375,0.90190528326434,737,"United States Exclusive Economic Zone"
-70.625,42.125,0.0106711132399823,595,"United States Exclusive Economic Zone"
-70.375,42.125,0.485527906712247,595,"United States Exclusive Economic Zone"
-70.125,42.125,0.671553593799868,595,"United States Exclusive Economic Zone"
-69.875,42.125,0.900908302857939,595,"United States Exclusive Economic Zone"
-69.625,42.125,0.937447665389542,737,"United States Exclusive Economic Zone"
-69.375,42.125,1.06041415911921,737,"United States Exclusive Economic Zone"
-69.125,42.125,0.986404832626745,737,"United States Exclusive Economic Zone"
-68.875,42.125,1.44038887289205,737,"United States Exclusive Economic Zone"
-70.375,41.875,0.608482339020404,736,"United States Exclusive Economic Zone"
-70.125,41.875,0.848717392761117,736,"United States Exclusive Economic Zone"
-69.875,41.875,1.12229293567271,736,"United States Exclusive Economic Zone"
-69.625,41.875,1.07739463307957,736,"United States Exclusive Economic Zone"
-69.375,41.875,1.12138559108,736,"United States Exclusive Economic Zone"
-69.125,41.875,0.946936984606425,737,"United States Exclusive Economic Zone"
-68.875,41.875,1.02306419161561,737,"United States Exclusive Economic Zone"
-68.625,41.875,0.726194418897199,737,"United States Exclusive Economic Zone"
-71.375,41.625,0.375604535386087,736,"United States Exclusive Economic Zone"
-70.875,41.625,1.24567255434036,736,"United States Exclusive Economic Zone"
-70.125,41.625,0.973020300296497,736,"United States Exclusive Economic Zone"
-69.875,41.625,1.27548893904209,736,"United States Exclusive Economic Zone"
-69.625,41.625,1.09790648041445,736,"United States Exclusive Economic Zone"
-69.375,41.625,0.9438959981252,736,"United States Exclusive Economic Zone"
-69.125,41.625,0.865278975236832,736,"United States Exclusive Economic Zone"
-68.875,41.625,0.668854168665549,737,"United States Exclusive Economic Zone"
-68.625,41.625,0.640279383389955,737,"United States Exclusive Economic Zone"
-68.375,41.625,0.337312280267542,737,"United States Exclusive Economic Zone"
-68.125,41.625,0.33172609609191,737,"United States Exclusive Economic Zone"
-67.875,41.625,0.195359784139582,737,"United States Exclusive Economic Zone"
-71.375,41.375,0.478881291513689,736,"United States Exclusive Economic Zone"
-71.125,41.375,0.597204157443957,736,"United States Exclusive Economic Zone"
-70.875,41.375,0.509214305768759,736,"United States Exclusive Economic Zone"
-70.375,41.375,0.223764961806371,736,"United States Exclusive Economic Zone"
-70.125,41.375,1.02755288447707,736,"United States Exclusive Economic Zone"
-69.875,41.375,1.16122329490736,736,"United States Exclusive Economic Zone"
-69.625,41.375,0.749230517714186,736,"United States Exclusive Economic Zone"
-69.375,41.375,0.596865188117181,736,"United States Exclusive Economic Zone"
-69.125,41.375,0.889195719391966,736,"United States Exclusive Economic Zone"
-68.875,41.375,0.63252288094217,736,"United States Exclusive Economic Zone"
-68.625,41.375,0.619291408906626,736,"United States Exclusive Economic Zone"
-68.375,41.375,0.341533660142351,737,"United States Exclusive Economic Zone"
-68.125,41.375,0.269404632613254,737,"United States Exclusive Economic Zone"
-67.875,41.375,0.152892597379634,737,"United States Exclusive Economic Zone"
-67.625,41.375,0.0484538114398215,737,"United States Exclusive Economic Zone"
-73.125,41.125,1.84078778344612,622,"United States Exclusive Economic Zone"
-72.875,41.125,0.640667233694967,622,"United States Exclusive Economic Zone"
-72.625,41.125,1.58562277970563,622,"United States Exclusive Economic Zone"
-72.375,41.125,0.471655992697801,622,"United States Exclusive Economic Zone"
-72.125,41.125,0.944452317218064,622,"United States Exclusive Economic Zone"
-71.875,41.125,0.00958289772529206,622,"United States Exclusive Economic Zone"
-71.625,41.125,0.382804891233046,622,"United States Exclusive Economic Zone"
-71.375,41.125,0.321697959445203,736,"United States Exclusive Economic Zone"
-71.125,41.125,0.396537202778333,736,"United States Exclusive Economic Zone"
-70.875,41.125,0.632272603697328,736,"United States Exclusive Economic Zone"
-70.625,41.125,0.743517482904572,736,"United States Exclusive Economic Zone"
-70.375,41.125,0.632400164813544,736,"United States Exclusive Economic Zone"
-70.125,41.125,0.406532338031042,736,"United States Exclusive Economic Zone"
-69.875,41.125,0.563050186745334,736,"United States Exclusive Economic Zone"
-69.625,41.125,0.37049589796582,736,"United States Exclusive Economic Zone"
-69.375,41.125,0.310528248389693,736,"United States Exclusive Economic Zone"
-69.125,41.125,0.337672371060115,736,"United States Exclusive Economic Zone"
-68.875,41.125,0.321477195799547,736,"United States Exclusive Economic Zone"
-68.625,41.125,0.16198153001323,736,"United States Exclusive Economic Zone"
-68.375,41.125,0.118027924467174,736,"United States Exclusive Economic Zone"
-68.125,41.125,0.110140703340865,737,"United States Exclusive Economic Zone"
-67.875,41.125,0.0629167937410651,737,"United States Exclusive Economic Zone"
-67.625,41.125,0.0208235064113511,737,"United States Exclusive Economic Zone"
-67.375,41.125,0.00363386267926124,764,"United States Exclusive Economic Zone"
-72.375,40.875,0.35950405235481,622,NA
-72.125,40.875,0.321161231929069,622,"United States Exclusive Economic Zone"
-71.875,40.875,0.717392860487591,622,"United States Exclusive Economic Zone"
-71.625,40.875,0.583706176079135,736,"United States Exclusive Economic Zone"
-71.375,40.875,0.872531619892413,736,"United States Exclusive Economic Zone"
-71.125,40.875,1.06471688848327,736,"United States Exclusive Economic Zone"
-70.875,40.875,0.92534042353119,736,"United States Exclusive Economic Zone"
-70.625,40.875,1.10589012008761,736,"United States Exclusive Economic Zone"
-70.375,40.875,0.965671686495607,736,"United States Exclusive Economic Zone"
-70.125,40.875,0.714590445167459,736,"United States Exclusive Economic Zone"
-69.875,40.875,0.390775707535883,736,"United States Exclusive Economic Zone"
-69.625,40.875,0.133281352052183,736,"United States Exclusive Economic Zone"
-69.375,40.875,0.221097161709151,736,"United States Exclusive Economic Zone"
-69.125,40.875,0.282835903533209,736,"United States Exclusive Economic Zone"
-68.875,40.875,0.126940226665781,736,"United States Exclusive Economic Zone"
-68.625,40.875,0.0931430621750931,736,"United States Exclusive Economic Zone"
-68.375,40.875,0.0947586463352318,736,"United States Exclusive Economic Zone"
-68.125,40.875,0.0310126700459171,736,"United States Exclusive Economic Zone"
-67.875,40.875,0.0412863243736967,764,"United States Exclusive Economic Zone"
-67.625,40.875,0.0311695338079036,764,"United States Exclusive Economic Zone"
-67.375,40.875,0.00465375534657626,764,"United States Exclusive Economic Zone"
-67.125,40.875,0.126696165214012,764,"United States Exclusive Economic Zone"
-73.125,40.625,0.357381477890679,622,"United States Exclusive Economic Zone"
-72.875,40.625,0.341874177256123,622,"United States Exclusive Economic Zone"
-72.625,40.625,0.500159778074451,622,"United States Exclusive Economic Zone"
-72.375,40.625,0.59469664367164,622,"United States Exclusive Economic Zone"
-72.125,40.625,0.674108444966553,622,"United States Exclusive Economic Zone"
-71.875,40.625,0.588578747573066,622,"United States Exclusive Economic Zone"
-71.625,40.625,0.510307047571612,736,"United States Exclusive Economic Zone"
-71.375,40.625,0.582032575488304,736,"United States Exclusive Economic Zone"
-71.125,40.625,0.468284472217674,736,"United States Exclusive Economic Zone"
-70.875,40.625,0.3514028246873,736,"United States Exclusive Economic Zone"
-70.625,40.625,0.538351361885615,736,"United States Exclusive Economic Zone"
-70.375,40.625,0.524350937639445,736,"United States Exclusive Economic Zone"
-70.125,40.625,0.568653597207001,736,"United States Exclusive Economic Zone"
-69.875,40.625,0.39746727984368,736,"United States Exclusive Economic Zone"
-69.625,40.625,0.100061109177082,736,"United States Exclusive Economic Zone"
-69.375,40.625,0.303652780316004,736,"United States Exclusive Economic Zone"
-69.125,40.625,0.130415512952123,736,"United States Exclusive Economic Zone"
-68.875,40.625,0.330444589222942,736,"United States Exclusive Economic Zone"
-68.625,40.625,0.082723090344289,736,"United States Exclusive Economic Zone"
-68.375,40.625,0.0635590586417282,736,"United States Exclusive Economic Zone"
-68.125,40.625,0.157039280095474,764,"United States Exclusive Economic Zone"
-67.875,40.625,0.213275782867736,764,"United States Exclusive Economic Zone"
-67.625,40.625,0.171124294791122,764,"United States Exclusive Economic Zone"
-67.375,40.625,0.156806946465139,764,"United States Exclusive Economic Zone"
-67.125,40.625,0.101086754623491,764,"United States Exclusive Economic Zone"
-73.875,40.375,2.88367242376354,622,"United States Exclusive Economic Zone"
-73.625,40.375,2.27025574526871,622,"United States Exclusive Economic Zone"
-73.375,40.375,0.400632842669684,622,"United States Exclusive Economic Zone"
-73.125,40.375,0.410310055440198,622,"United States Exclusive Economic Zone"
-72.875,40.375,0.774021160505611,622,"United States Exclusive Economic Zone"
-72.625,40.375,0.528735459372124,622,"United States Exclusive Economic Zone"
-72.375,40.375,0.659985072772831,622,"United States Exclusive Economic Zone"
-72.125,40.375,0.309329458540347,622,"United States Exclusive Economic Zone"
-71.875,40.375,0.41911962823664,622,"United States Exclusive Economic Zone"
-71.625,40.375,0.361836844814972,736,"United States Exclusive Economic Zone"
-71.375,40.375,0.166916896360099,736,"United States Exclusive Economic Zone"
-71.125,40.375,0.0926218716208784,736,"United States Exclusive Economic Zone"
-70.875,40.375,0.142713203889729,736,"United States Exclusive Economic Zone"
-70.625,40.375,0.289533979044569,736,"United States Exclusive Economic Zone"
-70.375,40.375,0.124007365883122,736,"United States Exclusive Economic Zone"
-70.125,40.375,0.152025614283827,736,"United States Exclusive Economic Zone"
-69.875,40.375,0.209673547329677,736,"United States Exclusive Economic Zone"
-69.625,40.375,0.0858523990561475,736,"United States Exclusive Economic Zone"
-69.375,40.375,0.189650131819115,736,"United States Exclusive Economic Zone"
-69.125,40.375,0.181596298987856,736,"United States Exclusive Economic Zone"
-68.875,40.375,0.354136255443185,736,"United States Exclusive Economic Zone"
-68.625,40.375,0.194276602368588,736,"United States Exclusive Economic Zone"
-68.375,40.375,0.0681225587323916,736,"United States Exclusive Economic Zone"
-68.125,40.375,0.0673712731590468,764,"United States Exclusive Economic Zone"
-67.875,40.375,0.00483821148895957,764,"United States Exclusive Economic Zone"
-67.625,40.375,0.0110951644880103,764,"United States Exclusive Economic Zone"
-67.375,40.375,0.00164031702303202,764,"United States Exclusive Economic Zone"
-73.875,40.125,1.64664766342042,649,"United States Exclusive Economic Zone"
-73.625,40.125,1.09514756849961,622,"United States Exclusive Economic Zone"
-73.375,40.125,1.0529776780741,622,"United States Exclusive Economic Zone"
-73.125,40.125,0.678123169387741,622,"United States Exclusive Economic Zone"
-72.875,40.125,0.979500592810987,622,"United States Exclusive Economic Zone"
-72.625,40.125,0.222209038427938,735,"United States Exclusive Economic Zone"
-72.375,40.125,0.175664482891258,735,"United States Exclusive Economic Zone"
-72.125,40.125,0.300750116159998,735,"United States Exclusive Economic Zone"
-71.875,40.125,0.0752599552054288,735,"United States Exclusive Economic Zone"
-71.625,40.125,0.00209924947998821,735,"United States Exclusive Economic Zone"
-71.375,40.125,0.00226055366198347,736,"United States Exclusive Economic Zone"
-71.125,40.125,0.000661940305454925,736,"United States Exclusive Economic Zone"
-70.875,40.125,0.000868314127671099,736,"United States Exclusive Economic Zone"
-70.625,40.125,0.00115758844248604,736,"United States Exclusive Economic Zone"
-70.375,40.125,0.00168605917107789,736,"United States Exclusive Economic Zone"
-70.125,40.125,0.0144313242616753,736,"United States Exclusive Economic Zone"
-69.875,40.125,0.0348324447124752,736,"United States Exclusive Economic Zone"
-69.625,40.125,0.216966394123367,736,"United States Exclusive Economic Zone"
-69.375,40.125,0.0323610559241458,736,"United States Exclusive Economic Zone"
-69.125,40.125,0.0043562920285328,736,"United States Exclusive Economic Zone"
-68.875,40.125,0.00705503429562783,736,"United States Exclusive Economic Zone"
-68.625,40.125,3.58505888820576e-05,736,"United States Exclusive Economic Zone"
-74.125,39.875,0.942680708445389,649,"United States Exclusive Economic Zone"
-73.875,39.875,0.913812189795897,649,"United States Exclusive Economic Zone"
-73.625,39.875,1.0735950285823,649,"United States Exclusive Economic Zone"
-73.375,39.875,0.777094026356422,735,"United States Exclusive Economic Zone"
-73.125,39.875,1.18099894482008,735,"United States Exclusive Economic Zone"
-72.875,39.875,0.22506626164665,735,"United States Exclusive Economic Zone"
-72.625,39.875,0.262123583091111,735,"United States Exclusive Economic Zone"
-72.375,39.875,0.00662333139076214,735,"United States Exclusive Economic Zone"
-72.125,39.875,0.0112198400089566,735,"United States Exclusive Economic Zone"
-71.875,39.875,0.0179381851923288,735,"United States Exclusive Economic Zone"
-71.625,39.875,0.00103848038181601,735,"United States Exclusive Economic Zone"
-71.375,39.875,0.00583776895397882,735,"United States Exclusive Economic Zone"
-71.125,39.875,0.00494156310396358,735,"United States Exclusive Economic Zone"
-70.875,39.875,0.000972583189405188,736,"United States Exclusive Economic Zone"
-70.625,39.875,0.00335246705994604,736,"United States Exclusive Economic Zone"
-70.375,39.875,0.00283767988915025,736,"United States Exclusive Economic Zone"
-70.125,39.875,0.00147221104266676,736,"United States Exclusive Economic Zone"
-69.875,39.875,0.00233520142924782,736,"United States Exclusive Economic Zone"
-69.625,39.875,0.00242703891657642,736,"United States Exclusive Economic Zone"
-69.375,39.875,0.00451054892158532,736,"United States Exclusive Economic Zone"
-69.125,39.875,0.0111704670183519,736,"United States Exclusive Economic Zone"
-68.875,39.875,0.00855891971019299,736,"United States Exclusive Economic Zone"
-74.125,39.625,0.682922186533829,649,"United States Exclusive Economic Zone"
-73.875,39.625,0.470395872676669,649,"United States Exclusive Economic Zone"
-73.625,39.625,1.45223413751478,649,"United States Exclusive Economic Zone"
-73.375,39.625,0.372064309576199,735,"United States Exclusive Economic Zone"
-73.125,39.625,0.754503714360005,735,"United States Exclusive Economic Zone"
-72.875,39.625,0.315527777906668,735,"United States Exclusive Economic Zone"
-72.625,39.625,0.0108048411432859,735,"United States Exclusive Economic Zone"
-72.375,39.625,0.0167917009597855,735,"United States Exclusive Economic Zone"
-72.125,39.625,0.000848793278187209,735,"United States Exclusive Economic Zone"
-76.125,39.375,6.73150908144734,649,"United States Exclusive Economic Zone"
-74.375,39.375,1.04438768431362,649,"United States Exclusive Economic Zone"
-74.125,39.375,0.848267214352695,649,"United States Exclusive Economic Zone"
-73.875,39.375,1.19753226843311,649,"United States Exclusive Economic Zone"
-73.625,39.375,0.350454122172253,649,"United States Exclusive Economic Zone"
-73.375,39.375,0.796070085438668,735,"United States Exclusive Economic Zone"
-73.125,39.375,0.206786249208089,735,"United States Exclusive Economic Zone"
-72.875,39.375,0.00313307229180291,735,"United States Exclusive Economic Zone"
-72.625,39.375,0.00388162931966857,735,"United States Exclusive Economic Zone"
-72.375,39.375,0.00550337133523968,735,"United States Exclusive Economic Zone"
-76.375,39.125,6.12232009450242,649,"United States Exclusive Economic Zone"
-75.375,39.125,0.0228964109514894,649,"United States Exclusive Economic Zone"
-75.125,39.125,0.119418906393292,649,"United States Exclusive Economic Zone"
-74.625,39.125,0.896232398267346,649,"United States Exclusive Economic Zone"
-74.375,39.125,0.654964779685518,649,"United States Exclusive Economic Zone"
-74.125,39.125,0.79525191327604,649,"United States Exclusive Economic Zone"
-73.875,39.125,0.445858621371621,649,"United States Exclusive Economic Zone"
-73.625,39.125,0.377708993642416,649,"United States Exclusive Economic Zone"
-73.375,39.125,0.30567455889216,735,"United States Exclusive Economic Zone"
-73.125,39.125,0.0128484695396012,735,"United States Exclusive Economic Zone"
-72.875,39.125,0.00616095218098369,735,"United States Exclusive Economic Zone"
-72.625,39.125,0.000974348640473252,735,"United States Exclusive Economic Zone"
-75.125,38.875,0.718645975558044,649,"United States Exclusive Economic Zone"
-74.875,38.875,0.290211035062786,649,"United States Exclusive Economic Zone"
-74.625,38.875,0.539211865532356,649,"United States Exclusive Economic Zone"
-74.375,38.875,0.170852911170295,649,"United States Exclusive Economic Zone"
-74.125,38.875,0.291022606215814,649,"United States Exclusive Economic Zone"
-73.875,38.875,0.140406046811509,649,"United States Exclusive Economic Zone"
-73.625,38.875,0.079761638626044,649,"United States Exclusive Economic Zone"
-73.375,38.875,0.016882176248368,735,"United States Exclusive Economic Zone"
-73.125,38.875,0.0188619080885197,735,"United States Exclusive Economic Zone"
-72.875,38.875,0.00864832349086734,735,"United States Exclusive Economic Zone"
-74.875,38.625,0.626651399167704,649,"United States Exclusive Economic Zone"
-74.625,38.625,0.121578185140456,649,"United States Exclusive Economic Zone"
-74.375,38.625,0.0185140562900964,649,"United States Exclusive Economic Zone"
-74.125,38.625,0.0408530919524106,649,"United States Exclusive Economic Zone"
-73.875,38.625,0.0137441838720981,649,"United States Exclusive Economic Zone"
-73.625,38.625,0.00970447770032724,649,"United States Exclusive Economic Zone"
-73.375,38.625,0.0246836556692671,735,"United States Exclusive Economic Zone"
-73.125,38.625,0.0023991444676142,735,"United States Exclusive Economic Zone"
-76.375,38.375,4.9808126138173,676,"United States Exclusive Economic Zone"
-74.875,38.375,0.2278405845169,649,"United States Exclusive Economic Zone"
-74.625,38.375,0.0146626544715695,649,"United States Exclusive Economic Zone"
-74.375,38.375,0.000146812885362446,734,"United States Exclusive Economic Zone"
-74.125,38.375,0.0881665568472453,734,"United States Exclusive Economic Zone"
-73.875,38.375,0.00519836505278203,734,"United States Exclusive Economic Zone"
-73.625,38.375,0.0276837438321812,734,"United States Exclusive Economic Zone"
-73.375,38.375,0.00117687607241605,734,"United States Exclusive Economic Zone"
-76.125,38.125,5.62937213691096,676,"United States Exclusive Economic Zone"
