"Species","EEZ","p2","p4","Average","Max"
"Panulirus polyphagus","Australian Exclusive Economic Zone",1,0.774598743893929,4.83002314679992,7.47871807500334
"Panulirus polyphagus","Bangladeshi Exclusive Economic Zone",0.383838383838384,0.131313131313131,1.92893270851983,6.13598580964193
"Panulirus polyphagus","Bruneian Exclusive Economic Zone",1,1,4.97899294107304,6.84080327497881
"Panulirus polyphagus","Cambodian Exclusive Economic Zone",1,0.477272727272727,3.8716582230102,5.24831983631616
"Panulirus polyphagus","Chagos Archipelago Exclusive Economic Zone",1,1,6.2055005497687,6.57291495274542
"Panulirus polyphagus","Chinese Exclusive Economic Zone",0.408376963350785,0.198952879581152,2.36339750766711,5.75237339242453
"Panulirus polyphagus","Christmas Island Exclusive Economic Zone",1,0,2.6982916052907,2.7221767736921
"Panulirus polyphagus","East Timorian Exclusive Economic Zone",1,1,5.6829311224253,6.22322766234007
"Panulirus polyphagus","Indian Exclusive Economic Zone",0.879959308240081,0.786368260427263,5.71428490615251,8.2923610758136
"Panulirus polyphagus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.853658536585366,0.480836236933798,3.52877585673722,5.92926966346599
"Panulirus polyphagus","Indonesian Exclusive Economic Zone",0.989495798319328,0.852779573367809,5.21689288840293,8.2923610758136
"Panulirus polyphagus","Japanese Exclusive Economic Zone",1,1,5.46315738709528,5.52264507423817
"Panulirus polyphagus","Joint regime area Australia / Papua New Guinea",1,0,3.36082209287466,3.54782545567031
"Panulirus polyphagus","Malaysian Exclusive Economic Zone",0.998477929984779,0.642313546423135,4.63812727647695,8.2923610758136
"Panulirus polyphagus","Maldives Exclusive Economic Zone",1,1,7.19745626601962,7.71150251857516
"Panulirus polyphagus","Myanmar Exclusive Economic Zone",0.521575984990619,0.138836772983114,2.29861438163071,5.39201976479739
"Panulirus polyphagus","Oecussi Ambeno Exclusive Economic Zone",1,1,4.09104782354904,4.21160914135607
"Panulirus polyphagus","Overlapping claim South China Sea",0.728476821192053,0.384105960264901,3.31207687809498,7.37574803658832
"Panulirus polyphagus","Pakistani Exclusive Economic Zone",1,0.8,5.55323363312165,7.95603812548153
"Panulirus polyphagus","Palau Exclusive Economic Zone",1,1,6.17380594661668,6.25113017787428
"Panulirus polyphagus","Papua New Guinean Exclusive Economic Zone",1,0.440443213296399,4.24100968337889,6.70979211944869
"Panulirus polyphagus","Philippines Exclusive Economic Zone",1,0.984444444444444,6.03577897439657,8.2923610758136
"Panulirus polyphagus","Sri Lankan Exclusive Economic Zone",1,0.961538461538462,6.06368818775384,8.2923610758136
"Panulirus polyphagus","Taiwanese Exclusive Economic Zone",1,0.730769230769231,4.35579170052936,5.52264507423817
"Panulirus polyphagus","Thailand Exclusive Economic Zone",0.961165048543689,0.625242718446602,4.14481599446364,8.20953615160139
"Panulirus polyphagus","Vietnamese Exclusive Economic Zone",0.633802816901408,0.100156494522692,2.48036387991932,5.90635035659022
