"x","y","sigmaNovelty","cell","EEZ"
65.375,25.375,3.81098046746436,2529,NA
65.875,25.375,4.40610631287086,2529,"Pakistani Exclusive Economic Zone"
66.125,25.375,5.14995103140008,2529,"Pakistani Exclusive Economic Zone"
66.375,25.375,5.75148650784761,2556,"Pakistani Exclusive Economic Zone"
64.625,25.125,6.10538060238884,2528,"Pakistani Exclusive Economic Zone"
64.875,25.125,5.46432480823209,2528,"Pakistani Exclusive Economic Zone"
65.125,25.125,4.58015556017775,2528,"Pakistani Exclusive Economic Zone"
65.375,25.125,4.06444369053039,2528,"Pakistani Exclusive Economic Zone"
65.625,25.125,3.93438261016018,2528,"Pakistani Exclusive Economic Zone"
65.875,25.125,4.43795399001613,2528,"Pakistani Exclusive Economic Zone"
66.125,25.125,5.25232075440792,2528,"Pakistani Exclusive Economic Zone"
66.375,25.125,5.62239680314662,2556,"Pakistani Exclusive Economic Zone"
66.625,25.125,5.86217405906746,2556,"Pakistani Exclusive Economic Zone"
64.125,24.875,5.90652809357673,2501,"Pakistani Exclusive Economic Zone"
64.375,24.875,6.01197492934883,2501,"Pakistani Exclusive Economic Zone"
64.875,24.875,5.81100360656665,2528,"Pakistani Exclusive Economic Zone"
65.125,24.875,5.62877466220783,2528,"Pakistani Exclusive Economic Zone"
65.375,24.875,5.13904543491685,2528,"Pakistani Exclusive Economic Zone"
65.625,24.875,5.12280514084282,2528,"Pakistani Exclusive Economic Zone"
65.875,24.875,5.40345799590428,2528,"Pakistani Exclusive Economic Zone"
66.125,24.875,5.6073546281922,2528,"Pakistani Exclusive Economic Zone"
66.375,24.875,5.63468911793938,2528,"Pakistani Exclusive Economic Zone"
66.625,24.875,5.18606796129994,2556,"Pakistani Exclusive Economic Zone"
64.125,24.625,6.63264307538514,2501,"Pakistani Exclusive Economic Zone"
64.375,24.625,6.58556687331942,2528,"Pakistani Exclusive Economic Zone"
65.625,24.625,6.27072354271167,2528,"Pakistani Exclusive Economic Zone"
65.875,24.625,6.32655729406564,2528,"Pakistani Exclusive Economic Zone"
