"x","y","sigmaNovelty","cell","EEZ"
23.875,71.625,0.216210398614075,3078,"Norwegian Exclusive Economic Zone"
24.125,71.625,0.215176186693678,3078,"Norwegian Exclusive Economic Zone"
24.375,71.625,0.229541007352042,3078,"Norwegian Exclusive Economic Zone"
24.625,71.625,0.253656068478205,3078,"Norwegian Exclusive Economic Zone"
24.875,71.625,0.267995086280014,3078,"Norwegian Exclusive Economic Zone"
25.125,71.625,0.279220708741848,3078,"Norwegian Exclusive Economic Zone"
25.375,71.625,0.337591187170075,3078,"Norwegian Exclusive Economic Zone"
25.625,71.625,0.346725792397185,3078,"Norwegian Exclusive Economic Zone"
23.625,71.375,0.128464325987237,3078,"Norwegian Exclusive Economic Zone"
23.875,71.375,0.117716435841429,3078,"Norwegian Exclusive Economic Zone"
24.125,71.375,0.122529102908917,3078,"Norwegian Exclusive Economic Zone"
24.375,71.375,0.144051013409738,3078,"Norwegian Exclusive Economic Zone"
24.625,71.375,0.185053810567893,3078,"Norwegian Exclusive Economic Zone"
24.875,71.375,0.216697431789728,3078,"Norwegian Exclusive Economic Zone"
25.125,71.375,0.236062991008072,3078,"Norwegian Exclusive Economic Zone"
25.375,71.375,0.2307032877092,3078,"Norwegian Exclusive Economic Zone"
25.625,71.375,0.242684575717345,3078,"Norwegian Exclusive Economic Zone"
25.875,71.375,0.300526060265088,3078,"Norwegian Exclusive Economic Zone"
27.125,71.375,0.356306577376736,3078,"Norwegian Exclusive Economic Zone"
27.375,71.375,0.334239542466959,3078,"Norwegian Exclusive Economic Zone"
28.625,71.375,0.298907165652471,3078,"Norwegian Exclusive Economic Zone"
28.875,71.375,0.349792381807657,3078,"Norwegian Exclusive Economic Zone"
20.375,71.125,0.255256389527392,3079,"Norwegian Exclusive Economic Zone"
20.625,71.125,0.222736980500091,3079,"Norwegian Exclusive Economic Zone"
21.875,71.125,0.192957931368491,3079,"Norwegian Exclusive Economic Zone"
22.125,71.125,0.184586603644165,3079,"Norwegian Exclusive Economic Zone"
22.375,71.125,0.184862337722015,3079,"Norwegian Exclusive Economic Zone"
22.625,71.125,0.170225202474707,3078,"Norwegian Exclusive Economic Zone"
22.875,71.125,0.148211368922758,3078,"Norwegian Exclusive Economic Zone"
23.125,71.125,0.108879076475198,3078,"Norwegian Exclusive Economic Zone"
