"Species","EEZ","p2","p4","Average","Max"
"Pecten jacobaeus","Albanian Exclusive Economic Zone",0.0697674418604651,0,1.03432071620606,2.15954938635021
"Pecten jacobaeus","Algerian Exclusive Economic Zone",0,0,0.398389957227287,1.26137565143168
"Pecten jacobaeus","Cape Verdean Exclusive Economic Zone",1,1,6.03692118401323,7.71732772601349
"Pecten jacobaeus","Congolese Exclusive Economic Zone",1,0,3.11537033249899,3.62573296198155
"Pecten jacobaeus","Croatian Exclusive Economic Zone",0.0410958904109589,0.00684931506849315,1.04551675174809,4.10090135901953
"Pecten jacobaeus","Cypriote Exclusive Economic Zone",0.963636363636364,0.790909090909091,5.69102447574406,7.77869805101208
"Pecten jacobaeus","Egyptian Exclusive Economic Zone",1,0.871345029239766,5.36636828819976,7.76082760136306
"Pecten jacobaeus","Equatorial Guinean Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Pecten jacobaeus","French Exclusive Economic Zone",0.0326797385620915,0.0130718954248366,0.489512021847054,4.09362455798999
"Pecten jacobaeus","Gabonese Exclusive Economic Zone",1,0,2.94382955946464,3.20871155273822
"Pecten jacobaeus","Ghanaian Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Pecten jacobaeus","Greek Exclusive Economic Zone",0.244399185336049,0.0244399185336049,1.3434319400997,6.06318792389548
"Pecten jacobaeus","Israeli Exclusive Economic Zone",1,1,6.07366590304238,7.20252344691613
"Pecten jacobaeus","Italian Exclusive Economic Zone",0.0784982935153584,0.0193401592718999,1.07239939371239,8.2923610758136
"Pecten jacobaeus","Joint regime area Croatia / Slovenia",0,0,1.56353884971383,1.56353884971383
"Pecten jacobaeus","Joint regime area Italy / France",0,0,0.396158322075647,0.396158322075647
"Pecten jacobaeus","Lebanese Exclusive Economic Zone",1,0.96875,6.63196547122181,8.20953615160139
"Pecten jacobaeus","Libyan Exclusive Economic Zone",0.567088607594937,0.0481012658227848,2.37216992818713,4.98374329090711
"Pecten jacobaeus","Maltese Exclusive Economic Zone",0.0595238095238095,0,1.50129871540447,2.27260984597687
"Pecten jacobaeus","Monégasque Exclusive Economic Zone",0,0,0.274854092339617,0.531241481182828
"Pecten jacobaeus","Montenegrin Exclusive economic Zone",0,0,0.974030618673477,1.38260089073217
"Pecten jacobaeus","Moroccan Exclusive Economic Zone",0,0,0.0945378955624417,0.76706899051938
"Pecten jacobaeus","Namibian Exclusive Economic Zone",0,0,0.0030565911311944,0.0113586281439807
"Pecten jacobaeus","Nigerian Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Pecten jacobaeus","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.418629826198823,0.418629826198823
"Pecten jacobaeus","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0795634307982747,0.0921298546992155
"Pecten jacobaeus","Overlapping claim Melilla: Spain / Morocco",0,0,0.246514294085119,0.246514294085119
"Pecten jacobaeus","Overlapping claim Western Saharan Exclusive Economic Zone",0.0606060606060606,0.0227272727272727,0.777082503102365,6.15597248608079
"Pecten jacobaeus","Palestinian Exclusive Economic Zone",1,1,6.64495339308885,6.89493292215572
"Pecten jacobaeus","Portuguese Exclusive Economic Zone",0,0,0.160452434189122,1.53138612998068
"Pecten jacobaeus","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0710802662616928,0.936049274955825
"Pecten jacobaeus","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.226797656971025,0.56419495496112
"Pecten jacobaeus","Slovenian Exclusive Economic Zone",1,0,3.59446954503658,3.59446954503658
"Pecten jacobaeus","South African Exclusive Economic Zone",0.115942028985507,0.0326086956521739,0.830495424903758,5.19292587706199
"Pecten jacobaeus","Spanish Exclusive Economic Zone",0.0102040816326531,0.00408163265306122,0.390608800235084,4.09362455798999
"Pecten jacobaeus","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.303956366097737,1.97830355173549
"Pecten jacobaeus","St. Helena Exclusive Economic Zone",0.5,0.5,2.39758428382012,4.54215021633859
"Pecten jacobaeus","Syrian Exclusive Economic Zone",1,1,7.81980020568997,8.2923610758136
"Pecten jacobaeus","Tunisian Exclusive Economic Zone",0.164383561643836,0.00342465753424658,1.26389940759081,4.07102295922639
"Pecten jacobaeus","Turkish Exclusive Economic Zone",0.705501618122977,0.420711974110032,3.83777823290556,8.2923610758136
