"x","y","sigmaNovelty","cell","EEZ"
13.125,45.625,4.69801776371243,1565,"Italian Exclusive Economic Zone"
13.375,45.625,3.87412537325401,1593,"Italian Exclusive Economic Zone"
13.625,45.625,3.59446954503658,1593,"Slovenian Exclusive Economic Zone"
12.375,45.375,8.2923610758136,1565,"Italian Exclusive Economic Zone"
12.625,45.375,8.2923610758136,1565,"Italian Exclusive Economic Zone"
12.875,45.375,6.16600305638143,1565,"Italian Exclusive Economic Zone"
13.125,45.375,4.10090135901953,1565,"Italian Exclusive Economic Zone"
13.375,45.375,1.56353884971383,1593,"Croatian Exclusive Economic Zone"
12.375,45.125,8.2923610758136,1565,"Italian Exclusive Economic Zone"
12.625,45.125,8.2923610758136,1565,"Italian Exclusive Economic Zone"
12.875,45.125,8.2923610758136,1565,"Italian Exclusive Economic Zone"
13.125,45.125,3.64269580493804,1592,"Croatian Exclusive Economic Zone"
13.375,45.125,0.458904288955578,1593,"Croatian Exclusive Economic Zone"
14.375,45.125,0.641194260301089,1593,"Croatian Exclusive Economic Zone"
12.625,44.875,8.2923610758136,1592,"Italian Exclusive Economic Zone"
12.875,44.875,8.2923610758136,1592,"Italian Exclusive Economic Zone"
13.125,44.875,3.52801545313759,1592,"Croatian Exclusive Economic Zone"
13.375,44.875,1.46792816383764,1592,"Croatian Exclusive Economic Zone"
13.625,44.875,0.916929660897906,1592,"Croatian Exclusive Economic Zone"
14.125,44.875,0.819693081100354,1592,"Croatian Exclusive Economic Zone"
14.625,44.875,0.507565332807218,1593,"Croatian Exclusive Economic Zone"
14.875,44.875,0.36595841230987,1593,"Croatian Exclusive Economic Zone"
12.375,44.625,8.16070784085858,1592,"Italian Exclusive Economic Zone"
12.625,44.625,8.2923610758136,1592,"Italian Exclusive Economic Zone"
12.875,44.625,8.2923610758136,1592,"Italian Exclusive Economic Zone"
13.125,44.625,2.1939227808374,1592,"Croatian Exclusive Economic Zone"
13.375,44.625,0.500095102382336,1592,"Croatian Exclusive Economic Zone"
13.625,44.625,0.681155296641419,1592,"Croatian Exclusive Economic Zone"
13.875,44.625,0.812454786830977,1592,"Croatian Exclusive Economic Zone"
14.125,44.625,0.908968176762166,1592,"Croatian Exclusive Economic Zone"
14.375,44.625,0.846191907038663,1592,NA
14.625,44.625,0.821231541725589,1592,"Croatian Exclusive Economic Zone"
14.875,44.625,0.455492301295236,1592,"Croatian Exclusive Economic Zone"
8.875,44.375,0.0839311359853418,1564,"Italian Exclusive Economic Zone"
12.375,44.375,8.2923610758136,1592,"Italian Exclusive Economic Zone"
12.625,44.375,7.96402361512231,1592,"Italian Exclusive Economic Zone"
12.875,44.375,5.24011679546705,1592,"Italian Exclusive Economic Zone"
13.125,44.375,1.86278821127371,1592,"Italian Exclusive Economic Zone"
13.375,44.375,1.03232684428324,1592,"Croatian Exclusive Economic Zone"
13.625,44.375,1.30763185146496,1592,"Croatian Exclusive Economic Zone"
13.875,44.375,0.989920416870042,1592,"Croatian Exclusive Economic Zone"
14.125,44.375,1.05222547603274,1592,"Croatian Exclusive Economic Zone"
14.375,44.375,1.31856276593341,1592,"Croatian Exclusive Economic Zone"
14.625,44.375,1.08239895367599,1592,"Croatian Exclusive Economic Zone"
14.875,44.375,0.956903526682582,1592,"Croatian Exclusive Economic Zone"
8.375,44.125,0.196533385792004,1564,"Italian Exclusive Economic Zone"
8.625,44.125,0.469024323231188,1564,"Italian Exclusive Economic Zone"
8.875,44.125,0.75572667287356,1564,"Italian Exclusive Economic Zone"
9.125,44.125,0.515294478939509,1564,"Italian Exclusive Economic Zone"
9.375,44.125,0.245573014177273,1564,"Italian Exclusive Economic Zone"
9.625,44.125,0.00267362728258525,1564,"Italian Exclusive Economic Zone"
12.625,44.125,8.01401594877555,1592,"Italian Exclusive Economic Zone"
12.875,44.125,3.43413778779742,1592,"Italian Exclusive Economic Zone"
13.125,44.125,1.51792662522189,1592,"Italian Exclusive Economic Zone"
13.375,44.125,0.761348559794635,1592,"Italian Exclusive Economic Zone"
13.625,44.125,1.44545035427549,1592,"Italian Exclusive Economic Zone"
13.875,44.125,0.661271456586502,1592,"Croatian Exclusive Economic Zone"
14.125,44.125,0.276397097456217,1592,"Croatian Exclusive Economic Zone"
14.375,44.125,0.141538848808935,1592,"Croatian Exclusive Economic Zone"
14.625,44.125,0.0450461384183518,1592,"Croatian Exclusive Economic Zone"
14.875,44.125,0.0395121500213986,1592,"Croatian Exclusive Economic Zone"
8.125,43.875,0.0445445647109194,1564,"Italian Exclusive Economic Zone"
8.375,43.875,0.592508167235524,1564,"Italian Exclusive Economic Zone"
8.625,43.875,0.944352294099531,1564,"Italian Exclusive Economic Zone"
8.875,43.875,0.941924015698703,1564,"Italian Exclusive Economic Zone"
9.125,43.875,0.968915687392948,1564,"Italian Exclusive Economic Zone"
9.375,43.875,1.05317132988565,1564,"Italian Exclusive Economic Zone"
9.625,43.875,0.525768829952193,1564,"Italian Exclusive Economic Zone"
9.875,43.875,0.0383309167425451,1564,"Italian Exclusive Economic Zone"
10.125,43.875,0.0921208397951223,1564,"Italian Exclusive Economic Zone"
13.125,43.875,1.92612924011849,1592,"Italian Exclusive Economic Zone"
13.375,43.875,1.34293639514088,1592,"Italian Exclusive Economic Zone"
13.625,43.875,0.860068516238784,1592,"Italian Exclusive Economic Zone"
13.875,43.875,0.969119899861634,1592,"Italian Exclusive Economic Zone"
14.125,43.875,0.457691088693978,1592,"Italian Exclusive Economic Zone"
14.375,43.875,0.217185796807794,1592,"Croatian Exclusive Economic Zone"
14.625,43.875,0.216522730360705,1592,"Croatian Exclusive Economic Zone"
14.875,43.875,0.103216855713359,1592,"Croatian Exclusive Economic Zone"
15.125,43.875,0.0312379545498963,1620,"Croatian Exclusive Economic Zone"
15.375,43.875,0.0134764919185187,1620,"Croatian Exclusive Economic Zone"
7.375,43.625,0.000933651336401685,1536,"French Exclusive Economic Zone"
7.625,43.625,0.0184667034964065,1564,"Italian Exclusive Economic Zone"
7.875,43.625,0.0604439011001788,1564,"Italian Exclusive Economic Zone"
8.125,43.625,0.407999918861271,1564,"Italian Exclusive Economic Zone"
8.375,43.625,0.775348055483049,1564,"Italian Exclusive Economic Zone"
9.375,43.625,0.771194717589616,1564,"Italian Exclusive Economic Zone"
9.625,43.625,0.770475155401874,1564,"Italian Exclusive Economic Zone"
9.875,43.625,0.943823314949486,1564,"Italian Exclusive Economic Zone"
10.125,43.625,0.375578977058062,1564,"Italian Exclusive Economic Zone"
13.625,43.625,1.71230855541827,1592,"Italian Exclusive Economic Zone"
13.875,43.625,1.63487694849511,1592,"Italian Exclusive Economic Zone"
14.125,43.625,0.702773805257557,1592,"Italian Exclusive Economic Zone"
14.375,43.625,0.283118709922463,1592,"Italian Exclusive Economic Zone"
14.625,43.625,0.283988553243977,1592,"Croatian Exclusive Economic Zone"
14.875,43.625,0.522238954560987,1592,"Croatian Exclusive Economic Zone"
15.125,43.625,0.509213408228246,1620,"Croatian Exclusive Economic Zone"
15.375,43.625,0.32125438713069,1620,"Croatian Exclusive Economic Zone"
15.625,43.625,0.372147857662695,1620,"Croatian Exclusive Economic Zone"
15.875,43.625,0.250269620705328,1620,"Croatian Exclusive Economic Zone"
3.875,43.375,0.134959062997334,1535,"French Exclusive Economic Zone"
4.125,43.375,1.21580641697873,1535,"French Exclusive Economic Zone"
4.375,43.375,2.98032591327225,1536,"French Exclusive Economic Zone"
4.875,43.375,4.09362455798999,1536,"French Exclusive Economic Zone"
6.875,43.375,0.00968097890679233,1536,"French Exclusive Economic Zone"
7.125,43.375,0.0303202755484369,1536,"French Exclusive Economic Zone"
7.375,43.375,0.146294047034587,1536,"French Exclusive Economic Zone"
7.625,43.375,0.531241481182828,1564,"French Exclusive Economic Zone"
7.875,43.375,0.641079331851204,1564,"Italian Exclusive Economic Zone"
8.125,43.375,0.594168874824284,1564,"Italian Exclusive Economic Zone"
9.125,43.375,0.633339736573461,1564,"French Exclusive Economic Zone"
9.375,43.375,0.702487651784688,1564,"Italian Exclusive Economic Zone"
9.625,43.375,0.686062303742383,1564,"Italian Exclusive Economic Zone"
9.875,43.375,0.819937548905967,1564,"Italian Exclusive Economic Zone"
10.125,43.375,1.01543819134747,1564,"Italian Exclusive Economic Zone"
10.375,43.375,0.340093908649196,1564,"Italian Exclusive Economic Zone"
13.875,43.375,2.03299562322311,1592,"Italian Exclusive Economic Zone"
14.125,43.375,0.987052792650482,1592,"Italian Exclusive Economic Zone"
14.375,43.375,0.483467556601175,1592,"Italian Exclusive Economic Zone"
14.625,43.375,0.48360298868773,1592,"Croatian Exclusive Economic Zone"
14.875,43.375,1.33829147535703,1592,"Croatian Exclusive Economic Zone"
15.125,43.375,1.2660672859005,1620,"Croatian Exclusive Economic Zone"
15.375,43.375,1.1122502046342,1620,"Croatian Exclusive Economic Zone"
15.625,43.375,1.1444229198867,1620,"Croatian Exclusive Economic Zone"
15.875,43.375,0.983013995459346,1620,"Croatian Exclusive Economic Zone"
16.125,43.375,0.0794071606396546,1620,"Croatian Exclusive Economic Zone"
16.375,43.375,0.108201733687702,1620,"Croatian Exclusive Economic Zone"
16.875,43.375,0.327335019676064,1620,"Croatian Exclusive Economic Zone"
3.375,43.125,0.134014048968754,1535,"French Exclusive Economic Zone"
3.625,43.125,0.100514838756238,1535,"French Exclusive Economic Zone"
3.875,43.125,0.0762771042728697,1535,"French Exclusive Economic Zone"
4.125,43.125,0.393957643156111,1535,"French Exclusive Economic Zone"
4.375,43.125,2.86552637318951,1535,"French Exclusive Economic Zone"
4.625,43.125,4.06071963151558,1535,"French Exclusive Economic Zone"
4.875,43.125,3.47335110960228,1536,"French Exclusive Economic Zone"
5.125,43.125,1.41424158196677,1536,"French Exclusive Economic Zone"
5.375,43.125,0.0279276892686681,1536,"French Exclusive Economic Zone"
5.625,43.125,0.0355499446120716,1536,"French Exclusive Economic Zone"
6.375,43.125,0.00707236063872869,1536,"French Exclusive Economic Zone"
6.625,43.125,0.0466903721951876,1536,"French Exclusive Economic Zone"
