"x","y","sigmaNovelty","cell","EEZ"
127.125,34.375,2.60385611334152,3220,"South Korean Exclusive Economic Zone"
127.375,34.375,2.62135894051498,3220,"South Korean Exclusive Economic Zone"
135.125,34.375,2.39703456301409,3302,"Japanese Exclusive Economic Zone"
127.125,34.125,1.77343027019502,3220,"South Korean Exclusive Economic Zone"
127.375,34.125,1.52205722907439,3220,"South Korean Exclusive Economic Zone"
134.875,34.125,1.83620927364497,3302,"Japanese Exclusive Economic Zone"
135.125,34.125,0.988417521553544,3302,"Japanese Exclusive Economic Zone"
134.875,33.875,1.10086878989526,3302,"Japanese Exclusive Economic Zone"
135.125,33.875,0.598115635628958,3302,"Japanese Exclusive Economic Zone"
136.125,33.875,0.000983206203285883,3302,"Japanese Exclusive Economic Zone"
136.375,33.875,0.00113917694446648,3302,"Japanese Exclusive Economic Zone"
139.875,33.875,0.052482776817449,3357,"Japanese Exclusive Economic Zone"
135.125,33.625,0.0355635422310177,3302,"Japanese Exclusive Economic Zone"
135.375,33.625,0.026216154770806,3302,"Japanese Exclusive Economic Zone"
136.125,33.625,0.00170376845161376,3302,"Japanese Exclusive Economic Zone"
136.375,33.625,0.000674701817020662,3302,"Japanese Exclusive Economic Zone"
139.375,33.625,0.171184918753329,3357,"Japanese Exclusive Economic Zone"
139.625,33.625,0.177804739161759,3357,"Japanese Exclusive Economic Zone"
139.875,33.625,0.172520919312216,3357,"Japanese Exclusive Economic Zone"
140.125,33.625,0.158172011951794,3357,"Japanese Exclusive Economic Zone"
135.375,33.375,0.0938715084091819,3302,"Japanese Exclusive Economic Zone"
135.625,33.375,0.10853883300066,3302,"Japanese Exclusive Economic Zone"
135.875,33.375,0.0761604831690832,3302,"Japanese Exclusive Economic Zone"
136.125,33.375,0.0883106251986444,3302,"Japanese Exclusive Economic Zone"
139.375,33.375,0.169179627335148,3357,"Japanese Exclusive Economic Zone"
139.625,33.375,0.177350638474302,3357,"Japanese Exclusive Economic Zone"
139.875,33.375,0.178499814676545,3357,"Japanese Exclusive Economic Zone"
