"Species","EEZ","p2","p4","Average","Max"
"Penaeus penicillatus","Chinese Exclusive Economic Zone",0.449385052034059,0.184484389782403,2.15418417204167,8.16070784085858
"Penaeus penicillatus","Indian Exclusive Economic Zone",0.994413407821229,0.983240223463687,7.32228744173917,8.2923610758136
"Penaeus penicillatus","Iranian Exclusive Economic Zone",1,1,8.28306440064692,8.2923610758136
"Penaeus penicillatus","Japanese Exclusive Economic Zone",0.23121387283237,0.0520231213872832,1.4097757959972,4.83897562190292
"Penaeus penicillatus","Joint regime area Japan / Korea",0.0862068965517241,0,1.00602085045659,2.39079168211262
"Penaeus penicillatus","Omani Exclusive Economic Zone",0.947368421052632,0.729323308270677,6.03299419628883,8.2923610758136
"Penaeus penicillatus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0.414285714285714,0.121428571428571,1.92255757993531,4.83897562190292
"Penaeus penicillatus","Pakistani Exclusive Economic Zone",1,1,7.08095769393202,8.2923610758136
"Penaeus penicillatus","Philippines Exclusive Economic Zone",0.97972972972973,0.844594594594595,5.53152299329591,7.54258586271538
"Penaeus penicillatus","Taiwanese Exclusive Economic Zone",0.528784648187633,0.32409381663113,2.60510902440276,6.93001102192107
"Penaeus penicillatus","United Arab Emirates Exclusive Economic Zone",1,1,8.28315830645668,8.2923610758136
"Penaeus penicillatus","Vietnamese Exclusive Economic Zone",0.403645833333333,0.0677083333333333,1.71097673078334,4.77991533750807
"Penaeus penicillatus","Yemeni Exclusive Economic Zone",1,1,5.2335840792644,6.55009223110209
