"Species","EEZ","p2","p4","Average","Max"
"Perna perna","Algerian Exclusive Economic Zone",0,0,0.143517501799666,0.172698059483932
"Perna perna","Angolan Exclusive Economic Zone",0.0531914893617021,0.0212765957446809,0.566686741150974,6.81240748419895
"Perna perna","Argentinean Exclusive Economic Zone",0.0643086816720257,0.0160771704180064,0.804301508451736,8.2923610758136
"Perna perna","Aruban Exclusive Economic Zone",0.333333333333333,0,1.78803357761515,2.3607918963892
"Perna perna","Bahamas Exclusive Economic Zone",0.840625,0.38125,3.59615884770053,7.27492552039656
"Perna perna","Barbados Exclusive Economic Zone",1,0,2.6272422396291,2.83138329810385
"Perna perna","Belizean Exclusive Economic Zone",1,1,7.00778399807393,8.2923610758136
"Perna perna","Beninese Exclusive Economic Zone",0,0,0.204551698578036,0.565760698524738
"Perna perna","Brazilian Exclusive Economic Zone",0.172804532577904,0.104815864022663,1.00250983035749,8.2923610758136
"Perna perna","Cape Verdean Exclusive Economic Zone",0,0,0.00444250497029725,0.0181608281340418
"Perna perna","Chilean Exclusive Economic Zone",0,0,0.495433535900092,1.9296920757642
"Perna perna","Colombian Exclusive Economic Zone",0.77720207253886,0.642487046632124,4.28643952725219,7.89571397328028
"Perna perna","Comoran Exclusive Economic Zone",1,0,3.35827860862802,3.38531685035583
"Perna perna","Costa Rican Exclusive Economic Zone",1,0.86046511627907,4.9985323062908,6.02344579537932
"Perna perna","Cuban Exclusive Economic Zone",0.951388888888889,0.642361111111111,4.46777897443073,7.27492552039656
"Perna perna","Curaçaoan Exclusive Economic Zone",0,0,1.77065750430958,1.82646930498806
"Perna perna","Democratic Republic of the Congo Exclusive Economic Zone",1,0.5,3.66096849552108,4.38483985328285
"Perna perna","Djiboutian Exclusive Economic Zone",1,1,8.28859630653122,8.2923610758136
"Perna perna","Ecuadorian Exclusive Economic Zone",0.0317460317460317,0,0.193941633685787,3.09957434472225
"Perna perna","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.255848746046186,1.01259898333089
"Perna perna","Equatorial Guinean Exclusive Economic Zone",0,0,0.433908880819427,1.47405286524224
"Perna perna","Eritrean Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Perna perna","French Exclusive Economic Zone",0,0,0.473352418956024,1.96774236305767
"Perna perna","French Guiana Exclusive Economic Zone",0.134146341463415,0,0.603898856556402,3.32177362318984
"Perna perna","Gabonese Exclusive Economic Zone",0,0,0.437321132259431,1.47405286524224
"Perna perna","Gambian Exclusive Economic Zone",0,0,0.551982196573881,1.91081133049616
"Perna perna","Ghanaian Exclusive Economic Zone",0.0327868852459016,0,0.615861288175338,2.28573341893183
"Perna perna","Grenadian Exclusive Economic Zone",0.636363636363636,0,2.00682410105679,2.8168131037014
"Perna perna","Guatemalan Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Perna perna","Guernsey Exclusive Economic Zone",0,0,0.100569555794909,0.584591060141115
"Perna perna","Guinea Bissau Exclusive Economic Zone",0.25,0.125,1.24798765080615,5.75863934422536
"Perna perna","Guinean Exclusive Economic Zone",0.130434782608696,0.0434782608695652,1.00411168835181,4.78827269095437
"Perna perna","Guyanese Exclusive Economic Zone",0.313725490196078,0.0294117647058824,1.71037569981954,4.48659418929347
"Perna perna","Honduran Exclusive Economic Zone",1,1,6.65208415892944,7.90060372493453
"Perna perna","Indian Exclusive Economic Zone",0.991578947368421,0.926315789473684,6.58667023769964,8.2923610758136
"Perna perna","Iranian Exclusive Economic Zone",1,1,8.1264916099669,8.2923610758136
"Perna perna","Irish Exclusive Economic Zone",0,0,0.097219273961087,1.0958715391999
"Perna perna","Italian Exclusive Economic Zone",0,0,0.379393821707454,0.431647274002793
"Perna perna","Ivory Coast Exclusive Economic Zone",0.0212765957446809,0,0.648414010576584,2.03502074175462
"Perna perna","Jersey Exclusive Economic Zone",0,0,1.00279888605557,1.65963484177234
"Perna perna","Joint regime area Argentina / Uruguay",0.363636363636364,0,1.38010998002311,3.63734747452887
"Perna perna","Joint regime area Peru / Ecuador",0,0,0.0786336734016068,0.142785639480969
"Perna perna","Joint regime area Senegal / Guinea Bissau",0,0,0.160873056908014,0.340865662605402
"Perna perna","Juan de Nova Exclusive Economic Zone",1,0,3.4252428980353,3.74943457029664
"Perna perna","Kenyan Exclusive Economic Zone",0.176470588235294,0,1.53909390205937,2.70001152560587
"Perna perna","Liberian Exclusive Economic Zone",0.0862068965517241,0,1.23907658908349,2.58414459289919
"Perna perna","Madagascan Exclusive Economic Zone",0.579514824797844,0.202156334231806,2.22383849989302,6.4789146082026
"Perna perna","Maldives Exclusive Economic Zone",1,1,7.49236803278707,7.72852173521312
"Perna perna","Mauritanian Exclusive Economic Zone",0.381818181818182,0.0909090909090909,1.90543854396797,8.2923610758136
"Perna perna","Mexican Exclusive Economic Zone",0.825892857142857,0.625,4.60551767973902,8.2923610758136
"Perna perna","Moroccan Exclusive Economic Zone",0,0,0.274500450995564,0.901910057235675
"Perna perna","Mozambican Exclusive Economic Zone",0.33695652173913,0,1.12674651597682,3.6286483609767
"Perna perna","Namibian Exclusive Economic Zone",0.25,0.155172413793103,1.80659110161132,8.2923610758136
"Perna perna","Nicaraguan Exclusive Economic Zone",1,0.882352941176471,5.6714960991616,8.2923610758136
"Perna perna","Nigerian Exclusive Economic Zone",0,0,0.513203667007062,1.73527332461103
"Perna perna","Omani Exclusive Economic Zone",0.766497461928934,0.548223350253807,4.8488071470861,8.2923610758136
"Perna perna","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.101482718803885,0.101482718803885
"Perna perna","Overlapping claim Falkland / Malvinas Islands: UK / Argentina",1,1,8.2923610758136,8.2923610758136
"Perna perna","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.152153068644163,0.236759313754595
"Perna perna","Overlapping claim Glorioso Islands: France / Madagascar",0.888888888888889,0.333333333333333,3.15276434410834,4.1360718847745
"Perna perna","Overlapping claim Mayotte: France / Comoros",1,0,3.35827860862802,3.38531685035583
"Perna perna","Overlapping claim Melilla: Spain / Morocco",0,0,0.144157480035736,0.144157480035736
"Perna perna","Overlapping claim Western Saharan Exclusive Economic Zone",0.137931034482759,0.0344827586206897,0.914748579209483,8.2923610758136
"Perna perna","Overlapping claim: Kenya / Somalia",0,0,1.76312088111415,1.94728048301829
"Perna perna","Pakistani Exclusive Economic Zone",1,0.763779527559055,5.25684689763334,8.04139995909654
"Perna perna","Panamanian Exclusive Economic Zone",0.965909090909091,0.897727272727273,5.28647325207026,7.21455088479575
"Perna perna","Peruvian Exclusive Economic Zone",0.528409090909091,0.323863636363636,3.22919845518282,8.2923610758136
"Perna perna","Portuguese Exclusive Economic Zone",0,0,0.474552874140898,1.42755200923897
"Perna perna","Saint Lucia Exclusive Economic Zone",1,0,2.77571604297639,2.80127360287305
"Perna perna","Saint Vincent and the Grenadines Exclusive Economic Zone",1,0,2.59508637916455,2.8168131037014
"Perna perna","Sao Tome and Principe Exclusive Economic Zone",0,0,0.385502456267467,0.519452554043721
