"Species","EEZ","p2","p4","Average","Max"
"Perna viridis","Australian Exclusive Economic Zone",0.887191539365452,0.833137485311398,5.99666129150391,8.2923610758136
"Perna viridis","Bangladeshi Exclusive Economic Zone",0.0666666666666667,0,1.03416589157877,2.42768310233698
"Perna viridis","Bruneian Exclusive Economic Zone",1,1,5.97386291423077,7.71264655563828
"Perna viridis","Cambodian Exclusive Economic Zone",1,0.893939393939394,4.8634279969924,6.23166204196917
"Perna viridis","Chinese Exclusive Economic Zone",0.307339449541284,0.0672782874617737,1.45183199501955,6.7118764012066
"Perna viridis","Christmas Island Exclusive Economic Zone",1,0,3.69335733558667,3.7373179277443
"Perna viridis","Comoran Exclusive Economic Zone",1,1,4.63795798823971,4.72581194544886
"Perna viridis","East Timorian Exclusive Economic Zone",1,1,6.65104686667539,7.17411744073507
"Perna viridis","Indian Exclusive Economic Zone",0.95435092724679,0.864479315263909,6.65962164002021,8.2923610758136
"Perna viridis","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.923371647509579,0.724137931034483,4.48522953386093,6.8686982334781
"Perna viridis","Indonesian Exclusive Economic Zone",0.993369642434288,0.959744257636751,6.14144933098829,8.2923610758136
"Perna viridis","Japanese Exclusive Economic Zone",0.358974358974359,0,1.40449800073328,3.8222341568969
"Perna viridis","Joint regime area Japan / Korea",0,0,0.347986777543283,0.357019231663771
"Perna viridis","Juan de Nova Exclusive Economic Zone",1,0.833333333333333,4.58310604823149,4.85102731393545
"Perna viridis","Kenyan Exclusive Economic Zone",1,0.0238095238095238,2.92543453115726,4.09875235187586
"Perna viridis","Madagascan Exclusive Economic Zone",0.650124069478908,0.369727047146402,3.13426567321081,7.52143346633468
"Perna viridis","Malaysian Exclusive Economic Zone",1,0.913949275362319,5.75319407449376,8.2923610758136
"Perna viridis","Maldives Exclusive Economic Zone",1,1,8.08517598539765,8.2923610758136
"Perna viridis","Mozambican Exclusive Economic Zone",0.41522491349481,0.055363321799308,1.78056234274853,4.74266557631278
"Perna viridis","Myanmar Exclusive Economic Zone",0.655581947743468,0.351543942992874,2.96417499992411,6.34935283682778
"Perna viridis","Oecussi Ambeno Exclusive Economic Zone",1,1,5.04413069302189,5.16555944661506
"Perna viridis","Overlapping claim Glorioso Islands: France / Madagascar",1,0.5,4.11885299189545,5.19643986633777
"Perna viridis","Overlapping claim Mayotte: France / Comoros",1,1,4.63795798823971,4.72581194544886
"Perna viridis","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0.619047619047619,0,2.04713759174788,3.8222341568969
"Perna viridis","Overlapping claim South China Sea",0.883720930232558,0.313953488372093,3.81361125552927,8.2923610758136
"Perna viridis","Overlapping claim: Kenya / Somalia",1,0,3.00903797837765,3.31255100242285
"Perna viridis","Philippines Exclusive Economic Zone",0.943271767810026,0.903693931398417,6.51364744341123,8.2923610758136
"Perna viridis","Seychellois Exclusive Economic Zone",1,0.638888888888889,4.82429528551304,6.6982846458362
"Perna viridis","Somali Exclusive Economic Zone",1,0.673575129533679,4.65989381192078,8.20953615160139
"Perna viridis","South African Exclusive Economic Zone",0,0,0.00144460644159737,0.0299653530453206
"Perna viridis","Sri Lankan Exclusive Economic Zone",1,0.994318181818182,6.85939391716234,8.2923610758136
"Perna viridis","Taiwanese Exclusive Economic Zone",0.350931677018634,0.093167701863354,1.50988489631051,5.52398759539028
"Perna viridis","Tanzanian Exclusive Economic Zone",1,0.445652173913043,3.94847646232319,6.20294214845748
"Perna viridis","Thailand Exclusive Economic Zone",0.978174603174603,0.83531746031746,5.04215349510602,8.2923610758136
"Perna viridis","Vietnamese Exclusive Economic Zone",0.567605633802817,0.261971830985915,2.57913009003045,6.66111964841211
"Perna viridis","Yemeni Exclusive Economic Zone",1,0.728571428571429,4.92325205018023,8.20953615160139
