"x","y","sigmaNovelty","cell","EEZ"
129.625,31.875,0.460959779931993,3219,"Japanese Exclusive Economic Zone"
129.875,31.875,1.01137402092471,3247,"Japanese Exclusive Economic Zone"
129.375,31.625,0.458182948610832,3219,"Japanese Exclusive Economic Zone"
129.625,31.625,0.533390250700491,3246,"Japanese Exclusive Economic Zone"
129.875,31.625,0.623386761395882,3246,"Japanese Exclusive Economic Zone"
130.125,31.625,1.04973197233671,3246,"Japanese Exclusive Economic Zone"
129.125,31.375,0.357019231663771,3219,"Japanese Exclusive Economic Zone"
129.375,31.375,0.395577926979667,3246,"Japanese Exclusive Economic Zone"
129.625,31.375,0.354676436141394,3246,"Japanese Exclusive Economic Zone"
129.875,31.375,0.473479524360513,3246,"Japanese Exclusive Economic Zone"
130.125,31.375,0.661077532993479,3246,"Japanese Exclusive Economic Zone"
129.125,31.125,0.338954323422795,3219,"Japanese Exclusive Economic Zone"
129.375,31.125,0.283615877323614,3246,"Japanese Exclusive Economic Zone"
129.625,31.125,0.334046777620506,3246,"Japanese Exclusive Economic Zone"
129.875,31.125,0.400486552922026,3246,"Japanese Exclusive Economic Zone"
129.375,30.875,0.158473553693268,3246,"Japanese Exclusive Economic Zone"
129.625,30.875,0.245038981339028,3246,"Japanese Exclusive Economic Zone"
125.125,27.875,0.562197966508635,3190,"Japanese Exclusive Economic Zone"
125.375,27.875,0.399329865084975,3190,"Japanese Exclusive Economic Zone"
125.125,27.625,0.374683914631001,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.375,27.625,0.178026558104112,3190,"Japanese Exclusive Economic Zone"
122.375,27.125,0.254507549384251,3162,"Chinese Exclusive Economic Zone"
122.625,27.125,0.243022287072759,3162,"Chinese Exclusive Economic Zone"
122.125,26.875,0.140750293041507,3162,"Chinese Exclusive Economic Zone"
122.375,26.875,0.0464186348394649,3162,"Chinese Exclusive Economic Zone"
122.625,26.875,0.107356452365835,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
122.875,26.875,0.187524860638301,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
121.875,26.625,0.057453846759764,3162,"Chinese Exclusive Economic Zone"
122.125,26.625,0.0548040250956585,3162,"Taiwanese Exclusive Economic Zone"
122.375,26.625,0.121473373227424,3162,"Taiwanese Exclusive Economic Zone"
122.625,26.625,0.897611001254318,3162,"Taiwanese Exclusive Economic Zone"
122.875,26.625,2.01564282743741,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
123.125,26.625,2.53227036402033,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
121.875,26.375,0.0405750331679409,3162,"Taiwanese Exclusive Economic Zone"
122.125,26.375,0.0949378676032277,3162,"Taiwanese Exclusive Economic Zone"
122.375,26.375,0.862909783166167,3162,"Taiwanese Exclusive Economic Zone"
122.625,26.375,2.07087613413437,3162,"Taiwanese Exclusive Economic Zone"
122.875,26.375,2.97964776681418,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
123.125,26.375,3.18792807801789,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
123.375,26.375,3.12836790067487,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
120.375,26.125,0.198087828348141,3135,"Chinese Exclusive Economic Zone"
120.625,26.125,0.367912235250692,3135,"Chinese Exclusive Economic Zone"
120.875,26.125,0.118216772327572,3135,"Chinese Exclusive Economic Zone"
121.125,26.125,0.219799028544053,3135,"Chinese Exclusive Economic Zone"
121.375,26.125,0.274983773283521,3135,"Taiwanese Exclusive Economic Zone"
121.625,26.125,0.103967994076059,3162,"Taiwanese Exclusive Economic Zone"
121.875,26.125,0.0666144173228778,3162,"Taiwanese Exclusive Economic Zone"
122.125,26.125,0.141485565687728,3162,"Taiwanese Exclusive Economic Zone"
122.375,26.125,1.87992373020979,3162,"Taiwanese Exclusive Economic Zone"
122.625,26.125,2.90856977677722,3162,"Taiwanese Exclusive Economic Zone"
123.125,26.125,3.33001126138913,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
123.375,26.125,3.11642581705342,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
120.125,25.875,0.295131466743614,3135,"Chinese Exclusive Economic Zone"
120.375,25.875,0.560688358651089,3135,"Chinese Exclusive Economic Zone"
120.625,25.875,0.13167643134748,3135,"Chinese Exclusive Economic Zone"
120.875,25.875,0.117578284942519,3134,"Chinese Exclusive Economic Zone"
121.125,25.875,0.359094657012062,3134,"Taiwanese Exclusive Economic Zone"
121.375,25.875,0.28616443092162,3134,"Taiwanese Exclusive Economic Zone"
121.625,25.875,0.0486077637626691,3162,"Taiwanese Exclusive Economic Zone"
121.875,25.875,0.0940097591302732,3162,"Taiwanese Exclusive Economic Zone"
122.125,25.875,0.65512403031062,3162,"Taiwanese Exclusive Economic Zone"
122.375,25.875,2.79826871880172,3162,"Taiwanese Exclusive Economic Zone"
122.625,25.875,3.56675464859775,3162,"Taiwanese Exclusive Economic Zone"
119.875,25.625,1.03207096282092,3134,"Chinese Exclusive Economic Zone"
120.125,25.625,0.161564872924923,3134,"Chinese Exclusive Economic Zone"
120.375,25.625,0.387172239658076,3134,"Chinese Exclusive Economic Zone"
120.625,25.625,0.075695645941757,3134,"Chinese Exclusive Economic Zone"
120.875,25.625,0.149979722132258,3134,"Taiwanese Exclusive Economic Zone"
121.125,25.625,0.354694395798713,3134,"Taiwanese Exclusive Economic Zone"
121.375,25.625,0.238172573653388,3134,"Taiwanese Exclusive Economic Zone"
121.625,25.625,0.104690855529065,3162,"Taiwanese Exclusive Economic Zone"
121.875,25.625,0.0967160472129448,3162,"Taiwanese Exclusive Economic Zone"
122.125,25.625,1.28673985058594,3162,"Taiwanese Exclusive Economic Zone"
122.375,25.625,3.16876112387721,3162,"Taiwanese Exclusive Economic Zone"
122.625,25.625,3.66938014824649,3162,"Taiwanese Exclusive Economic Zone"
119.875,25.375,0.264442204597813,3134,"Chinese Exclusive Economic Zone"
120.125,25.375,0.194600774717514,3134,"Chinese Exclusive Economic Zone"
120.375,25.375,0.333885626468867,3134,"Chinese Exclusive Economic Zone"
120.625,25.375,0.0285696170696527,3134,"Taiwanese Exclusive Economic Zone"
120.875,25.375,0.185609815888927,3134,"Taiwanese Exclusive Economic Zone"
121.125,25.375,0.213546547118039,3134,"Taiwanese Exclusive Economic Zone"
121.375,25.375,0.178856624788409,3134,"Taiwanese Exclusive Economic Zone"
121.625,25.375,0.230423435553963,3134,"Taiwanese Exclusive Economic Zone"
121.875,25.375,0.229000851598499,3162,"Taiwanese Exclusive Economic Zone"
122.125,25.375,1.61832093241853,3162,"Taiwanese Exclusive Economic Zone"
122.375,25.375,3.41408991017506,3162,"Taiwanese Exclusive Economic Zone"
122.625,25.375,3.71202764098567,3162,"Taiwanese Exclusive Economic Zone"
119.375,25.125,0.413378556057016,3107,"Chinese Exclusive Economic Zone"
119.625,25.125,0.325564790799322,3134,"Chinese Exclusive Economic Zone"
119.875,25.125,0.353498859297714,3134,"Chinese Exclusive Economic Zone"
120.125,25.125,0.425326062455983,3134,"Chinese Exclusive Economic Zone"
120.375,25.125,0.0231612924404913,3134,"Taiwanese Exclusive Economic Zone"
120.625,25.125,0.0976094414323502,3134,"Taiwanese Exclusive Economic Zone"
120.875,25.125,0.132102284956524,3134,"Taiwanese Exclusive Economic Zone"
121.125,25.125,0.180981388389473,3134,"Taiwanese Exclusive Economic Zone"
121.875,25.125,0.96420369967898,3134,NA
122.125,25.125,2.37134932351937,3162,"Taiwanese Exclusive Economic Zone"
122.375,25.125,3.61872179207579,3162,"Taiwanese Exclusive Economic Zone"
122.625,25.125,3.8222341568969,3162,"Taiwanese Exclusive Economic Zone"
118.625,24.875,0.678313125910736,3107,NA
118.875,24.875,0.794450413825387,3107,"Chinese Exclusive Economic Zone"
119.125,24.875,0.556703271741649,3107,"Chinese Exclusive Economic Zone"
119.375,24.875,0.406743781127602,3107,"Chinese Exclusive Economic Zone"
119.625,24.875,0.38530717392293,3134,"Chinese Exclusive Economic Zone"
119.875,24.875,0.335613226898852,3134,"Chinese Exclusive Economic Zone"
120.125,24.875,0.183893701943306,3134,"Taiwanese Exclusive Economic Zone"
120.375,24.875,0.151134765110718,3134,"Taiwanese Exclusive Economic Zone"
120.625,24.875,0.0903955294868482,3134,"Taiwanese Exclusive Economic Zone"
120.875,24.875,0.518106678963523,3134,"Taiwanese Exclusive Economic Zone"
121.875,24.875,2.27540434254055,3134,"Taiwanese Exclusive Economic Zone"
122.125,24.875,2.78418996193529,3162,"Taiwanese Exclusive Economic Zone"
122.375,24.875,3.64445701409142,3162,"Taiwanese Exclusive Economic Zone"
122.625,24.875,3.64606014953168,3162,"Japanese Exclusive Economic Zone"
118.875,24.625,0.723061036038625,3107,"Chinese Exclusive Economic Zone"
119.125,24.625,0.170640880227075,3107,"Chinese Exclusive Economic Zone"
119.375,24.625,0.00416013448115985,3134,"Chinese Exclusive Economic Zone"
119.625,24.625,0.0265686002597472,3134,"Chinese Exclusive Economic Zone"
119.875,24.625,0.01587587699655,3134,"Taiwanese Exclusive Economic Zone"
120.125,24.625,0.0523803552893533,3134,"Taiwanese Exclusive Economic Zone"
120.375,24.625,0.208237858109017,3134,"Taiwanese Exclusive Economic Zone"
120.625,24.625,0.509150663715864,3134,"Taiwanese Exclusive Economic Zone"
121.875,24.625,2.8657009034232,3134,"Taiwanese Exclusive Economic Zone"
122.125,24.625,3.1820604050701,3134,"Taiwanese Exclusive Economic Zone"
122.375,24.625,3.35975560044618,3161,"Taiwanese Exclusive Economic Zone"
118.125,24.375,1.10674407826209,3107,"Chinese Exclusive Economic Zone"
118.375,24.375,0.835301177755611,3107,"Chinese Exclusive Economic Zone"
118.625,24.375,0.290886312644509,3107,"Chinese Exclusive Economic Zone"
118.875,24.375,0.0646660656470568,3107,"Chinese Exclusive Economic Zone"
119.125,24.375,0.0068910785584208,3134,"Chinese Exclusive Economic Zone"
119.375,24.375,0.0142186956814172,3134,"Chinese Exclusive Economic Zone"
119.625,24.375,0.174174087650672,3134,"Taiwanese Exclusive Economic Zone"
119.875,24.375,0.439178573178167,3134,"Taiwanese Exclusive Economic Zone"
120.125,24.375,0.469080514881308,3134,"Taiwanese Exclusive Economic Zone"
120.375,24.375,0.649729381099374,3134,"Taiwanese Exclusive Economic Zone"
121.875,24.375,3.37740942019381,3134,"Taiwanese Exclusive Economic Zone"
122.125,24.375,3.2915026686382,3161,"Taiwanese Exclusive Economic Zone"
118.125,24.125,0.590361403071106,6049,"Chinese Exclusive Economic Zone"
118.375,24.125,0.406632443614418,6049,"Chinese Exclusive Economic Zone"
118.625,24.125,0.0669680766032722,6049,"Chinese Exclusive Economic Zone"
118.875,24.125,0.00343652414917057,6049,"Chinese Exclusive Economic Zone"
119.125,24.125,0.0506155586428929,6049,"Chinese Exclusive Economic Zone"
119.375,24.125,0.0478760616821556,3134,"Taiwanese Exclusive Economic Zone"
119.625,24.125,0.888786840047744,3134,"Taiwanese Exclusive Economic Zone"
119.875,24.125,1.50825944943573,3134,"Taiwanese Exclusive Economic Zone"
120.125,24.125,0.906944572619737,3134,"Taiwanese Exclusive Economic Zone"
120.375,24.125,1.05681354253173,3134,"Taiwanese Exclusive Economic Zone"
121.875,24.125,3.3016042252604,3134,"Taiwanese Exclusive Economic Zone"
122.125,24.125,3.28982340761204,3161,"Taiwanese Exclusive Economic Zone"
117.875,23.875,0.538808394597722,6049,"Chinese Exclusive Economic Zone"
118.125,23.875,0.393833171525506,6049,"Chinese Exclusive Economic Zone"
118.375,23.875,0.0590004873034124,6049,"Chinese Exclusive Economic Zone"
118.625,23.875,0.011786999718384,6049,"Chinese Exclusive Economic Zone"
118.875,23.875,0.0402658392766143,6049,"Chinese Exclusive Economic Zone"
119.125,23.875,0.188558309530912,6049,"Taiwanese Exclusive Economic Zone"
119.375,23.875,0.107793616758112,3134,"Taiwanese Exclusive Economic Zone"
119.625,23.875,0.610224652555094,3134,"Taiwanese Exclusive Economic Zone"
119.875,23.875,2.23151870432121,3134,"Taiwanese Exclusive Economic Zone"
120.125,23.875,1.46009468764568,3134,"Taiwanese Exclusive Economic Zone"
121.625,23.875,3.39857205415037,3134,"Taiwanese Exclusive Economic Zone"
121.875,23.875,3.45557620349473,3161,"Taiwanese Exclusive Economic Zone"
122.125,23.875,3.34415782458054,3161,"Taiwanese Exclusive Economic Zone"
117.625,23.625,0.0427017609775761,6049,"Chinese Exclusive Economic Zone"
117.875,23.625,0.214837415821438,6049,"Chinese Exclusive Economic Zone"
