"Species","EEZ","p2","p4","Average","Max"
"Polydactylus sexfilis","American Samoa Exclusive Economic Zone",1,1,6.65664475100913,7.54576488188528
"Polydactylus sexfilis","Australian Exclusive Economic Zone",0.800856531049251,0.607066381156317,4.04860992252328,8.20953615160139
"Polydactylus sexfilis","Bangladeshi Exclusive Economic Zone",0,0,0.927422753489964,1.35910531134856
"Polydactylus sexfilis","Bruneian Exclusive Economic Zone",1,1,4.95906773892979,6.83944450071542
"Polydactylus sexfilis","Cambodian Exclusive Economic Zone",1,0,3.19657073232384,3.92595339969492
"Polydactylus sexfilis","Chagos Archipelago Exclusive Economic Zone",1,1,6.07488659727665,6.58595464399805
"Polydactylus sexfilis","Chinese Exclusive Economic Zone",0.277472527472527,0.086996336996337,1.54419117021649,6.21913034785304
"Polydactylus sexfilis","Christmas Island Exclusive Economic Zone",1,0,2.68733396561754,2.72032652751554
"Polydactylus sexfilis","Cocos Islands Exclusive Economic Zone",1,0,2.44072703516123,2.6908278555638
"Polydactylus sexfilis","Comoran Exclusive Economic Zone",1,0,3.38724600577714,3.72543523741489
"Polydactylus sexfilis","Cook Islands Exclusive Economic Zone",1,0.846153846153846,5.83437040513007,7.27423541254686
"Polydactylus sexfilis","East Timorian Exclusive Economic Zone",1,1,5.6817200648581,6.22165567463133
"Polydactylus sexfilis","Fijian Exclusive Economic Zone",0.659031257456454,0.441422094965402,3.31894875290224,8.20953615160139
"Polydactylus sexfilis","French Polynesian Exclusive Economic Zone",0.783018867924528,0.216981132075472,3.11874650333059,5.77249445707497
"Polydactylus sexfilis","Howland and Baker Islands Exclusive Economic Zone",1,1,6.90782817176888,7.0504452124528
"Polydactylus sexfilis","Indian Exclusive Economic Zone",0.996820349761526,0.941176470588235,6.66943581759386,8.2923610758136
"Polydactylus sexfilis","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",1,0.68586387434555,4.20034975109905,5.9278720924601
"Polydactylus sexfilis","Indonesian Exclusive Economic Zone",0.989529792499524,0.829430801446792,5.10434438582558,8.2923610758136
"Polydactylus sexfilis","Japanese Exclusive Economic Zone",0.0699708454810496,0.0189504373177843,0.790246091586099,6.03244636797362
"Polydactylus sexfilis","Jarvis Island Exclusive Economic Zone",1,0.461538461538462,4.10403126830461,5.51382484816641
"Polydactylus sexfilis","Johnston Atoll Exclusive Economic Zone",0,0,0.82408089891182,0.855045251369187
"Polydactylus sexfilis","Joint regime area Australia / Papua New Guinea",1,0,3.35894983293097,3.54607454517235
"Polydactylus sexfilis","Joint regime area Japan / Korea",0,0,0.36812732107801,0.954519431856569
"Polydactylus sexfilis","Juan de Nova Exclusive Economic Zone",1,0,3.76240473124806,3.86772861232861
"Polydactylus sexfilis","Kenyan Exclusive Economic Zone",0.333333333333333,0,1.84620505463523,2.41703438393418
"Polydactylus sexfilis","Kiribati Exclusive Economic Zone (Gilbert Islands)",0.989424206815511,0.8213866039953,5.49382989176751,8.2923610758136
"Polydactylus sexfilis","Kiribati Exclusive Economic Zone (Line Islands)",0.957894736842105,0.684210526315789,4.45000220418941,6.78058148544381
"Polydactylus sexfilis","Kiribati Exclusive Economic Zone (Phoenix Islands)",1,1,4.83457675081489,7.0504452124528
"Polydactylus sexfilis","Madagascan Exclusive Economic Zone",0.652173913043478,0.22554347826087,2.8252111682429,6.62650715176077
"Polydactylus sexfilis","Malaysian Exclusive Economic Zone",0.999097472924188,0.542418772563177,4.32162445952074,8.2923610758136
"Polydactylus sexfilis","Maldives Exclusive Economic Zone",1,1,7.13219735425771,7.71150251857516
"Polydactylus sexfilis","Marshall Islands Exclusive Economic Zone",1,1,5.92159357295515,7.23617383319722
"Polydactylus sexfilis","Mauritian Exclusive Economic Zone",0.358974358974359,0.0842490842490843,1.82193603660149,4.39113539024998
"Polydactylus sexfilis","Micronesian Exclusive Economic Zone",1,1,6.51968320648139,7.23617383319722
"Polydactylus sexfilis","Mozambican Exclusive Economic Zone",1,0,3.19642238141075,3.75520429206814
"Polydactylus sexfilis","Myanmar Exclusive Economic Zone",0.978142076502732,0.404371584699454,3.6694444290281,5.39002486075254
"Polydactylus sexfilis","Nauruan Exclusive Economic Zone",1,1,7.40684520215794,7.67672808637961
