"x","y","sigmaNovelty","cell","EEZ"
13.125,45.625,3.32524961761885,1565,"Italian Exclusive Economic Zone"
13.375,45.625,2.06571197740125,1593,"Italian Exclusive Economic Zone"
13.625,45.625,2.2652657041167,1593,"Slovenian Exclusive Economic Zone"
12.375,45.375,7.63846643131768,1565,"Italian Exclusive Economic Zone"
12.625,45.375,1.68675154396358,1565,"Italian Exclusive Economic Zone"
12.875,45.375,2.42856324728316,1565,"Italian Exclusive Economic Zone"
13.125,45.375,2.64113487426357,1565,"Italian Exclusive Economic Zone"
13.375,45.375,2.15329025243197,1593,"Croatian Exclusive Economic Zone"
12.375,45.125,8.2923610758136,1565,"Italian Exclusive Economic Zone"
12.625,45.125,6.37701123421432,1565,"Italian Exclusive Economic Zone"
12.875,45.125,1.83229784714688,1565,"Italian Exclusive Economic Zone"
13.125,45.125,2.10707944036282,1592,"Croatian Exclusive Economic Zone"
13.375,45.125,1.51068912317475,1593,"Croatian Exclusive Economic Zone"
14.375,45.125,0.644780371750495,1593,"Croatian Exclusive Economic Zone"
12.625,44.875,7.57359212613223,1592,"Italian Exclusive Economic Zone"
12.875,44.875,2.11388843828795,1592,"Italian Exclusive Economic Zone"
13.125,44.875,2.02619134193761,1592,"Croatian Exclusive Economic Zone"
13.375,44.875,1.51810210547305,1592,"Croatian Exclusive Economic Zone"
13.625,44.875,0.92122627226342,1592,"Croatian Exclusive Economic Zone"
14.125,44.875,0.794300187039629,1592,"Croatian Exclusive Economic Zone"
14.625,44.875,0.887166097335539,1593,"Croatian Exclusive Economic Zone"
14.875,44.875,0.732506768894674,1593,"Croatian Exclusive Economic Zone"
12.375,44.625,7.4074140719158,1592,"Italian Exclusive Economic Zone"
12.625,44.625,6.68341333659015,1592,"Italian Exclusive Economic Zone"
12.875,44.625,1.80400950958984,1592,"Italian Exclusive Economic Zone"
13.125,44.625,2.13550125994648,1592,"Croatian Exclusive Economic Zone"
13.375,44.625,0.50198910834375,1592,"Croatian Exclusive Economic Zone"
13.625,44.625,0.683051377954538,1592,"Croatian Exclusive Economic Zone"
13.875,44.625,0.532718402745123,1592,"Croatian Exclusive Economic Zone"
14.125,44.625,0.466482262245825,1592,"Croatian Exclusive Economic Zone"
14.375,44.625,0.535224988609203,1592,NA
14.625,44.625,1.09258038065262,1592,"Croatian Exclusive Economic Zone"
14.875,44.625,0.801519312066639,1592,"Croatian Exclusive Economic Zone"
12.375,44.375,6.08731081534392,1592,"Italian Exclusive Economic Zone"
12.625,44.375,3.25091180986936,1592,"Italian Exclusive Economic Zone"
12.875,44.375,1.88138905704213,1592,"Italian Exclusive Economic Zone"
13.125,44.375,2.24508893678485,1592,"Italian Exclusive Economic Zone"
13.375,44.375,1.03333195425768,1592,"Croatian Exclusive Economic Zone"
13.625,44.375,1.05657828257533,1592,"Croatian Exclusive Economic Zone"
13.875,44.375,0.939625030218913,1592,"Croatian Exclusive Economic Zone"
14.125,44.375,0.957870183572138,1592,"Croatian Exclusive Economic Zone"
14.375,44.375,0.773548440004256,1592,"Croatian Exclusive Economic Zone"
14.625,44.375,0.549188893497939,1592,"Croatian Exclusive Economic Zone"
12.625,44.125,2.47243118954548,1592,"Italian Exclusive Economic Zone"
12.875,44.125,2.06937072235474,1592,"Italian Exclusive Economic Zone"
13.125,44.125,2.25308175458764,1592,"Italian Exclusive Economic Zone"
13.375,44.125,0.762212236126943,1592,"Italian Exclusive Economic Zone"
13.625,44.125,1.25574739106484,1592,"Italian Exclusive Economic Zone"
13.875,44.125,0.657951729475323,1592,"Croatian Exclusive Economic Zone"
14.125,44.125,0.350880845159431,1592,"Croatian Exclusive Economic Zone"
