"Species","EEZ","p2","p4","Average","Max"
"Pseudocaranx dentex","Algerian Exclusive Economic Zone",0,0,0.0706420993638972,0.32038898078948
"Pseudocaranx dentex","American Samoa Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Pseudocaranx dentex","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0,0,0.025327533550056,0.0421817244183927
"Pseudocaranx dentex","Angolan Exclusive Economic Zone",0,0,0.587257811755026,1.38301893114352
"Pseudocaranx dentex","Ascension Exclusive Economic Zone",1,0,2.73523190331996,2.92251971621088
"Pseudocaranx dentex","Australian Exclusive Economic Zone",0.143416927899687,0.0262539184952978,0.661834806451897,6.07070450226547
"Pseudocaranx dentex","Bahamas Exclusive Economic Zone",0.917695473251029,0.827160493827161,5.102899904682,7.15209245922972
"Pseudocaranx dentex","Bassas da India Exclusive Economic Zone",1,0.5,3.59076202361356,4.28680004688842
"Pseudocaranx dentex","Bermudian Exclusive Economic Zone",0,0,0.812759235598652,1.17336607724469
"Pseudocaranx dentex","Brazilian Exclusive Economic Zone",0.100371747211896,0.0204460966542751,0.683409243528903,8.2923610758136
"Pseudocaranx dentex","Cape Verdean Exclusive Economic Zone",0,0,0.111073583888077,0.472731221639665
"Pseudocaranx dentex","Chilean Exclusive Economic Zone",0.113821138211382,0,0.921516415486306,3.53585458336528
"Pseudocaranx dentex","Chilean Exclusive Economic Zone (Easter Island)",0,0,0.00193194383489743,0.00297493574329184
"Pseudocaranx dentex","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",0,0,0.0118108505999768,0.0233122607823758
"Pseudocaranx dentex","Chinese Exclusive Economic Zone",0.914893617021277,0.425531914893617,3.54648646167942,7.13927428524676
"Pseudocaranx dentex","Colombian Exclusive Economic Zone",1,0,3.39291554420002,3.59609214836483
"Pseudocaranx dentex","Cuban Exclusive Economic Zone",1,0.941176470588235,5.73692342900407,7.15209245922972
"Pseudocaranx dentex","Cypriote Exclusive Economic Zone",0,0,1.07746543993816,1.9864231938203
"Pseudocaranx dentex","Ecuadorian Exclusive Economic Zone (Galapagos)",0.0555555555555556,0.0185185185185185,0.492328786516641,4.39799256284499
"Pseudocaranx dentex","Egyptian Exclusive Economic Zone",0.0434782608695652,0,0.760016553179121,2.23366716581227
"Pseudocaranx dentex","Fijian Exclusive Economic Zone",0.347294938917976,0.050174520069808,1.64058908512437,8.2923610758136
