"Species","EEZ","p2","p4","Average","Max"
"Rhabdosargus sarba","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0,0,0.340810332031241,0.937826119843888
"Rhabdosargus sarba","Australian Exclusive Economic Zone",0.00244558571777941,0,0.206124546438372,2.39877334461309
"Rhabdosargus sarba","Bahraini Exclusive Economic Zone",1,0.368421052631579,3.73522549354204,4.74158722985007
"Rhabdosargus sarba","Bangladeshi Exclusive Economic Zone",0.28448275862069,0.0603448275862069,1.21070705064266,5.198537487597
"Rhabdosargus sarba","Bassas da India Exclusive Economic Zone",0,0,0.0327717323768565,0.0631908804267357
"Rhabdosargus sarba","Bruneian Exclusive Economic Zone",0,0,0.170392351436369,0.886207824110384
"Rhabdosargus sarba","Cambodian Exclusive Economic Zone",0,0,0.271435762767067,0.669573983930566
"Rhabdosargus sarba","Chagos Archipelago Exclusive Economic Zone",0,0,0.362719044608671,0.745553794541029
"Rhabdosargus sarba","Chinese Exclusive Economic Zone",0.0189314261674379,0.00336558687421119,0.237285694391787,5.9745288775367
"Rhabdosargus sarba","Christmas Island Exclusive Economic Zone",0,0,0.00915691788348752,0.0166096465843929
"Rhabdosargus sarba","Cocos Islands Exclusive Economic Zone",0,0,0.0338156389620479,0.0587676571387339
"Rhabdosargus sarba","Comoran Exclusive Economic Zone",0,0,0.0281761161510157,0.0619242759161653
"Rhabdosargus sarba","Djiboutian Exclusive Economic Zone",1,0.909090909090909,4.9863762147928,5.93952505535678
"Rhabdosargus sarba","East Timorian Exclusive Economic Zone",0,0,0.370494857276592,0.662877183495817
"Rhabdosargus sarba","Egyptian Exclusive Economic Zone",0.572289156626506,0.120481927710843,2.26200023240711,4.87255302593346
"Rhabdosargus sarba","Eritrean Exclusive Economic Zone",1,1,7.89929074636891,8.2923610758136
"Rhabdosargus sarba","Guam Exclusive Economic Zone",0,0,0.298155792714826,0.325657429385922
"Rhabdosargus sarba","Ile Europa Exclusive Economic Zone",0,0,0.0338671228244189,0.0684348908814925
"Rhabdosargus sarba","Indian Exclusive Economic Zone",0.0903179190751445,0,0.949510191750067,3.04232815306649
"Rhabdosargus sarba","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.00802568218298555,0,0.150772147789638,2.82157489006625
"Rhabdosargus sarba","Indonesian Exclusive Economic Zone",0.015483426998509,0.000344076155522422,0.356073977107472,4.48283451613732
"Rhabdosargus sarba","Iranian Exclusive Economic Zone",0.912423625254583,0.568228105906314,4.49891640591039,8.2923610758136
"Rhabdosargus sarba","Iraqi Exclusive Economic Zone",1,0.2,3.2844809693564,4.10753883728429
"Rhabdosargus sarba","Japanese Exclusive Economic Zone",0.00317965023847377,0,0.218193007735796,2.69167234164183
"Rhabdosargus sarba","Joint regime area Australia / Papua New Guinea",0,0,0.0068985507467809,0.0235231052214654
"Rhabdosargus sarba","Joint regime area Japan / Korea",0,0,0.101359781002143,0.74380484881044
"Rhabdosargus sarba","Juan de Nova Exclusive Economic Zone",0,0,0.0232570955507533,0.042080669228754
"Rhabdosargus sarba","Kenyan Exclusive Economic Zone",0,0,0.00906857635595184,0.0648521917412772
"Rhabdosargus sarba","Kuwaiti Exclusive Economic Zone",0.625,0.03125,2.24615289882399,4.10753883728429
"Rhabdosargus sarba","Madagascan Exclusive Economic Zone",0.00087719298245614,0,0.0434140495025429,2.19613420599831
"Rhabdosargus sarba","Malaysian Exclusive Economic Zone",0.00789177001127396,0,0.271101135719251,3.53058583494119
"Rhabdosargus sarba","Maldives Exclusive Economic Zone",0,0,1.0743584295741,1.73962581242971
"Rhabdosargus sarba","Mauritian Exclusive Economic Zone",0,0,0.0552492287912443,0.168264601129485
"Rhabdosargus sarba","Micronesian Exclusive Economic Zone",0,0,0.747754615844143,1.831537218026
"Rhabdosargus sarba","Mozambican Exclusive Economic Zone",0,0,0.0347029587981151,1.37631173681196
"Rhabdosargus sarba","Myanmar Exclusive Economic Zone",0.0174563591022444,0,0.186555413621196,3.41533725028346
"Rhabdosargus sarba","Northern Mariana Exclusive Economic Zone",0,0,0.298155792714826,0.325657429385922
"Rhabdosargus sarba","Oecussi Ambeno Exclusive Economic Zone",0,0,0.00207948823052444,0.00351093709141381
"Rhabdosargus sarba","Omani Exclusive Economic Zone",0.475915221579961,0.36223506743738,2.79886047829106,8.2923610758136
"Rhabdosargus sarba","Overlapping claim Glorioso Islands: France / Madagascar",0,0,0.0265967478778026,0.0683893966194414
"Rhabdosargus sarba","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,0.0465554049557123,0.0635706770363967
"Rhabdosargus sarba","Overlapping claim Mayotte: France / Comoros",0,0,0.0339953642723016,0.0619242759161653
"Rhabdosargus sarba","Overlapping claim Qatar / Saudi Arabia / United Arab Emirates",1,1,6.2354520503785,6.2354520503785
"Rhabdosargus sarba","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.0494398438869317,0.191009419662172
"Rhabdosargus sarba","Overlapping claim South China Sea",0,0,0.132263658044909,1.27792440623349
"Rhabdosargus sarba","Overlapping claim: Iran / United Arab Emirates",1,1,7.69819846066527,8.2923610758136
"Rhabdosargus sarba","Overlapping claim: Kenya / Somalia",0,0,0.00574943763407497,0.00891584362543564
"Rhabdosargus sarba","Overlapping claim: Sudan / Egypt",1,1,5.31602211545802,6.40723109021948
"Rhabdosargus sarba","Pakistani Exclusive Economic Zone",0,0,0.608174960495614,1.84169106064161
"Rhabdosargus sarba","Palau Exclusive Economic Zone",0,0,0.452946096382566,0.79513329698047
"Rhabdosargus sarba","Papua New Guinean Exclusive Economic Zone",0.00313971742543171,0,0.257268668114452,2.9073280987834
"Rhabdosargus sarba","Philippines Exclusive Economic Zone",0.00407470288624788,0.00067911714770798,0.356895232174015,5.92770353521356
"Rhabdosargus sarba","Qatari Exclusive Economic Zone",1,0.825,4.94990783710934,6.9148499997462
"Rhabdosargus sarba","Réunion Exclusive Economic Zone",0,0,0.0745823423673155,0.168264601129485
"Rhabdosargus sarba","Saudi Arabian Exclusive Economic Zone",0.912698412698413,0.595238095238095,5.18609909458693,8.2923610758136
"Rhabdosargus sarba","Seychellois Exclusive Economic Zone",0,0,0.134864504873036,0.510818425099277
"Rhabdosargus sarba","Somali Exclusive Economic Zone",0.319018404907975,0.128834355828221,1.35637249885082,7.28184219000918
"Rhabdosargus sarba","South African Exclusive Economic Zone",0.00980392156862745,0,0.22183197447077,2.87684016272594
"Rhabdosargus sarba","South Korean Exclusive Economic Zone",0.00200803212851406,0,0.428768837219732,2.39451802088569
"Rhabdosargus sarba","Sri Lankan Exclusive Economic Zone",0.0877862595419847,0,0.628909493062126,3.04232815306649
"Rhabdosargus sarba","Sudanese Exclusive Economic Zone",1,1,7.17332382034785,8.2923610758136
"Rhabdosargus sarba","Taiwanese Exclusive Economic Zone",0.00298210735586481,0,0.104420397997107,2.41538600510126
"Rhabdosargus sarba","Tanzanian Exclusive Economic Zone",0,0,0.0208657208926963,0.0751749196621186
"Rhabdosargus sarba","Thailand Exclusive Economic Zone",0.00586510263929619,0,0.217739665577696,2.41051188095943
"Rhabdosargus sarba","United Arab Emirates Exclusive Economic Zone",1,1,6.31877987942417,8.2923610758136
"Rhabdosargus sarba","Vietnamese Exclusive Economic Zone",0.0111989459815547,0.00592885375494071,0.150115425764875,5.90519631032676
"Rhabdosargus sarba","Yemeni Exclusive Economic Zone",0.431516936671576,0.247422680412371,2.30725223205828,8.2923610758136
