"x","y","sigmaNovelty","cell","EEZ"
129.625,36.125,0.0125648369253394,3248,"South Korean Exclusive Economic Zone"
132.875,36.125,0.333891730437218,3276,"Japanese Exclusive Economic Zone"
133.125,36.125,0.425253805618982,3276,"Japanese Exclusive Economic Zone"
133.375,36.125,0.726249539450664,3276,"Japanese Exclusive Economic Zone"
133.625,36.125,0.736610170526,3276,"Japanese Exclusive Economic Zone"
133.875,36.125,0.816893516260189,3276,"Japanese Exclusive Economic Zone"
134.125,36.125,0.887316486012972,3276,"Japanese Exclusive Economic Zone"
134.375,36.125,0.884311918157885,3276,"Japanese Exclusive Economic Zone"
134.625,36.125,0.914534777757344,3303,"Japanese Exclusive Economic Zone"
134.875,36.125,0.97070097157001,3303,"Japanese Exclusive Economic Zone"
135.125,36.125,0.991159174764007,3303,"Japanese Exclusive Economic Zone"
135.375,36.125,1.006906664183,3303,"Japanese Exclusive Economic Zone"
135.625,36.125,0.930482926859179,3303,"Japanese Exclusive Economic Zone"
135.875,36.125,0.946724650610114,3303,"Japanese Exclusive Economic Zone"
140.625,36.125,0.553785563669157,3358,"Japanese Exclusive Economic Zone"
140.875,36.125,0.628875685535634,3358,"Japanese Exclusive Economic Zone"
141.125,36.125,0.0767014321665527,3358,"Japanese Exclusive Economic Zone"
129.625,35.875,0.385472409238278,3248,"South Korean Exclusive Economic Zone"
129.875,35.875,0.494443644332826,3248,"South Korean Exclusive Economic Zone"
132.625,35.875,0.337186662784122,3248,"Japanese Exclusive Economic Zone"
132.875,35.875,0.311921659182488,3275,"Japanese Exclusive Economic Zone"
133.125,35.875,0.422278422714388,3275,"Japanese Exclusive Economic Zone"
133.375,35.875,0.618313292355837,3275,"Japanese Exclusive Economic Zone"
133.625,35.875,0.714783323287121,3275,"Japanese Exclusive Economic Zone"
133.875,35.875,0.767873380173275,3275,"Japanese Exclusive Economic Zone"
134.125,35.875,0.76057337616873,3275,"Japanese Exclusive Economic Zone"
134.375,35.875,0.768954758138187,3275,"Japanese Exclusive Economic Zone"
134.625,35.875,0.825063959914836,3303,"Japanese Exclusive Economic Zone"
134.875,35.875,0.88174845392551,3303,"Japanese Exclusive Economic Zone"
135.125,35.875,0.932135260481101,3303,"Japanese Exclusive Economic Zone"
135.375,35.875,0.944741073147549,3303,"Japanese Exclusive Economic Zone"
135.625,35.875,0.977979809056161,3303,"Japanese Exclusive Economic Zone"
135.875,35.875,0.832440344850043,3303,"Japanese Exclusive Economic Zone"
140.875,35.875,0.676085780064324,3358,"Japanese Exclusive Economic Zone"
141.125,35.875,0.169741753121333,3358,"Japanese Exclusive Economic Zone"
141.375,35.875,0.00352625273635827,3358,"Japanese Exclusive Economic Zone"
129.625,35.625,0.273204530155426,3248,"South Korean Exclusive Economic Zone"
129.875,35.625,0.481340006163926,3248,"South Korean Exclusive Economic Zone"
130.125,35.625,0.878147692086389,3248,"South Korean Exclusive Economic Zone"
132.375,35.625,0.414238360059795,3248,"Japanese Exclusive Economic Zone"
132.625,35.625,0.308197579674081,3275,"Japanese Exclusive Economic Zone"
132.875,35.625,0.499746246676303,3275,"Japanese Exclusive Economic Zone"
133.125,35.625,0.434548649005119,3275,"Japanese Exclusive Economic Zone"
133.375,35.625,0.437564255568884,3275,"Japanese Exclusive Economic Zone"
133.625,35.625,0.549347405357421,3275,"Japanese Exclusive Economic Zone"
133.875,35.625,0.596335615901436,3275,"Japanese Exclusive Economic Zone"
134.125,35.625,0.717435582030641,3275,"Japanese Exclusive Economic Zone"
134.375,35.625,0.775126836448301,3275,"Japanese Exclusive Economic Zone"
135.375,35.625,0.962826917963371,3303,"Japanese Exclusive Economic Zone"
135.625,35.625,0.899459834920543,3303,"Japanese Exclusive Economic Zone"
135.875,35.625,0.923533558779836,3303,"Japanese Exclusive Economic Zone"
140.625,35.625,0.274801826907383,3358,"Japanese Exclusive Economic Zone"
